ts,open,high,low,close,volume
2023-12-15 00:05:00+00:00,1.2774,1.2774,1.277,1.2771,78.0
2023-12-15 00:10:00+00:00,1.2772,1.2772,1.2769,1.2769,185.0
2023-12-15 00:15:00+00:00,1.277,1.2771,1.2766,1.2766,286.0
2023-12-15 00:20:00+00:00,1.2767,1.2768,1.2767,1.2768,105.0
2023-12-15 00:25:00+00:00,1.2767,1.2768,1.2766,1.2767,31.0
2023-12-15 00:30:00+00:00,1.2766,1.2767,1.2763,1.2763,171.0
2023-12-15 00:35:00+00:00,1.2763,1.2764,1.2759,1.2759,387.0
2023-12-15 00:40:00+00:00,1.2759,1.2761,1.2758,1.2758,164.0
2023-12-15 00:45:00+00:00,1.2759,1.2759,1.2757,1.2758,136.0
2023-12-15 00:50:00+00:00,1.2758,1.2759,1.2755,1.2759,254.0
2023-12-15 00:55:00+00:00,1.2759,1.2762,1.2759,1.2761,229.0
2023-12-15 01:00:00+00:00,1.2762,1.2762,1.2759,1.2761,118.0
2023-12-15 01:05:00+00:00,1.276,1.2762,1.276,1.2762,55.0
2023-12-15 01:10:00+00:00,1.2761,1.2765,1.276,1.2762,62.0
2023-12-15 01:15:00+00:00,1.2761,1.2764,1.2761,1.2764,79.0
2023-12-15 01:20:00+00:00,1.2763,1.2765,1.276,1.2762,52.0
2023-12-15 01:25:00+00:00,1.276,1.2762,1.276,1.2762,43.0
2023-12-15 01:30:00+00:00,1.2763,1.2763,1.2762,1.2763,8.0
2023-12-15 01:35:00+00:00,1.2764,1.2765,1.2762,1.2762,64.0
2023-12-15 01:40:00+00:00,1.2763,1.2764,1.2763,1.2764,66.0
2023-12-15 01:45:00+00:00,1.2764,1.2767,1.2764,1.2766,38.0
2023-12-15 01:50:00+00:00,1.2766,1.2766,1.2763,1.2764,29.0
2023-12-15 01:55:00+00:00,1.2762,1.2763,1.2761,1.2763,72.0
2023-12-15 02:00:00+00:00,1.2764,1.2765,1.2763,1.2764,92.0
2023-12-15 02:05:00+00:00,1.2764,1.2768,1.2764,1.2767,35.0
2023-12-15 02:10:00+00:00,1.2767,1.2768,1.2766,1.2767,36.0
2023-12-15 02:15:00+00:00,1.2766,1.2773,1.2766,1.2773,154.0
2023-12-15 02:20:00+00:00,1.2773,1.2775,1.2772,1.2773,67.0
2023-12-15 02:25:00+00:00,1.2773,1.2774,1.2771,1.2773,151.0
2023-12-15 02:30:00+00:00,1.2774,1.2775,1.2772,1.2772,62.0
2023-12-15 02:35:00+00:00,1.2772,1.2772,1.2771,1.2771,23.0
2023-12-15 02:40:00+00:00,1.2772,1.2774,1.2772,1.2773,80.0
2023-12-15 02:45:00+00:00,1.2772,1.2772,1.277,1.277,215.0
2023-12-15 02:50:00+00:00,1.277,1.2772,1.277,1.2771,67.0
2023-12-15 02:55:00+00:00,1.2771,1.2773,1.277,1.2773,126.0
2023-12-15 03:00:00+00:00,1.2774,1.2774,1.2768,1.2769,113.0
2023-12-15 03:05:00+00:00,1.2769,1.2769,1.2767,1.2769,38.0
2023-12-15 03:10:00+00:00,1.2769,1.2771,1.2768,1.2768,67.0
2023-12-15 03:15:00+00:00,1.2768,1.2771,1.2768,1.277,14.0
2023-12-15 03:20:00+00:00,1.277,1.277,1.2768,1.2769,66.0
2023-12-15 03:25:00+00:00,1.277,1.277,1.2769,1.2769,11.0
2023-12-15 03:30:00+00:00,1.277,1.277,1.2768,1.277,22.0
2023-12-15 03:35:00+00:00,1.277,1.2771,1.2769,1.2771,83.0
2023-12-15 03:40:00+00:00,1.2772,1.2773,1.277,1.2771,48.0
2023-12-15 03:45:00+00:00,1.277,1.2773,1.277,1.2772,20.0
2023-12-15 03:50:00+00:00,1.2771,1.2774,1.2771,1.2774,31.0
2023-12-15 03:55:00+00:00,1.2774,1.2776,1.2774,1.2776,16.0
2023-12-15 04:00:00+00:00,1.2774,1.2774,1.2773,1.2773,21.0
2023-12-15 04:05:00+00:00,1.2773,1.2775,1.2773,1.2775,41.0
