ts,open,high,low,close,volume
2021-02-18 16:45:00+00:00,3.78,3.78,3.78,3.78,1.0
2021-04-16 01:40:00+00:00,4.1,4.1,4.1,4.1,1.0
2021-04-20 01:30:00+00:00,4.13,4.13,4.13,4.13,1.0
2021-05-10 18:50:00+00:00,4.599,4.599,4.599,4.599,1.0
2021-07-01 16:50:00+00:00,4.191,4.191,4.191,4.191,1.0
2021-07-13 01:10:00+00:00,4.282,4.282,4.282,4.282,1.0
2021-07-19 12:35:00+00:00,4.14,4.14,4.14,4.14,1.0
2021-07-23 16:40:00+00:00,4.3,4.3,4.3,4.3,1.0
2021-08-12 14:20:00+00:00,4.25,4.25,4.25,4.25,4.0
2021-09-07 15:05:00+00:00,4.16,4.16,4.16,4.16,1.0
2021-09-10 09:35:00+00:00,4.248,4.248,4.248,4.248,1.0
2021-09-13 01:00:00+00:00,4.325,4.325,4.325,4.325,1.0
2021-09-30 14:00:00+00:00,3.95,3.95,3.95,3.95,1.0
2021-10-03 22:15:00+00:00,4.06,4.06,4.06,4.06,1.0
2021-10-12 02:35:00+00:00,4.18,4.18,4.18,4.18,1.0
2021-10-20 12:50:00+00:00,4.386,4.386,4.386,4.386,3.0
2021-10-25 13:15:00+00:00,4.3,4.3,4.3,4.3,1.0
2021-10-25 13:45:00+00:00,4.3,4.3,4.3,4.3,1.0
2021-10-26 05:40:00+00:00,4.33,4.33,4.33,4.33,1.0
2021-10-26 13:50:00+00:00,4.36,4.36,4.36,4.36,1.0
2021-10-26 15:25:00+00:00,4.35,4.35,4.35,4.35,2.0
2021-10-29 12:50:00+00:00,4.2,4.2,4.2,4.2,2.0
2021-11-09 14:50:00+00:00,4.225,4.225,4.225,4.225,1.0
2021-11-09 18:05:00+00:00,4.225,4.225,4.225,4.225,1.0
2021-11-10 13:50:00+00:00,4.25,4.25,4.25,4.25,2.0
2021-11-10 14:30:00+00:00,4.25,4.25,4.25,4.25,1.0
2021-11-10 14:35:00+00:00,4.25,4.25,4.25,4.25,2.0
2021-11-11 14:25:00+00:00,4.2925,4.2925,4.2925,4.2925,1.0
2021-11-22 23:25:00+00:00,4.283,4.283,4.283,4.283,7.0
2021-11-25 03:20:00+00:00,4.404,4.404,4.404,4.404,1.0
2021-11-30 17:45:00+00:00,4.18,4.18,4.18,4.18,1.0
2021-12-15 09:00:00+00:00,4.1,4.1,4.1,4.1,1.0
2021-12-15 14:15:00+00:00,4.08,4.08,4.08,4.08,1.0
2021-12-16 01:35:00+00:00,4.15,4.15,4.15,4.15,1.0
2021-12-21 16:05:00+00:00,4.21,4.21,4.21,4.21,1.0
2022-01-09 23:05:00+00:00,4.305,4.305,4.305,4.305,1.0
2022-01-10 14:45:00+00:00,4.25,4.25,4.25,4.25,1.0
2022-01-12 13:40:00+00:00,4.425,4.425,4.425,4.425,1.0
2022-01-12 17:35:00+00:00,4.468,4.468,4.468,4.468,2.0
2022-01-13 14:20:00+00:00,4.405,4.405,4.405,4.405,1.0
2022-01-18 15:35:00+00:00,4.3065,4.3065,4.3065,4.3065,1.0
2022-01-19 08:00:00+00:00,4.291,4.2915,4.291,4.2915,2.0
2022-01-19 08:05:00+00:00,4.271,4.271,4.271,4.271,1.0
2022-01-24 17:55:00+00:00,4.265,4.265,4.265,4.265,1.0
2022-01-27 03:55:00+00:00,4.26,4.26,4.26,4.26,1.0
2022-01-31 16:15:00+00:00,4.248,4.248,4.248,4.248,1.0
2022-02-07 19:45:00+00:00,4.3635,4.3635,4.3635,4.3635,2.0
2022-02-08 19:15:00+00:00,4.335,4.335,4.335,4.335,1.0
2022-02-09 16:15:00+00:00,4.3965,4.3965,4.3965,4.3965,1.0
2022-02-15 16:15:00+00:00,4.418,4.418,4.418,4.418,1.0
2022-02-15 16:20:00+00:00,4.418,4.418,4.418,4.418,1.0
2022-02-23 15:15:00+00:00,4.3765,4.3765,4.3765,4.3765,1.0
2022-03-02 12:55:00+00:00,4.585,4.585,4.585,4.585,1.0
2022-03-04 20:10:00+00:00,4.724,4.7315,4.724,4.7315,4.0
2022-03-04 21:00:00+00:00,4.736,4.736,4.736,4.736,1.0
2022-03-07 16:35:00+00:00,4.58,4.58,4.58,4.58,1.0
2022-03-11 01:30:00+00:00,4.55,4.55,4.55,4.55,1.0
2022-03-14 07:55:00+00:00,4.5,4.5,4.5,4.5,1.0
2022-03-14 17:25:00+00:00,4.448,4.448,4.448,4.448,1.0
2022-03-15 14:05:00+00:00,4.481,4.481,4.481,4.481,1.0
2022-03-15 14:10:00+00:00,4.497,4.497,4.497,4.497,1.0
2022-03-15 19:10:00+00:00,4.5025,4.5025,4.5025,4.5025,1.0
2022-03-17 18:35:00+00:00,4.637,4.637,4.637,4.637,4.0
2022-03-17 18:45:00+00:00,4.626,4.6275,4.626,4.6275,17.0
2022-03-18 19:10:00+00:00,4.6505,4.6505,4.6505,4.6505,6.0
2022-03-18 19:20:00+00:00,4.6505,4.6505,4.6505,4.6505,1.0
2022-03-18 19:25:00+00:00,4.6505,4.656,4.6505,4.656,7.0
2022-03-23 17:15:00+00:00,4.7375,4.7375,4.7375,4.7375,1.0
2022-03-31 17:25:00+00:00,4.705,4.705,4.705,4.705,1.0
2022-04-03 22:15:00+00:00,4.664,4.664,4.664,4.664,1.0
2022-04-04 01:25:00+00:00,4.67,4.67,4.67,4.67,5.0
2022-04-04 02:05:00+00:00,4.666,4.666,4.666,4.666,5.0
2022-04-04 02:25:00+00:00,4.666,4.666,4.666,4.666,5.0
2022-04-04 02:40:00+00:00,4.6685,4.6685,4.6685,4.6685,1.0
2022-04-04 02:50:00+00:00,4.655,4.655,4.655,4.655,1.0
2022-04-04 02:55:00+00:00,4.655,4.655,4.655,4.655,4.0
2022-04-04 03:00:00+00:00,4.654,4.654,4.654,4.654,2.0
2022-04-04 04:05:00+00:00,4.654,4.654,4.654,4.654,3.0
