ts,open,high,low,close,volume
2022-09-23 13:40:00+00:00,617.25,617.5,616.5,617.0,152.0
2022-09-23 13:45:00+00:00,617.25,618.0,615.25,615.5,283.0
2022-09-23 13:50:00+00:00,615.5,616.5,615.0,616.0,167.0
2022-09-23 13:55:00+00:00,615.5,616.0,615.25,615.5,113.0
2022-09-23 14:00:00+00:00,615.0,616.5,615.0,616.5,160.0
2022-09-23 14:05:00+00:00,616.75,617.5,616.25,616.75,156.0
2022-09-23 14:10:00+00:00,616.5,616.75,616.0,616.5,55.0
2022-09-23 14:15:00+00:00,616.5,617.0,616.0,616.5,44.0
2022-09-23 14:20:00+00:00,616.75,616.75,616.0,616.25,60.0
2022-09-23 14:25:00+00:00,616.5,617.75,616.5,617.75,120.0
2022-09-23 14:30:00+00:00,617.5,617.75,616.75,616.75,77.0
2022-09-23 14:35:00+00:00,617.0,617.0,616.5,617.0,37.0
2022-09-23 14:40:00+00:00,616.75,617.25,616.75,617.25,38.0
2022-09-23 14:45:00+00:00,617.5,618.0,617.25,617.25,35.0
2022-09-23 14:50:00+00:00,617.5,617.75,616.75,617.25,71.0
2022-09-23 14:55:00+00:00,617.25,618.5,617.25,617.75,42.0
2022-09-23 15:00:00+00:00,617.75,618.75,617.75,618.5,32.0
2022-09-23 15:05:00+00:00,618.75,618.75,617.75,618.0,59.0
2022-09-23 15:10:00+00:00,618.25,618.5,618.0,618.0,69.0
2022-09-23 15:15:00+00:00,618.25,618.75,618.25,618.75,14.0
2022-09-23 15:20:00+00:00,618.75,619.25,618.5,619.0,138.0
2022-09-23 15:25:00+00:00,619.25,620.25,619.25,619.5,79.0
2022-09-23 15:30:00+00:00,619.75,620.0,619.25,619.75,27.0
2022-09-23 15:35:00+00:00,620.0,620.5,619.25,619.5,115.0
2022-09-23 15:40:00+00:00,619.5,619.75,619.0,619.25,30.0
2022-09-23 15:45:00+00:00,618.75,619.0,618.5,619.0,128.0
2022-09-23 15:50:00+00:00,619.0,619.0,618.25,618.25,32.0
2022-09-23 15:55:00+00:00,618.0,618.25,618.0,618.0,31.0
2022-09-23 16:00:00+00:00,618.0,618.5,617.75,618.0,45.0
2022-09-23 16:05:00+00:00,618.0,618.25,617.75,618.0,93.0
2022-09-23 16:10:00+00:00,618.0,618.25,617.5,617.5,51.0
2022-09-23 16:15:00+00:00,617.25,617.5,616.5,616.75,77.0
2022-09-23 16:20:00+00:00,616.75,617.0,616.5,616.5,33.0
2022-09-23 16:25:00+00:00,616.25,616.75,616.25,616.25,30.0
2022-09-23 16:30:00+00:00,616.0,616.25,615.5,616.25,80.0
2022-09-23 16:35:00+00:00,616.0,616.0,615.75,615.75,24.0
2022-09-23 16:40:00+00:00,616.0,616.0,615.5,616.0,29.0
2022-09-23 16:45:00+00:00,615.75,616.25,615.75,615.75,16.0
2022-09-23 16:50:00+00:00,616.25,617.5,616.25,617.25,55.0
2022-09-23 16:55:00+00:00,617.5,617.5,617.0,617.5,8.0
2022-09-23 17:00:00+00:00,617.75,619.0,617.75,618.75,63.0
2022-09-23 17:05:00+00:00,618.5,618.75,617.75,618.5,102.0
2022-09-23 17:10:00+00:00,618.25,618.5,618.25,618.25,10.0
2022-09-23 17:15:00+00:00,619.0,619.75,619.0,619.5,15.0
2022-09-23 17:20:00+00:00,619.5,619.5,619.0,619.0,12.0
2022-09-23 17:25:00+00:00,619.5,619.5,619.5,619.5,5.0
2022-09-23 17:30:00+00:00,619.75,619.75,619.25,619.5,100.0
2022-09-23 17:35:00+00:00,619.5,619.5,619.25,619.25,18.0
2022-09-23 17:40:00+00:00,619.25,619.25,618.75,619.0,22.0
2022-09-23 17:45:00+00:00,618.25,618.5,618.25,618.5,12.0
2022-09-23 17:50:00+00:00,618.75,619.0,618.5,619.0,26.0
