
,Cboe data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.\n
,To access our full collection of comprehensive historical market data visit CBOE Data Shop at https://datashop.cboe.com.\n
Date,Open,High,Low,Close
2/2/2026,146.56,146.56,146.56,146.56
2/3/2026,143.85,143.85,143.85,143.85
2/4/2026,143.16,143.16,143.16,143.16
2/5/2026,137.16,137.16,137.16,137.16
2/6/2026,140.31,140.31,140.31,140.31
2/9/2026,145.23,145.23,145.23,145.23
2/10/2026,145.71,145.71,145.71,145.71
2/11/2026,143.78,143.78,143.78,143.78
2/12/2026,142.5,142.5,142.5,142.5
2/13/2026,139.35,139.35,139.35,139.35
2/17/2026,140.28,140.28,140.28,140.28
2/18/2026,139.17,139.17,139.17,139.17
2/19/2026,141.19,141.19,141.19,141.19
2/20/2026,145.52,145.52,145.52,145.52
2/23/2026,141.43,141.43,141.43,141.43
2/24/2026,141.94,141.94,141.94,141.94
2/25/2026,146.05,146.05,146.05,146.05
2/26/2026,146.57,146.57,146.57,146.57
2/27/2026,146.67,146.67,146.67,146.67
3/2/2026,151.78,151.78,151.78,151.78
3/3/2026,152.83,152.83,152.83,152.83
3/4/2026,152.87,152.87,152.87,152.87
3/5/2026,153.95,153.95,153.95,153.95
3/6/2026,151.8,151.8,151.8,151.8
3/9/2026,157.98,157.98,157.98,157.98
3/10/2026,154.46,154.46,154.46,154.46
3/11/2026,152.44,152.44,152.44,152.44
3/12/2026,139.94,139.94,139.94,139.94
3/13/2026,137.76,137.76,137.76,137.76
3/16/2026,141.49,141.49,141.49,141.49
3/17/2026,145.04,145.04,145.04,145.04
3/18/2026,136.54,136.54,136.54,136.54
3/19/2026,138.26,138.26,138.26,138.26
3/20/2026,139.12,139.12,139.12,139.12
3/23/2026,142.02,142.02,142.02,142.02
3/24/2026,142.63,142.63,142.63,142.63
3/25/2026,140.88,140.88,140.88,140.88
3/26/2026,143.99,143.99,143.99,143.99
3/27/2026,139,139,139,139
3/30/2026,142.23,142.23,142.23,142.23
3/31/2026,145.45,145.45,145.45,145.45
4/1/2026,143.77,143.77,143.77,143.77
4/2/2026,146.95,146.95,146.95,146.95
4/6/2026,147.6,147.6,147.6,147.6
4/7/2026,148.45,148.45,148.45,148.45
4/8/2026,150.36,150.36,150.36,150.36
4/9/2026,143.27,143.27,143.27,143.27
4/10/2026,144.18,144.18,144.18,144.18
4/13/2026,156.93,156.93,156.93,156.93
4/14/2026,149.94,149.94,149.94,149.94
4/15/2026,139.23,139.23,139.23,139.23
4/16/2026,140.74,140.74,140.74,140.74
4/17/2026,141.82,141.82,141.82,141.82
4/20/2026,141.9,141.9,141.9,141.9
4/21/2026,140.91,140.91,140.91,140.91
4/22/2026,140.84,140.84,140.84,140.84
4/23/2026,139.59,139.59,139.59,139.59
4/24/2026,139.08,139.08,139.08,139.08
4/27/2026,139.64,139.64,139.64,139.64
4/28/2026,138.16,138.16,138.16,138.16
