underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
SPY,2023-08-25,SPY,2023-08-25,275.000,C,163.6800,163.6800,163.1700,163.1700,9,10,165.7000,10,165.8500,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,164.6600,37,165.2300,439.9400,439.9500,163.5100,143,
SPY,2023-08-25,SPY,2023-08-25,275.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,6847,0.0100,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,307,0.0100,439.9400,439.9500,0.0000,3414,
SPY,2023-08-25,SPY,2023-08-25,280.000,C,158.7300,158.7300,157.4500,158.3300,5,10,160.7000,10,160.8500,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,159.6600,37,160.2300,439.9400,439.9500,158.2340,86,
SPY,2023-08-25,SPY,2023-08-25,280.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,6809,0.0100,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,102,0.0100,439.9400,439.9500,0.0000,1342,
SPY,2023-08-25,SPY,2023-08-25,285.000,C,153.7300,153.7300,152.0600,152.0600,3,10,155.7000,10,155.8400,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,154.6600,37,155.2400,439.9400,439.9500,152.7467,67,
SPY,2023-08-25,SPY,2023-08-25,285.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,6875,0.0100,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,114,0.0100,439.9400,439.9500,0.0000,1315,
SPY,2023-08-25,SPY,2023-08-25,290.000,C,149.1100,149.1100,149.1100,149.1100,1,37,150.7000,37,150.8400,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,149.8500,37,150.2400,439.9400,439.9500,149.1100,42,
SPY,2023-08-25,SPY,2023-08-25,290.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,6854,0.0100,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,141,0.0100,439.9400,439.9500,0.0000,406,
SPY,2023-08-25,SPY,2023-08-25,295.000,C,0.0000,0.0000,0.0000,0.0000,0,37,145.6900,37,145.8400,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,144.8500,37,145.2500,439.9400,439.9500,0.0000,57,
SPY,2023-08-25,SPY,2023-08-25,295.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,6787,0.0100,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,114,0.0100,439.9400,439.9500,0.0000,243,
SPY,2023-08-25,SPY,2023-08-25,300.000,C,0.0000,0.0000,0.0000,0.0000,0,37,140.6900,37,140.8400,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,139.6600,37,140.3600,439.9400,439.9500,0.0000,48,
SPY,2023-08-25,SPY,2023-08-25,300.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,6782,0.0100,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,141,0.0100,439.9400,439.9500,0.0000,5186,
SPY,2023-08-25,SPY,2023-08-25,305.000,C,0.0000,0.0000,0.0000,0.0000,0,37,135.6900,37,135.8400,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,134.8400,37,135.2500,439.9400,439.9500,0.0000,56,
SPY,2023-08-25,SPY,2023-08-25,305.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,6776,0.0100,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,141,0.0100,439.9400,439.9500,0.0000,5267,
SPY,2023-08-25,SPY,2023-08-25,310.000,C,0.0000,0.0000,0.0000,0.0000,0,37,130.7000,37,130.8500,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,129.6600,37,130.2500,439.9400,439.9500,0.0000,67,
SPY,2023-08-25,SPY,2023-08-25,310.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,6804,0.0100,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,141,0.0100,439.9400,439.9500,0.0000,592,
SPY,2023-08-25,SPY,2023-08-25,315.000,C,0.0000,0.0000,0.0000,0.0000,0,37,125.7000,37,125.8500,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,124.6600,37,125.4300,439.9400,439.9500,0.0000,64,
SPY,2023-08-25,SPY,2023-08-25,315.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,6798,0.0100,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,141,0.0100,439.9400,439.9500,0.0000,2041,
SPY,2023-08-25,SPY,2023-08-25,320.000,C,120.1400,120.5600,120.1400,120.5600,6,37,120.7000,37,120.8500,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,119.6600,37,120.2500,439.9400,439.9500,120.3600,71,
SPY,2023-08-25,SPY,2023-08-25,320.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,6795,0.0100,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,114,0.0100,439.9400,439.9500,0.0000,341,
SPY,2023-08-25,SPY,2023-08-25,325.000,C,0.0000,0.0000,0.0000,0.0000,0,37,115.7000,37,115.8600,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,114.8500,37,115.2500,439.9400,439.9500,0.0000,50,
SPY,2023-08-25,SPY,2023-08-25,325.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,6790,0.0100,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,114,0.0100,439.9400,439.9500,0.0000,3435,
SPY,2023-08-25,SPY,2023-08-25,330.000,C,0.0000,0.0000,0.0000,0.0000,0,37,110.7000,37,110.8600,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,109.8500,37,110.4100,439.9400,439.9500,0.0000,75,
SPY,2023-08-25,SPY,2023-08-25,330.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,6993,0.0100,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,141,0.0100,439.9400,439.9500,0.0000,780,
SPY,2023-08-25,SPY,2023-08-25,335.000,C,103.8500,103.8500,103.8500,103.8500,6,37,105.7100,37,105.8600,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,104.6700,37,105.4100,439.9400,439.9500,103.8500,64,
SPY,2023-08-25,SPY,2023-08-25,335.000,P,0.0100,0.0100,0.0100,0.0100,21,0,0.0000,6921,0.0100,440.7800,440.8000,0.0000,440.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,141,0.0100,439.9400,439.9500,0.0100,1333,
