Record Date,Debt Category,Debt Category Description,Closing Balance Today,Opening Balance Today,Opening Balance This Month,Opening Balance This Fiscal Year,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2026-04-28,Debt Held by the Public,null,31266605,31289756,31431182,30277766,IIIC,Debt Subject to Limit,Balance Transactions,1,2026,3,2026,2,04,28
2026-04-28,Intragovernmental Holdings,null,7685187,7671199,7634239,7359787,IIIC,Debt Subject to Limit,Balance Transactions,2,2026,3,2026,2,04,28
2026-04-28,Debt Not Subject to Limit,Other Debt (-),474,474,475,475,IIIC,Debt Subject to Limit,Balance Transactions,4,2026,3,2026,2,04,28
2026-04-28,Debt Not Subject to Limit,Unamortized Discount (-),171025,170218,170747,106665,IIIC,Debt Subject to Limit,Balance Transactions,5,2026,3,2026,2,04,28
2026-04-28,Debt Not Subject to Limit,Federal Financing Bank (-),4093,4093,4093,4093,IIIC,Debt Subject to Limit,Balance Transactions,6,2026,3,2026,2,04,28
2026-04-28,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2026,3,2026,2,04,28
2026-04-28,Statutory Debt Limit,null,41103996,41103996,41103996,41103996,IIIC,Debt Subject to Limit,Balance Transactions,9,2026,3,2026,2,04,28
2026-04-27,Debt Held by the Public,null,31289756,31289225,31431182,30277766,IIIC,Debt Subject to Limit,Balance Transactions,1,2026,3,2026,2,04,27
2026-04-27,Intragovernmental Holdings,null,7671199,7664445,7634239,7359787,IIIC,Debt Subject to Limit,Balance Transactions,2,2026,3,2026,2,04,27
2026-04-27,Debt Not Subject to Limit,Other Debt (-),474,474,475,475,IIIC,Debt Subject to Limit,Balance Transactions,4,2026,3,2026,2,04,27
2026-04-27,Debt Not Subject to Limit,Unamortized Discount (-),170218,172256,170747,106665,IIIC,Debt Subject to Limit,Balance Transactions,5,2026,3,2026,2,04,27
2026-04-27,Debt Not Subject to Limit,Federal Financing Bank (-),4093,4093,4093,4093,IIIC,Debt Subject to Limit,Balance Transactions,6,2026,3,2026,2,04,27
2026-04-27,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2026,3,2026,2,04,27
2026-04-27,Statutory Debt Limit,null,41103996,41103996,41103996,41103996,IIIC,Debt Subject to Limit,Balance Transactions,9,2026,3,2026,2,04,27
2026-04-24,Debt Held by the Public,null,31289225,31289250,31431182,30277766,IIIC,Debt Subject to Limit,Balance Transactions,1,2026,3,2026,2,04,24
2026-04-24,Intragovernmental Holdings,null,7664445,7646237,7634239,7359787,IIIC,Debt Subject to Limit,Balance Transactions,2,2026,3,2026,2,04,24
2026-04-24,Debt Not Subject to Limit,Other Debt (-),474,474,475,475,IIIC,Debt Subject to Limit,Balance Transactions,4,2026,3,2026,2,04,24
2026-04-24,Debt Not Subject to Limit,Unamortized Discount (-),172256,172936,170747,106665,IIIC,Debt Subject to Limit,Balance Transactions,5,2026,3,2026,2,04,24
2026-04-24,Debt Not Subject to Limit,Federal Financing Bank (-),4093,4093,4093,4093,IIIC,Debt Subject to Limit,Balance Transactions,6,2026,3,2026,2,04,24
2026-04-24,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2026,3,2026,2,04,24
2026-04-24,Statutory Debt Limit,null,41103996,41103996,41103996,41103996,IIIC,Debt Subject to Limit,Balance Transactions,9,2026,3,2026,2,04,24
2026-04-23,Debt Held by the Public,null,31289250,31318022,31431182,30277766,IIIC,Debt Subject to Limit,Balance Transactions,1,2026,3,2026,2,04,23
2026-04-23,Intragovernmental Holdings,null,7646237,7639818,7634239,7359787,IIIC,Debt Subject to Limit,Balance Transactions,2,2026,3,2026,2,04,23
2026-04-23,Debt Not Subject to Limit,Other Debt (-),474,474,475,475,IIIC,Debt Subject to Limit,Balance Transactions,4,2026,3,2026,2,04,23
2026-04-23,Debt Not Subject to Limit,Unamortized Discount (-),172936,170932,170747,106665,IIIC,Debt Subject to Limit,Balance Transactions,5,2026,3,2026,2,04,23
2026-04-23,Debt Not Subject to Limit,Federal Financing Bank (-),4093,4093,4093,4093,IIIC,Debt Subject to Limit,Balance Transactions,6,2026,3,2026,2,04,23
2026-04-23,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2026,3,2026,2,04,23
2026-04-23,Statutory Debt Limit,null,41103996,41103996,41103996,41103996,IIIC,Debt Subject to Limit,Balance Transactions,9,2026,3,2026,2,04,23
2026-04-22,Debt Held by the Public,null,31318022,31317297,31431182,30277766,IIIC,Debt Subject to Limit,Balance Transactions,1,2026,3,2026,2,04,22
2026-04-22,Intragovernmental Holdings,null,7639818,7661964,7634239,7359787,IIIC,Debt Subject to Limit,Balance Transactions,2,2026,3,2026,2,04,22
2026-04-22,Debt Not Subject to Limit,Other Debt (-),474,474,475,475,IIIC,Debt Subject to Limit,Balance Transactions,4,2026,3,2026,2,04,22
2026-04-22,Debt Not Subject to Limit,Unamortized Discount (-),170932,171614,170747,106665,IIIC,Debt Subject to Limit,Balance Transactions,5,2026,3,2026,2,04,22
2026-04-22,Debt Not Subject to Limit,Federal Financing Bank (-),4093,4093,4093,4093,IIIC,Debt Subject to Limit,Balance Transactions,6,2026,3,2026,2,04,22
2026-04-22,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2026,3,2026,2,04,22
2026-04-22,Statutory Debt Limit,null,41103996,41103996,41103996,41103996,IIIC,Debt Subject to Limit,Balance Transactions,9,2026,3,2026,2,04,22
2026-04-21,Debt Held by the Public,null,31317297,31343959,31431182,30277766,IIIC,Debt Subject to Limit,Balance Transactions,1,2026,3,2026,2,04,21
2026-04-21,Intragovernmental Holdings,null,7661964,7648823,7634239,7359787,IIIC,Debt Subject to Limit,Balance Transactions,2,2026,3,2026,2,04,21
2026-04-21,Debt Not Subject to Limit,Other Debt (-),474,474,475,475,IIIC,Debt Subject to Limit,Balance Transactions,4,2026,3,2026,2,04,21
2026-04-21,Debt Not Subject to Limit,Unamortized Discount (-),171614,170815,170747,106665,IIIC,Debt Subject to Limit,Balance Transactions,5,2026,3,2026,2,04,21
2026-04-21,Debt Not Subject to Limit,Federal Financing Bank (-),4093,4093,4093,4093,IIIC,Debt Subject to Limit,Balance Transactions,6,2026,3,2026,2,04,21
2026-04-21,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2026,3,2026,2,04,21
2026-04-21,Statutory Debt Limit,null,41103996,41103996,41103996,41103996,IIIC,Debt Subject to Limit,Balance Transactions,9,2026,3,2026,2,04,21
2026-04-20,Debt Held by the Public,null,31343959,31344221,31431182,30277766,IIIC,Debt Subject to Limit,Balance Transactions,1,2026,3,2026,2,04,20
2026-04-20,Intragovernmental Holdings,null,7648823,7635097,7634239,7359787,IIIC,Debt Subject to Limit,Balance Transactions,2,2026,3,2026,2,04,20
2026-04-20,Debt Not Subject to Limit,Other Debt (-),474,474,475,475,IIIC,Debt Subject to Limit,Balance Transactions,4,2026,3,2026,2,04,20
2026-04-20,Debt Not Subject to Limit,Unamortized Discount (-),170815,172867,170747,106665,IIIC,Debt Subject to Limit,Balance Transactions,5,2026,3,2026,2,04,20
2026-04-20,Debt Not Subject to Limit,Federal Financing Bank (-),4093,4093,4093,4093,IIIC,Debt Subject to Limit,Balance Transactions,6,2026,3,2026,2,04,20
2026-04-20,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2026,3,2026,2,04,20
2026-04-20,Statutory Debt Limit,null,41103996,41103996,41103996,41103996,IIIC,Debt Subject to Limit,Balance Transactions,9,2026,3,2026,2,04,20
2026-04-17,Debt Held by the Public,null,31344221,31359379,31431182,30277766,IIIC,Debt Subject to Limit,Balance Transactions,1,2026,3,2026,2,04,17
2026-04-17,Intragovernmental Holdings,null,7635097,7626618,7634239,7359787,IIIC,Debt Subject to Limit,Balance Transactions,2,2026,3,2026,2,04,17
2026-04-17,Debt Not Subject to Limit,Other Debt (-),474,474,475,475,IIIC,Debt Subject to Limit,Balance Transactions,4,2026,3,2026,2,04,17
2026-04-17,Debt Not Subject to Limit,Unamortized Discount (-),172867,173551,170747,106665,IIIC,Debt Subject to Limit,Balance Transactions,5,2026,3,2026,2,04,17
2026-04-17,Debt Not Subject to Limit,Federal Financing Bank (-),4093,4093,4093,4093,IIIC,Debt Subject to Limit,Balance Transactions,6,2026,3,2026,2,04,17
2026-04-17,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2026,3,2026,2,04,17
2026-04-17,Statutory Debt Limit,null,41103996,41103996,41103996,41103996,IIIC,Debt Subject to Limit,Balance Transactions,9,2026,3,2026,2,04,17
2026-04-16,Debt Held by the Public,null,31359379,31374528,31431182,30277766,IIIC,Debt Subject to Limit,Balance Transactions,1,2026,3,2026,2,04,16
2026-04-16,Intragovernmental Holdings,null,7626618,7613943,7634239,7359787,IIIC,Debt Subject to Limit,Balance Transactions,2,2026,3,2026,2,04,16
2026-04-16,Debt Not Subject to Limit,Other Debt (-),474,475,475,475,IIIC,Debt Subject to Limit,Balance Transactions,4,2026,3,2026,2,04,16
2026-04-16,Debt Not Subject to Limit,Unamortized Discount (-),173551,169750,170747,106665,IIIC,Debt Subject to Limit,Balance Transactions,5,2026,3,2026,2,04,16
2026-04-16,Debt Not Subject to Limit,Federal Financing Bank (-),4093,4093,4093,4093,IIIC,Debt Subject to Limit,Balance Transactions,6,2026,3,2026,2,04,16
2026-04-16,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2026,3,2026,2,04,16
2026-04-16,Statutory Debt Limit,null,41103996,41103996,41103996,41103996,IIIC,Debt Subject to Limit,Balance Transactions,9,2026,3,2026,2,04,16
2026-04-15,Debt Held by the Public,null,31374528,31327077,31431182,30277766,IIIC,Debt Subject to Limit,Balance Transactions,1,2026,3,2026,2,04,15
2026-04-15,Intragovernmental Holdings,null,7613943,7606327,7634239,7359787,IIIC,Debt Subject to Limit,Balance Transactions,2,2026,3,2026,2,04,15
2026-04-15,Debt Not Subject to Limit,Other Debt (-),475,475,475,475,IIIC,Debt Subject to Limit,Balance Transactions,4,2026,3,2026,2,04,15
2026-04-15,Debt Not Subject to Limit,Unamortized Discount (-),169750,170436,170747,106665,IIIC,Debt Subject to Limit,Balance Transactions,5,2026,3,2026,2,04,15
2026-04-15,Debt Not Subject to Limit,Federal Financing Bank (-),4093,4093,4093,4093,IIIC,Debt Subject to Limit,Balance Transactions,6,2026,3,2026,2,04,15
2026-04-15,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2026,3,2026,2,04,15
2026-04-15,Statutory Debt Limit,null,41103996,41103996,41103996,41103996,IIIC,Debt Subject to Limit,Balance Transactions,9,2026,3,2026,2,04,15
2026-04-14,Debt Held by the Public,null,31327077,31364173,31431182,30277766,IIIC,Debt Subject to Limit,Balance Transactions,1,2026,3,2026,2,04,14
2026-04-14,Intragovernmental Holdings,null,7606327,7590752,7634239,7359787,IIIC,Debt Subject to Limit,Balance Transactions,2,2026,3,2026,2,04,14
2026-04-14,Debt Not Subject to Limit,Other Debt (-),475,475,475,475,IIIC,Debt Subject to Limit,Balance Transactions,4,2026,3,2026,2,04,14
2026-04-14,Debt Not Subject to Limit,Unamortized Discount (-),170436,169650,170747,106665,IIIC,Debt Subject to Limit,Balance Transactions,5,2026,3,2026,2,04,14
2026-04-14,Debt Not Subject to Limit,Federal Financing Bank (-),4093,4093,4093,4093,IIIC,Debt Subject to Limit,Balance Transactions,6,2026,3,2026,2,04,14
2026-04-14,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2026,3,2026,2,04,14
2026-04-14,Statutory Debt Limit,null,41103996,41103996,41103996,41103996,IIIC,Debt Subject to Limit,Balance Transactions,9,2026,3,2026,2,04,14
2026-04-13,Debt Held by the Public,null,31364173,31363211,31431182,30277766,IIIC,Debt Subject to Limit,Balance Transactions,1,2026,3,2026,2,04,13
2026-04-13,Intragovernmental Holdings,null,7590752,7583331,7634239,7359787,IIIC,Debt Subject to Limit,Balance Transactions,2,2026,3,2026,2,04,13
2026-04-13,Debt Not Subject to Limit,Other Debt (-),475,475,475,475,IIIC,Debt Subject to Limit,Balance Transactions,4,2026,3,2026,2,04,13
2026-04-13,Debt Not Subject to Limit,Unamortized Discount (-),169650,171721,170747,106665,IIIC,Debt Subject to Limit,Balance Transactions,5,2026,3,2026,2,04,13
2026-04-13,Debt Not Subject to Limit,Federal Financing Bank (-),4093,4093,4093,4093,IIIC,Debt Subject to Limit,Balance Transactions,6,2026,3,2026,2,04,13
2026-04-13,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2026,3,2026,2,04,13
2026-04-13,Statutory Debt Limit,null,41103996,41103996,41103996,41103996,IIIC,Debt Subject to Limit,Balance Transactions,9,2026,3,2026,2,04,13
2026-04-10,Debt Held by the Public,null,31363211,31364680,31431182,30277766,IIIC,Debt Subject to Limit,Balance Transactions,1,2026,3,2026,2,04,10
2026-04-10,Intragovernmental Holdings,null,7583331,7578111,7634239,7359787,IIIC,Debt Subject to Limit,Balance Transactions,2,2026,3,2026,2,04,10
2026-04-10,Debt Not Subject to Limit,Other Debt (-),475,475,475,475,IIIC,Debt Subject to Limit,Balance Transactions,4,2026,3,2026,2,04,10
2026-04-10,Debt Not Subject to Limit,Unamortized Discount (-),171721,172411,170747,106665,IIIC,Debt Subject to Limit,Balance Transactions,5,2026,3,2026,2,04,10
2026-04-10,Debt Not Subject to Limit,Federal Financing Bank (-),4093,4093,4093,4093,IIIC,Debt Subject to Limit,Balance Transactions,6,2026,3,2026,2,04,10
2026-04-10,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2026,3,2026,2,04,10
2026-04-10,Statutory Debt Limit,null,41103996,41103996,41103996,41103996,IIIC,Debt Subject to Limit,Balance Transactions,9,2026,3,2026,2,04,10
