Record Date,Federal Tax Deposit Type,Federal Tax Deposit Type Description,Federal Tax Deposits Today,Federal Tax Deposits Month to Date,Federal Tax Deposits Fiscal Year to Date,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-02-13,Withheld Income and Employment Taxes,null,21905,129872,1242457,IV,Federal Tax Deposits,Classification,1,2023,2,2023,1,02,13
2023-02-13,Individual Income Taxes,null,379,2850,110210,IV,Federal Tax Deposits,Classification,2,2023,2,2023,1,02,13
2023-02-13,Railroad Retirement Taxes,null,146,382,3001,IV,Federal Tax Deposits,Classification,3,2023,2,2023,1,02,13
2023-02-13,Excise Taxes,null,638,1569,28817,IV,Federal Tax Deposits,Classification,4,2023,2,2023,1,02,13
2023-02-13,Corporation Income Taxes,null,1653,2888,123992,IV,Federal Tax Deposits,Classification,5,2023,2,2023,1,02,13
2023-02-13,Federal Unemployment Taxes,null,4,84,2823,IV,Federal Tax Deposits,Classification,6,2023,2,2023,1,02,13
2023-02-13,Estate and Gift Taxes & Misc IRS Rcpts.,null,3,438,1851,IV,Federal Tax Deposits,Classification,7,2023,2,2023,1,02,13
2023-02-13,Cash Federal Tax Deposits,Direct,146,792,13128,IV,Federal Tax Deposits,Classification,9,2023,2,2023,1,02,13
2023-02-13,Cash Federal Tax Deposits,Through Depositaries,24574,130540,1452039,IV,Federal Tax Deposits,Classification,10,2023,2,2023,1,02,13
2023-02-13,Inter-agency Transfers,null,8,6750,47983,IV,Federal Tax Deposits,Classification,12,2023,2,2023,1,02,13
2023-02-10,Individual Income Taxes,null,328,2471,109831,IV,Federal Tax Deposits,Classification,2,2023,2,2023,1,02,10
2023-02-10,Railroad Retirement Taxes,null,63,236,2855,IV,Federal Tax Deposits,Classification,3,2023,2,2023,1,02,10
2023-02-10,Withheld Income and Employment Taxes,null,7659,107968,1220552,IV,Federal Tax Deposits,Classification,1,2023,2,2023,1,02,10
2023-02-10,Excise Taxes,null,624,930,28178,IV,Federal Tax Deposits,Classification,4,2023,2,2023,1,02,10
2023-02-10,Corporation Income Taxes,null,461,1235,122339,IV,Federal Tax Deposits,Classification,5,2023,2,2023,1,02,10
2023-02-10,Federal Unemployment Taxes,null,5,80,2818,IV,Federal Tax Deposits,Classification,6,2023,2,2023,1,02,10
2023-02-10,Estate and Gift Taxes & Misc IRS Rcpts.,null,401,435,1848,IV,Federal Tax Deposits,Classification,7,2023,2,2023,1,02,10
2023-02-10,Cash Federal Tax Deposits,Direct,65,646,12982,IV,Federal Tax Deposits,Classification,9,2023,2,2023,1,02,10
