Record Date,Federal Tax Refund Type,Federal Tax Refund Type Description,Federal Tax Refunds Today,Federal Tax Refunds Month to Date,Federal Tax Refunds Fiscal Year to Date,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2026-04-28,Taxes - Business Tax Refunds (Checks),null,2366,7322,53289,V,Income Tax Refunds Issued,Classification,1,2026,3,2026,2,04,28
2026-04-28,Taxes - Business Tax Refunds (EFT),null,131,3343,19765,V,Income Tax Refunds Issued,Classification,2,2026,3,2026,2,04,28
2026-04-28,Taxes - Individual Tax Refunds (Checks),null,84,4131,26153,V,Income Tax Refunds Issued,Classification,3,2026,3,2026,2,04,28
2026-04-28,Taxes - Individual Tax Refunds (EFT),null,1092,88690,315415,V,Income Tax Refunds Issued,Classification,4,2026,3,2026,2,04,28
2026-04-27,Taxes - Business Tax Refunds (Checks),null,35,4956,50923,V,Income Tax Refunds Issued,Classification,1,2026,3,2026,2,04,27
2026-04-27,Taxes - Business Tax Refunds (EFT),null,540,3212,19634,V,Income Tax Refunds Issued,Classification,2,2026,3,2026,2,04,27
2026-04-27,Taxes - Individual Tax Refunds (Checks),null,73,4048,26069,V,Income Tax Refunds Issued,Classification,3,2026,3,2026,2,04,27
2026-04-27,Taxes - Individual Tax Refunds (EFT),null,1239,87597,314322,V,Income Tax Refunds Issued,Classification,4,2026,3,2026,2,04,27
2026-04-24,Taxes - Business Tax Refunds (Checks),null,21,4921,50888,V,Income Tax Refunds Issued,Classification,1,2026,3,2026,2,04,24
2026-04-24,Taxes - Business Tax Refunds (EFT),null,11,2672,19094,V,Income Tax Refunds Issued,Classification,2,2026,3,2026,2,04,24
2026-04-24,Taxes - Individual Tax Refunds (Checks),null,809,3975,25996,V,Income Tax Refunds Issued,Classification,3,2026,3,2026,2,04,24
2026-04-24,Taxes - Individual Tax Refunds (EFT),null,1516,86359,313084,V,Income Tax Refunds Issued,Classification,4,2026,3,2026,2,04,24
2026-04-23,Taxes - Business Tax Refunds (Checks),null,12,4900,50867,V,Income Tax Refunds Issued,Classification,1,2026,3,2026,2,04,23
2026-04-23,Taxes - Business Tax Refunds (EFT),null,-1,2661,19082,V,Income Tax Refunds Issued,Classification,2,2026,3,2026,2,04,23
2026-04-23,Taxes - Individual Tax Refunds (Checks),null,87,3166,25187,V,Income Tax Refunds Issued,Classification,3,2026,3,2026,2,04,23
