name,trades,wr,pnl,per_day,per_trade,n_days,max_dd,worst_day,best_day,trades_per_day,sharpe
E_VWAP_PULL_10_20+HTF30+ATR5+NY,33,0.3939393939393939,74.98699999997018,4.165944444442788,2.27233333333243,18,-107.50500000000957,-46.96399999999674,55.56400000000693,1.8333333333333333,0.11893453830315949
E_VWAP_PULL_10_20+HTF30+NY,33,0.3939393939393939,74.98699999997018,4.165944444442788,2.27233333333243,18,-107.50500000000957,-46.96399999999674,55.56400000000693,1.8333333333333333,0.11893453830315949
Q_VELOCITY_FADE+HTF30,6,0.5,62.38800000000861,12.477600000001722,10.398000000001435,5,-43.84999999999534,-43.84999999999534,39.21599999999831,1.2,0.3327457570413878
Q_VELOCITY_10_20+HTF30,5,0.6,48.91200000000099,9.782400000000198,9.782400000000198,5,-28.1060000000018,-28.106000000001803,35.891999999997786,1.0,0.30176098114281447
Q_VELOCITY_FADE+ATR5,7,0.42857142857142855,29.856000000007338,4.265142857143905,4.265142857143905,7,-22.542000000003316,-22.542000000003316,39.21599999999831,1.0,0.1342902451393267
Q_VELOCITY_10_20+ATR5,7,0.42857142857142855,7.561999999998374,1.080285714285482,1.080285714285482,7,-64.21400000000284,-28.106000000001803,35.891999999997786,1.0,0.03407296314372628
I_ORB15_15_30+HTF30+ATR5+NY,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
I_ORB15_10_20+HTF30+ATR5+NY,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
I_ORB15_15_30+HTF30+NY,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
I_ORB15_15_30+NY,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
X_GAP_FADE_10_20+HTF30+NY,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Q_VELOCITY_10_20+HTF30+NY,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Q_VELOCITY_FADE+NY,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Q_VELOCITY_10_20+NY,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
I_ORB15_10_20+HTF30+NY,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
I_ORB15_10_20+NY,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Q_VELOCITY_FADE+HTF30+ATR5+NY,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
X_GAP_FADE_10_20+NY,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
X_GAP_FADE_10_20+HTF30+ATR5+NY,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Q_VELOCITY_10_20+HTF30+ATR5+NY,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Q_VELOCITY_FADE+HTF30+NY,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
L_RSI_EXT_80_20_10_20+NY,62,0.3548387096774194,-78.71699999999231,-3.9358499999996157,-1.2696290322579404,20,-262.7069999999993,-164.19799999998793,48.9059999999986,3.1,-0.08049026973398994
L_RSI_EXT_FOLLOW+HTF30+ATR5+NY,7,0.14285714285714285,-95.41399999998946,-15.902333333331576,-13.630571428569922,6,-132.8479999999958,-23.665999999999475,15.566000000002095,1.1666666666666667,-1.026317672532393
