name,trades,wr,pnl,per_day,per_trade,n_days,max_dd,worst_day,best_day,trades_per_day,sharpe
Z_NYSE_OPEN_SHORT,41,0.36585365853658536,-28.243999999994976,-0.6888780487803653,-0.6888780487803653,41,-209.0919999999897,-25.586000000005004,40.50199999999837,1.0,-0.02357062249556361
Z_HOURLY_LONG_10_20,915,0.41092896174863386,-306.10500000000434,-5.886634615384699,-0.3345409836065621,52,-931.0609999999493,-282.7909999999747,351.1469999999835,17.596153846153847,-0.04448130731285896
Z_NYSE_OPEN_LONG,41,0.21951219512195122,-397.29600000000556,-9.690146341463551,-9.690146341463551,41,-432.42200000000764,-26.163999999999067,39.55599999999482,1.0,-0.38575051798571836
Z_HOURLY_LONG_RR1,915,0.5081967213114754,-1971.8430000000294,-37.920057692308255,-2.15501967213118,52,-2071.869000000022,-275.89200000000096,173.85999999999945,17.596153846153847,-0.3612937265665032
Z_HOURLY_SHORT_10_20,915,0.3224043715846995,-3626.802999999929,-69.74621153846017,-3.9637191256829825,52,-3686.98499999987,-376.02000000001044,317.23000000001133,17.596153846153847,-0.4739491361073676
Z_HOURLY_SHORT_RR1,915,0.40437158469945356,-5428.603999999919,-104.39623076922922,-5.932900546447999,52,-5442.265999999813,-359.68999999998164,98.23000000001139,17.596153846153847,-0.8621396617116561
Z_5MIN_RR3_LONG,6737,0.32210182573845925,-18922.572999999466,-363.8956346153743,-2.8087535995249318,52,-19013.96299999892,-1888.205999999958,422.15000000004693,129.55769230769232,-0.7899105922724649
Z_5MIN_SHORT_10_20,7386,0.3479555916598971,-24186.441000000268,-465.12386538462056,-3.274633225020345,52,-24280.554000003445,-1571.453999999965,377.8000000000239,142.03846153846155,-1.099398303542743
Z_5MIN_LONG_10_20,7341,0.35526495027925353,-24307.582999999322,-467.45351923075617,-3.311208690913952,52,-24437.88600000091,-1994.480999999973,383.954000000021,141.17307692307693,-0.9460648244922039
Z_PREV_BAR_FADE,15201,0.3405696993618841,-53256.19000000016,-1024.1575000000032,-3.5034662193276866,52,-53231.41199999567,-2980.340000000093,403.27900000003143,292.3269230769231,-1.2370195634388248
Z_PREV_BAR_FOLLOW,15359,0.33335503613516504,-59913.03600000051,-1152.173769230779,-3.9008422423335185,52,-60135.06299999356,-4255.8249999999625,42.32599999999453,295.36538461538464,-1.1478074077597478
Z_PREV_BAR_FADE_RR1,21122,0.4663857589243443,-78323.40100000011,-1506.2192500000021,-3.708143215604588,52,-78349.18699999183,-4638.99800000004,79.94399999998979,406.1923076923077,-1.347252381329253
Z_PREV_BAR_FOLLOW_RR1,21174,0.450647019930103,-95380.91900000037,-1834.2484423076994,-4.504624492301898,52,-95356.684999998,-6636.121000000002,-47.407000000004146,407.1923076923077,-1.2372214491936557
