name,trades,wr,pnl,per_day,per_trade,n_days,max_dd,worst_day,best_day,trades_per_day,sharpe
H22_LONG_SINGLE_10_20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
H17_LONG_SINGLE_20_60,617,0.4343598055105348,-816.5759999999925,-1.3234619124797287,-1.3234619124797287,617,-1478.4200000000299,-50.12199999999779,121.75600000000647,1.0,-0.03039614966298264
H17_LONG_SINGLE_40_40,617,0.5008103727714749,-1171.6300000000604,-1.8989141004863215,-1.8989141004863215,617,-1669.196000000066,-90.12199999999778,83.7319999999943,1.0,-0.040441643279669245
H17_LONG_SINGLE_30_30,617,0.5008103727714749,-1435.7570000000042,-2.326996758508921,-2.326996758508921,617,-1891.4650000000643,-70.12199999999778,63.731999999994294,1.0,-0.05545926880626364
H20_SHORT_SINGLE_10_20,607,0.37891268533772654,-1451.7960000000157,-2.3917561779242433,-2.3917561779242433,607,-1967.1050000000505,-77.11000000000261,46.32999999999971,1.0,-0.09211427949870148
H19_LONG_SINGLE_10_20,606,0.36633663366336633,-1763.22100000001,-2.909605610561073,-2.909605610561073,606,-2358.262000000017,-32.8340000000046,43.35599999999773,1.0,-0.11134879496538881
H06_LONG_SINGLE_10_20,630,0.3984126984126984,-2292.2640000001693,-3.6385142857145545,-3.6385142857145545,630,-2761.360000000163,-28.71200000000157,40.13199999999575,1.0,-0.18067733248356133
H14_LONG_SINGLE_10_20,626,0.3466453674121406,-2623.0830000000765,-4.190228434504914,-4.190228434504914,626,-2827.7610000000595,-35.69799999999872,61.49799999999755,1.0,-0.1576182361277283
H15_SHORT_SINGLE_10_20,628,0.321656050955414,-2633.9179999999783,-4.194136942675125,-4.194136942675125,628,-2712.7129999999643,-31.539999999995633,45.633999999996156,1.0,-0.15558286417178055
H18_SHORT_SINGLE_10_20,605,0.3305785123966942,-2684.413000000039,-4.4370462809918,-4.4370462809918,605,-2785.249000000025,-29.57400000000256,44.56600000000413,1.0,-0.17365373446216315
H05_SHORT_SINGLE_10_20,632,0.3370253164556962,-2939.3109999998987,-4.650808544303637,-4.650808544303637,632,-2932.7689999998447,-27.06799999999406,42.03399999999761,1.0,-0.265212225593687
H02_SHORT_SINGLE_10_20,634,0.3643533123028391,-2951.5009999999675,-4.655364353312252,-4.655364353312252,634,-2940.68599999992,-39.90799999999785,43.39400000000547,1.0,-0.25511270515224593
H17_LONG_SINGLE_10_20,617,0.3273905996758509,-3021.211000000012,-4.896614262560798,-4.896614262560798,617,-3163.4309999999796,-30.121999999997787,41.75600000000646,1.0,-0.19218085152945538
H07_LONG_SINGLE_10_20,628,0.35987261146496813,-3386.381999999985,-5.392328025477683,-5.392328025477683,628,-3468.9639999999304,-33.65599999999744,45.41000000000145,1.0,-0.23880450021742908
H00_LONG_SINGLE_10_20,630,0.31746031746031744,-4401.297999999866,-6.986187301587089,-6.986187301587089,630,-4549.95799999982,-33.805999999998896,47.26800000000163,1.0,-0.3201740070170481
H20_SHORT_10min_10_20,1752,0.3595890410958904,-5634.909000000011,-8.722769349845217,-3.216272260273979,646,-5926.509999999762,-139.74400000000372,214.15400000001188,2.7120743034055725,-0.21323401517329046
H22_LONG_10min_10_20,1429,0.3729881035689293,-5991.436999999976,-14.684894607843079,-4.1927480755773106,408,-6050.069999999758,-132.00799999998998,128.3110000000079,3.502450980392157,-0.38201639119381875
H17_LONG_5min_15_45,3802,0.38979484481851656,-9517.743000000379,-15.351198387097385,-2.5033516570227192,620,-10693.353999999788,-393.08000000001164,472.36300000000836,6.132258064516129,-0.15065884130902524
