name,trades,wr,pnl,per_day,per_trade,n_days,max_dd,worst_day,best_day,trades_per_day,sharpe
Q_VELOCITY_10_20,10,0.6,82.09199999999109,10.261499999998886,8.20919999999911,8,-64.21400000000284,-28.106000000001803,74.157999999999,1.25,0.26217768070213027
Q_VELOCITY_FADE,10,0.3,-25.439999999986316,-3.1799999999982895,-2.543999999998632,8,-73.25399999998713,-43.84999999999534,39.21599999999831,1.25,-0.09058422856036877
L_RSI_EXT_80_20_10_20,204,0.3627450980392157,-508.7729999999437,-11.563022727271447,-2.4939852941173712,44,-663.0239999999396,-164.19799999998793,120.79800000000074,4.636363636363637,-0.21012479528296857
I_ORB15_10_20,60,0.31666666666666665,-532.9999999999911,-13.324999999999779,-8.883333333333185,40,-547.1899999999856,-53.70600000000238,35.765999999993944,1.5,-0.5570561786687857
I_ORB15_15_30,60,0.31666666666666665,-604.6610000000205,-15.116525000000513,-10.077683333333676,40,-639.0780000000137,-73.70600000000239,53.0979999999961,1.5,-0.4835176465436135
K_PIVOT_REV_8_16,229,0.31004366812227074,-882.7040000000277,-28.474322580646053,-3.8546026200874572,31,-925.1010000000088,-172.56400000001213,73.38599999999774,7.387096774193548,-0.5203958992890763
K_PIVOT_REV_10_20,211,0.3175355450236967,-1000.6010000000248,-32.277451612904024,-4.74218483412334,31,-1104.1740000000073,-233.10299999999987,143.3490000000043,6.806451612903226,-0.41082936805523107
E_VWAP_PULL_10_20,517,0.3829787234042553,-1187.248999999994,-23.27939215686263,-2.296419729206952,51,-1400.6029999999987,-296.95999999996883,159.94499999999184,10.137254901960784,-0.29203540322702887
X_GAP_FADE_10_20,107,0.21495327102803738,-1264.3660000000089,-30.838195121951436,-11.81650467289728,41,-1278.0400000000118,-102.90999999999708,71.95800000000192,2.6097560975609757,-0.6361771383558219
L_RSI_EXT_FOLLOW,185,0.2702702702702703,-1327.5409999999813,-30.17138636363594,-7.175897297297197,44,-1451.6319999999791,-159.47999999998834,54.265999999996275,4.204545454545454,-0.7211727961164159
E_VWAP_PULL_8_16,551,0.35934664246823955,-1338.0179999999903,-26.23564705882334,-2.4283448275861894,51,-1381.389999999989,-233.9789999999711,85.1659999999896,10.803921568627452,-0.380775983973999
E_VWAP_PULL_FADE,501,0.36127744510978044,-1418.2059999999565,-27.807960784312872,-2.8307504990019092,51,-1596.1269999999688,-197.12899999998683,210.00500000001455,9.823529411764707,-0.3458231029873111
F_VWAP_BR_FADE,620,0.36451612903225805,-1614.76500000004,-31.662058823530195,-2.604459677419419,51,-2058.5520000000242,-222.45899999997576,320.1529999999964,12.156862745098039,-0.2986925596263823
F_VWAP_BR_10_20,619,0.36187399030694667,-1875.997000000078,-36.78425490196231,-3.0306898222941485,51,-2260.442000000046,-424.85299999997454,142.02200000000477,12.137254901960784,-0.33570803544066846
R_NEWS_PAUSE_10_20,480,0.3229166666666667,-2401.9320000000475,-46.19100000000091,-5.004025000000099,52,-2536.287000000008,-250.6199999999959,137.37900000000315,9.23076923076923,-0.510195647564085
L_RSI_EXT_75_25_10_20,691,0.3314037626628075,-2527.524000000001,-52.65675000000002,-3.6577771345875556,48,-2608.0559999999778,-347.94500000002006,158.9899999999936,14.395833333333334,-0.49460337990836445
N_ATR_EXP_FADE,920,0.35108695652173916,-2530.6299999999364,-49.620196078430126,-2.7506847826086265,51,-2575.865999999915,-295.8509999999977,208.95000000000783,18.03921568627451,-0.43459649528543937
H_BB_BR_10_20,1089,0.36455463728191,-3459.7419999998656,-67.83807843136991,-3.1769898989897754,51,-3693.1949999998455,-492.9299999999825,146.89400000002092,21.352941176470587,-0.5166952336859698
N_ATR_EXP_10_20,937,0.31803628601921025,-4620.65400000005,-90.60105882353038,-4.931327641408804,51,-4742.166999999964,-523.5699999999738,150.73000000000815,18.372549019607842,-0.6681838359891064
O_CUMDELTA_DIV_FADE,2863,0.3643031784841076,-7986.609000000138,-153.58863461538726,-2.789594481313356,52,-8023.5349999996615,-758.5619999999858,297.0119999999995,55.05769230769231,-0.6822922582754827
G_BB_REV_8_16,2925,0.3230769230769231,-11901.380999999756,-228.87271153845683,-4.068848205128122,52,-11943.106999999192,-906.3359999999941,132.14399999998255,56.25,-1.280078047120421
O_CUMDELTA_DIV_10_20,3125,0.3344,-13512.450000000092,-259.85480769230946,-4.32398400000003,52,-13718.675999999528,-926.8389999999976,182.07699999999429,60.09615384615385,-1.045278883500861
A_CONT_PULL_15_30,7004,0.38763563677898344,-14558.476000000133,-279.9706923076949,-2.078594517418637,52,-14663.950999998968,-1620.7800000000025,635.3790000000679,134.69230769230768,-0.5471295497824336
C_RANGE_BR_20_12_24,4014,0.35924265072247136,-15726.039999999972,-302.4238461538456,-3.9177977080219164,52,-15700.753999999346,-1412.023999999991,337.7430000000104,77.1923076923077,-0.7787248496605016
J_EMA_PULL_FADE,4674,0.3478818998716303,-16575.397000000154,-318.7576346153876,-3.54629803166456,52,-16598.98999999926,-1354.329999999995,268.67299999996527,89.88461538461539,-1.009554896026262
