n,tr_day,wr,per_day,per_trade,maxDD,sharpe,worst_q,n_folds,pos_folds,name
171277,182.6,37.1,-504.0,-2.76,473253.0,-15.99,-793.8,13,0,RENKO R2.0N2mom_S10.0T20.0
129841,138.4,40.4,-351.0,-2.54,329459.0,-12.54,-535.5,13,0,RENKO R2.0N2mom_S15.0T30.0
112436,119.9,42.5,-278.2,-2.32,261222.0,-10.49,-379.1,13,0,RENKO R2.0N2mom_S20.0T40.0
99597,106.2,44.7,-221.1,-2.08,208115.0,-7.85,-441.3,13,0,RENKO R2.0N2mom_S30.0T60.0
171347,182.7,37.7,-480.6,-2.63,450983.0,-15.85,-848.1,13,0,RENKO R2.0N2rev_S10.0T20.0
129706,138.3,41.2,-327.2,-2.37,307208.0,-12.18,-500.4,13,0,RENKO R2.0N2rev_S15.0T30.0
112562,120.0,43.5,-247.6,-2.06,232534.0,-9.51,-466.4,13,0,RENKO R2.0N2rev_S20.0T40.0
99591,106.2,45.9,-182.4,-1.72,172196.0,-7.06,-274.0,13,0,RENKO R2.0N2rev_S30.0T60.0
141236,150.6,36.3,-440.9,-2.93,413930.0,-14.96,-773.0,13,0,RENKO R2.0N3mom_S10.0T20.0
106716,113.8,39.9,-289.2,-2.54,271559.0,-10.78,-471.5,13,0,RENKO R2.0N3mom_S15.0T30.0
91347,97.4,42.2,-231.7,-2.38,217412.0,-8.98,-406.9,13,0,RENKO R2.0N3mom_S20.0T40.0
79450,84.7,44.5,-196.2,-2.32,184735.0,-7.48,-414.1,13,0,RENKO R2.0N3mom_S30.0T60.0
141345,150.7,36.9,-423.8,-2.81,397948.0,-14.26,-714.8,13,0,RENKO R2.0N3rev_S10.0T20.0
106649,113.7,41.1,-262.5,-2.31,246898.0,-9.71,-442.9,13,0,RENKO R2.0N3rev_S15.0T30.0
91543,97.6,43.7,-203.7,-2.09,191448.0,-7.79,-391.0,13,0,RENKO R2.0N3rev_S20.0T40.0
79588,84.8,46.3,-157.2,-1.85,148042.0,-5.73,-314.8,13,0,RENKO R2.0N3rev_S30.0T60.0
82759,89.6,35.2,-262.5,-2.93,243104.0,-10.34,-562.0,13,0,RENKO R2.0N4mom_S10.0T20.0
65251,70.6,38.2,-210.3,-2.98,194908.0,-8.56,-461.6,13,0,RENKO R2.0N4mom_S15.0T30.0
55577,60.1,41.3,-154.3,-2.57,143219.0,-6.61,-301.1,13,1,RENKO R2.0N4mom_S20.0T40.0
47019,50.9,44.4,-113.7,-2.23,106210.0,-4.74,-237.5,13,1,RENKO R2.0N4mom_S30.0T60.0
82736,89.5,35.4,-257.6,-2.88,238206.0,-10.11,-496.1,13,0,RENKO R2.0N4rev_S10.0T20.0
65349,70.7,38.7,-202.5,-2.86,187785.0,-7.76,-455.5,13,0,RENKO R2.0N4rev_S15.0T30.0
55795,60.4,41.9,-150.2,-2.49,139126.0,-6.2,-308.1,13,0,RENKO R2.0N4rev_S20.0T40.0
47175,51.1,45.5,-96.7,-1.89,90728.0,-3.95,-241.8,13,0,RENKO R2.0N4rev_S30.0T60.0
164788,175.7,36.8,-496.0,-2.82,465719.0,-15.79,-842.0,13,0,RENKO R3.0N2mom_S10.0T20.0
124626,132.9,40.3,-325.8,-2.45,305755.0,-11.75,-560.1,13,0,RENKO R3.0N2mom_S15.0T30.0
