n,tr_day,wr,per_day,per_trade,maxDD,sharpe,worst_q,n_folds,pos_folds,name,fam,mode
179644,191.5,30.8,-710.4,-3.71,666412.0,-21.43,-1041.9,13,0,FADE5w3_trailS30.0T0.0B0.0tr8.0,imp,trail
119436,127.3,37.5,-412.7,-3.24,387777.0,-15.09,-693.6,13,0,FADE5w3_trailS30.0T0.0B0.0tr15.0,imp,trail
99473,106.0,40.7,-296.6,-2.8,279348.0,-11.13,-545.0,13,0,FADE5w3_trailS40.0T0.0B0.0tr20.0,imp,trail
139038,148.2,34.9,-512.6,-3.46,481330.0,-17.48,-802.6,13,0,FADE5w3_trailS30.0T60.0B0.0tr12.0,imp,trail
99255,105.8,32.4,-268.0,-2.53,252078.0,-10.55,-483.3,13,0,FADE5w3_beS20.0T40.0B10.0tr0.0,imp,be
81743,87.1,39.4,-191.4,-2.2,180074.0,-7.64,-392.1,13,0,FADE5w3_beS30.0T60.0B15.0tr0.0,imp,be
120038,128.0,36.9,-411.3,-3.21,386635.0,-14.87,-706.2,13,0,FADE5w3_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
100398,107.0,39.8,-294.0,-2.75,276639.0,-11.29,-527.7,13,0,FADE5w3_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
86237,91.9,43.9,-212.4,-2.31,199649.0,-8.24,-420.0,13,0,FADE5w3_fixedS20.0T40.0B0.0tr0.0,imp,fixed
75584,80.6,46.4,-168.5,-2.09,158181.0,-6.51,-376.7,13,0,FADE5w3_fixedS30.0T60.0B0.0tr0.0,imp,fixed
94228,100.9,30.6,-379.5,-3.76,354767.0,-20.86,-538.3,13,0,FADE5w3_w50_trailS30.0T0.0B0.0tr8.0,imp,trail
73542,78.7,37.3,-263.1,-3.34,246474.0,-13.85,-422.0,13,0,FADE5w3_w50_trailS30.0T0.0B0.0tr15.0,imp,trail
64395,68.9,40.2,-195.0,-2.83,182709.0,-10.35,-334.8,13,0,FADE5w3_w50_trailS40.0T0.0B0.0tr20.0,imp,trail
81363,87.1,34.8,-305.8,-3.51,286009.0,-16.27,-456.8,13,0,FADE5w3_w50_trailS30.0T60.0B0.0tr12.0,imp,trail
62849,67.3,32.2,-156.0,-2.32,145952.0,-8.85,-280.5,13,0,FADE5w3_w50_beS20.0T40.0B10.0tr0.0,imp,be
54574,58.4,38.6,-116.6,-2.0,109366.0,-6.3,-233.7,13,0,FADE5w3_w50_beS30.0T60.0B15.0tr0.0,imp,be
73786,79.0,36.6,-264.9,-3.35,247962.0,-13.86,-419.0,13,0,FADE5w3_w50_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
64780,69.4,39.2,-197.2,-2.84,184912.0,-10.64,-335.9,13,0,FADE5w3_w50_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
56087,60.1,43.8,-113.1,-1.88,105831.0,-6.09,-189.3,13,0,FADE5w3_w50_fixedS20.0T40.0B0.0tr0.0,imp,fixed
50800,54.4,46.2,-89.5,-1.65,84298.0,-4.56,-175.3,13,0,FADE5w3_w50_fixedS30.0T60.0B0.0tr0.0,imp,fixed
133006,141.8,31.0,-513.7,-3.62,481824.0,-21.22,-835.5,13,0,FADE5w3_a50_trailS30.0T0.0B0.0tr8.0,imp,trail
97698,104.2,37.6,-334.5,-3.21,313915.0,-13.67,-643.1,13,0,FADE5w3_a50_trailS30.0T0.0B0.0tr15.0,imp,trail
83790,89.3,40.7,-254.1,-2.85,238405.0,-10.49,-523.3,13,0,FADE5w3_a50_trailS40.0T0.0B0.0tr20.0,imp,trail
