n,tr_day,wr,per_day,per_trade,total,maxDD,sharpe,worst_q,pos_yrs,n_yrs,worst_yr,name
380,1.0,54.2,17.6,17.6,6692.0,2576.0,0.89,-1016.0,3,4,-569.0,PDH_5min_N0ob0_T_s0t0a0
1011,2.5,42.3,3.5,1.4,1411.0,5429.0,0.21,-1320.0,2,4,-1415.0,PDH_5min_N0ob0_T_s0t0a2.0
961,2.37,34.2,0.4,0.2,173.0,6305.0,0.03,-2132.0,1,4,-852.0,PDH_5min_N0ob0_T_s30t0a3.0
1955,4.76,35.5,0.9,0.2,378.0,4758.0,0.06,-1413.0,1,4,-280.0,PDH_5min_N0ob0_T_s20t60a0
662,1.68,34.6,5.4,3.2,2121.0,5884.0,0.3,-2074.0,1,4,-577.0,PDH_5min_N0ob0_T_s40t0a0
632,1.0,50.9,4.6,4.6,2889.0,8776.0,0.21,-4035.0,3,4,-5070.0,PDH_5min_N0ob0_x_s0t0a0
1885,2.77,39.5,-7.5,-2.7,-5092.0,9432.0,-0.42,-2749.0,1,4,-4656.0,PDH_5min_N0ob0_x_s0t0a2.0
1800,2.66,32.1,-6.6,-2.5,-4470.0,10098.0,-0.37,-2684.0,1,4,-5545.0,PDH_5min_N0ob0_x_s30t0a3.0
3725,5.45,34.0,-10.2,-1.9,-6962.0,10645.0,-0.66,-2382.0,1,4,-6117.0,PDH_5min_N0ob0_x_s20t60a0
1223,1.86,31.9,-3.6,-1.9,-2366.0,9698.0,-0.19,-2240.0,1,4,-5753.0,PDH_5min_N0ob0_x_s40t0a0
488,1.0,53.9,18.4,18.4,8961.0,5189.0,0.92,-1933.0,3,4,-702.0,ORB_5min_N0ob30_T_s0t0a0
1082,2.13,42.0,12.8,6.0,6511.0,4644.0,0.81,-2627.0,3,4,-103.0,ORB_5min_N0ob30_T_s0t0a2.0
974,1.92,35.6,18.2,9.4,9202.0,3644.0,1.16,-1730.0,3,4,-83.0,ORB_5min_N0ob30_T_s30t0a3.0
1917,3.73,36.4,9.6,2.6,4948.0,4026.0,0.71,-1786.0,3,4,-361.0,ORB_5min_N0ob30_T_s20t60a0
696,1.39,38.4,19.8,14.2,9876.0,3906.0,1.2,-2108.0,4,4,491.0,ORB_5min_N0ob30_T_s40t0a0
426,1.0,52.8,15.7,15.7,6694.0,5988.0,0.85,-2167.0,3,4,-556.0,ORB_5min_N0ob60_T_s0t0a0
849,1.92,42.2,9.9,5.2,4385.0,4671.0,0.66,-1747.0,3,4,-564.0,ORB_5min_N0ob60_T_s0t0a2.0
792,1.79,36.1,9.7,5.4,4267.0,4658.0,0.64,-1740.0,3,4,-636.0,ORB_5min_N0ob60_T_s30t0a3.0
1464,3.27,35.5,0.4,0.1,160.0,3732.0,0.03,-933.0,2,4,-538.0,ORB_5min_N0ob60_T_s20t60a0
583,1.34,38.1,11.2,8.3,4850.0,4319.0,0.72,-1210.0,3,4,-392.0,ORB_5min_N0ob60_T_s40t0a0
769,1.0,51.8,2.5,2.5,1900.0,9955.0,0.11,-2646.0,3,4,-1825.0,ORB_5min_N0ob30_x_s0t0a0
2282,2.71,40.3,-0.8,-0.3,-649.0,11187.0,-0.04,-2816.0,2,4,-4743.0,ORB_5min_N0ob30_x_s0t0a2.0
2128,2.57,33.1,2.3,0.9,1876.0,8377.0,0.12,-2340.0,2,4,-2858.0,ORB_5min_N0ob30_x_s30t0a3.0
4269,5.11,34.0,-3.9,-0.8,-3275.0,8814.0,-0.25,-2668.0,1,4,-3618.0,ORB_5min_N0ob30_x_s20t60a0
1493,1.83,34.8,5.8,3.2,4722.0,6931.0,0.3,-1761.0,2,4,-2618.0,ORB_5min_N0ob30_x_s40t0a0
727,1.0,49.1,2.1,2.1,1545.0,7864.0,0.11,-2904.0,2,4,-3195.0,ORB_5min_N0ob60_x_s0t0a0
1752,2.22,40.1,-1.3,-0.6,-990.0,7738.0,-0.08,-2493.0,2,4,-2112.0,ORB_5min_N0ob60_x_s0t0a2.0
1673,2.15,33.4,-4.1,-1.9,-3225.0,7332.0,-0.24,-3141.0,1,4,-1795.0,ORB_5min_N0ob60_x_s30t0a3.0
3175,4.05,33.9,-9.5,-2.4,-7477.0,9545.0,-0.68,-2416.0,0,4,-3572.0,ORB_5min_N0ob60_x_s20t60a0
1227,1.61,35.0,-0.3,-0.2,-209.0,6705.0,-0.02,-2509.0,2,4,-1420.0,ORB_5min_N0ob60_x_s40t0a0
705,1.0,53.8,9.2,9.2,6515.0,5398.0,0.4,-2017.0,2,4,-491.0,DON_5min_N12ob0_T_s0t0a0
1288,1.77,39.3,2.9,1.6,2095.0,4017.0,0.19,-2647.0,2,4,-2327.0,DON_5min_N12ob0_T_s0t0a2.0
1273,1.75,33.5,3.7,2.1,2689.0,3775.0,0.25,-1742.0,3,4,-1946.0,DON_5min_N12ob0_T_s30t0a3.0
1841,2.53,34.4,1.0,0.4,719.0,2999.0,0.1,-957.0,2,4,-927.0,DON_5min_N12ob0_T_s20t60a0
1108,1.51,36.0,6.5,4.3,4782.0,3760.0,0.4,-1023.0,3,4,-937.0,DON_5min_N12ob0_T_s40t0a0
626,1.0,54.6,5.9,5.9,3675.0,5282.0,0.27,-3390.0,3,4,-3637.0,DON_5min_N24ob0_T_s0t0a0
924,1.45,40.4,-0.2,-0.1,-126.0,4903.0,-0.01,-4504.0,2,4,-3521.0,DON_5min_N24ob0_T_s0t0a2.0
923,1.45,34.8,4.6,3.2,2913.0,2836.0,0.32,-1834.0,2,4,-1166.0,DON_5min_N24ob0_T_s30t0a3.0
1329,2.07,36.0,4.2,2.0,2719.0,3095.0,0.45,-1177.0,3,4,-821.0,DON_5min_N24ob0_T_s20t60a0
