n,tr_day,wr,per_day,per_trade,maxDD,sharpe,worst_q,n_folds,pos_folds,name,fam
153551,163.7,37.1,-441.3,-2.7,414192.0,-15.95,-668.4,13,0,OFIw6t8.0f1,ofi
116144,123.8,40.4,-307.2,-2.48,288463.0,-11.92,-489.6,13,0,OFIw6t8.0f1,ofi
100261,106.9,43.0,-226.5,-2.12,212794.0,-8.96,-349.2,13,0,OFIw6t8.0f1,ofi
153891,164.1,37.2,-456.8,-2.78,429309.0,-14.74,-812.0,13,0,OFIw6t8.0f-1,ofi
116499,124.2,40.9,-308.3,-2.48,289826.0,-12.12,-525.3,13,0,OFIw6t8.0f-1,ofi
100363,107.0,43.3,-229.1,-2.14,216045.0,-9.13,-335.8,13,0,OFIw6t8.0f-1,ofi
106105,113.4,36.0,-308.7,-2.72,289097.0,-12.92,-468.5,13,0,OFIw6t15.0f1,ofi
79955,85.4,39.5,-217.9,-2.55,204156.0,-9.62,-345.7,13,0,OFIw6t15.0f1,ofi
67341,71.9,42.6,-157.8,-2.19,149165.0,-6.57,-293.5,13,0,OFIw6t15.0f1,ofi
106572,113.9,35.3,-351.3,-3.09,329002.0,-13.17,-595.5,13,0,OFIw6t15.0f-1,ofi
80121,85.6,38.9,-258.5,-3.02,242104.0,-10.14,-497.6,13,0,OFIw6t15.0f-1,ofi
67527,72.1,41.8,-189.9,-2.63,177927.0,-7.88,-315.3,13,0,OFIw6t15.0f-1,ofi
60147,67.1,34.4,-195.5,-2.91,175376.0,-11.52,-287.4,13,0,OFIw6t25.0f1,ofi
46987,52.4,37.8,-131.4,-2.51,118519.0,-7.05,-228.7,13,0,OFIw6t25.0f1,ofi
39422,44.0,41.1,-91.6,-2.08,84502.0,-4.67,-160.4,13,0,OFIw6t25.0f1,ofi
60021,67.0,33.5,-221.7,-3.31,198758.0,-11.06,-370.6,13,0,OFIw6t25.0f-1,ofi
47103,52.6,36.4,-183.0,-3.48,163994.0,-8.9,-353.2,13,0,OFIw6t25.0f-1,ofi
39494,44.1,39.8,-128.3,-2.91,115032.0,-6.26,-240.2,13,0,OFIw6t25.0f-1,ofi
162275,173.0,37.4,-447.0,-2.58,419624.0,-16.36,-613.7,13,0,OFIw12t8.0f1,ofi
123240,131.4,40.8,-298.5,-2.27,280884.0,-10.99,-446.2,13,0,OFIw12t8.0f1,ofi
106662,113.7,43.1,-229.5,-2.02,215778.0,-9.44,-314.1,13,0,OFIw12t8.0f1,ofi
162892,173.7,37.3,-469.7,-2.7,440743.0,-15.02,-841.0,13,0,OFIw12t8.0f-1,ofi
123539,131.7,40.8,-329.9,-2.5,309731.0,-11.75,-520.6,13,0,OFIw12t8.0f-1,ofi
106796,113.9,43.1,-261.1,-2.29,245105.0,-9.72,-446.1,13,0,OFIw12t8.0f-1,ofi
125238,133.5,36.5,-363.4,-2.72,341151.0,-14.35,-568.6,13,0,OFIw12t15.0f1,ofi
93863,100.1,40.3,-232.9,-2.33,219263.0,-9.65,-408.7,13,0,OFIw12t15.0f1,ofi
79519,84.8,43.1,-168.4,-1.99,158565.0,-6.55,-234.6,13,0,OFIw12t15.0f1,ofi
125870,134.2,36.0,-403.9,-3.01,378920.0,-14.58,-642.1,13,0,OFIw12t15.0f-1,ofi
94154,100.4,39.8,-283.9,-2.83,266344.0,-10.75,-505.8,13,0,OFIw12t15.0f-1,ofi
79806,85.1,42.3,-222.9,-2.62,209350.0,-8.34,-403.8,13,0,OFIw12t15.0f-1,ofi
79719,87.5,35.1,-243.3,-2.78,222199.0,-11.52,-422.6,13,0,OFIw12t25.0f1,ofi
60557,66.5,38.8,-152.3,-2.29,139119.0,-6.93,-252.3,13,0,OFIw12t25.0f1,ofi
50755,55.7,41.5,-124.3,-2.23,114019.0,-5.63,-207.2,13,1,OFIw12t25.0f1,ofi
79778,87.6,34.1,-291.6,-3.33,265892.0,-12.87,-474.1,13,0,OFIw12t25.0f-1,ofi
60634,66.6,37.7,-210.6,-3.16,191941.0,-9.27,-373.9,13,0,OFIw12t25.0f-1,ofi
50606,55.5,40.6,-172.3,-3.1,157201.0,-7.44,-327.2,13,0,OFIw12t25.0f-1,ofi
166744,177.8,37.4,-471.1,-2.65,442174.0,-16.18,-679.1,13,0,OFIw24t8.0f1,ofi
126915,135.3,40.8,-314.8,-2.33,295824.0,-11.84,-498.0,13,0,OFIw24t8.0f1,ofi
110295,117.6,43.1,-239.8,-2.04,225468.0,-9.4,-372.7,13,0,OFIw24t8.0f1,ofi
167555,178.6,37.3,-498.4,-2.79,467751.0,-15.95,-793.3,13,0,OFIw24t8.0f-1,ofi
127297,135.7,40.9,-338.5,-2.49,317742.0,-12.22,-569.9,13,0,OFIw24t8.0f-1,ofi
110481,117.8,43.1,-268.7,-2.28,252122.0,-10.06,-445.1,13,0,OFIw24t8.0f-1,ofi
140060,149.3,36.9,-396.2,-2.65,371979.0,-14.83,-587.9,13,0,OFIw24t15.0f1,ofi
105318,112.3,40.4,-264.9,-2.36,248640.0,-10.41,-413.5,13,0,OFIw24t15.0f1,ofi
90048,96.0,43.1,-179.8,-1.87,168952.0,-7.31,-318.1,13,0,OFIw24t15.0f1,ofi
141207,150.5,36.5,-444.0,-2.95,416632.0,-15.62,-693.7,13,0,OFIw24t15.0f-1,ofi
105833,112.8,40.2,-305.6,-2.71,287163.0,-11.16,-479.1,13,0,OFIw24t15.0f-1,ofi
90392,96.4,42.7,-251.9,-2.61,237824.0,-9.36,-407.9,13,0,OFIw24t15.0f-1,ofi
98515,106.3,35.7,-291.7,-2.74,270641.0,-12.46,-475.3,13,0,OFIw24t25.0f1,ofi
74201,80.0,39.3,-188.0,-2.35,174707.0,-8.11,-355.7,13,0,OFIw24t25.0f1,ofi
62103,67.0,42.3,-136.3,-2.03,126737.0,-6.13,-250.0,13,0,OFIw24t25.0f1,ofi
99297,107.1,35.1,-329.5,-3.08,305734.0,-13.26,-542.9,13,0,OFIw24t25.0f-1,ofi
74418,80.3,38.7,-236.2,-2.94,218991.0,-9.5,-385.9,13,0,OFIw24t25.0f-1,ofi
62149,67.0,41.5,-195.9,-2.92,181750.0,-8.23,-373.1,13,0,OFIw24t25.0f-1,ofi
89124,95.0,38.8,-252.8,-2.66,237647.0,-15.51,-363.4,13,0,INTw12x3.0f1,int
74341,79.3,43.4,-167.2,-2.11,157475.0,-9.41,-240.2,13,0,INTw12x3.0f1,int
88400,94.2,40.4,-225.0,-2.39,211161.0,-14.29,-340.4,13,0,INTw12x3.0f-1,int
74430,79.3,45.2,-147.3,-1.86,139084.0,-8.44,-227.2,13,0,INTw12x3.0f-1,int
28262,30.3,39.4,-73.8,-2.44,69248.0,-9.24,-99.3,13,0,INTw12x5.0f1,int
26675,28.6,43.0,-54.1,-1.89,51087.0,-5.34,-85.6,13,0,INTw12x5.0f1,int
28271,30.3,41.7,-71.2,-2.35,66592.0,-9.29,-130.2,13,0,INTw12x5.0f-1,int
26704,28.6,46.3,-53.2,-1.86,49997.0,-5.25,-96.8,13,0,INTw12x5.0f-1,int
92428,98.5,38.6,-258.7,-2.63,242941.0,-15.38,-341.5,13,0,INTw60x3.0f1,int
76838,81.9,43.2,-172.8,-2.11,162918.0,-9.51,-288.7,13,0,INTw60x3.0f1,int
91862,97.9,39.8,-247.2,-2.52,232269.0,-14.87,-353.5,13,0,INTw60x3.0f-1,int
76796,81.9,45.2,-152.5,-1.86,143933.0,-8.46,-220.2,13,0,INTw60x3.0f-1,int
48145,51.3,38.6,-140.6,-2.74,131999.0,-12.54,-197.3,13,0,INTw60x5.0f1,int
43951,46.9,42.5,-104.3,-2.23,98296.0,-7.71,-163.2,13,0,INTw60x5.0f1,int
47893,51.1,41.5,-114.4,-2.24,107384.0,-10.85,-188.7,13,0,INTw60x5.0f-1,int
43921,46.8,46.4,-77.3,-1.65,73311.0,-5.95,-145.7,13,0,INTw60x5.0f-1,int
75177,80.5,39.3,-207.4,-2.58,193991.0,-8.01,-390.7,13,0,MRe12s5.0f1,mr
62292,66.7,42.5,-162.2,-2.43,151704.0,-6.1,-320.8,13,0,MRe12s5.0f1,mr
75016,80.3,37.9,-229.4,-2.86,215333.0,-8.78,-453.2,13,0,MRe12s5.0f-1,mr
62068,66.5,41.0,-172.8,-2.6,161785.0,-6.58,-360.2,13,0,MRe12s5.0f-1,mr
33499,37.2,35.8,-102.2,-2.75,92215.0,-5.27,-276.9,13,1,MRe12s10.0f1,mr
28070,31.2,38.6,-87.6,-2.81,79005.0,-4.1,-248.3,13,1,MRe12s10.0f1,mr
33360,37.0,34.2,-126.6,-3.42,114661.0,-6.81,-310.2,13,0,MRe12s10.0f-1,mr
27769,30.8,37.2,-95.5,-3.1,86117.0,-4.81,-240.0,13,0,MRe12s10.0f-1,mr
104694,111.6,40.8,-293.9,-2.63,276316.0,-9.71,-516.5,13,0,MRe60s5.0f1,mr
88423,94.3,43.8,-209.5,-2.22,197923.0,-7.7,-463.1,13,0,MRe60s5.0f1,mr
103927,110.8,39.7,-293.6,-2.65,275823.0,-10.73,-553.1,13,0,MRe60s5.0f-1,mr
87817,93.6,42.2,-227.5,-2.43,213651.0,-8.22,-487.4,13,0,MRe60s5.0f-1,mr
69119,74.5,38.7,-200.1,-2.69,186164.0,-7.36,-458.8,13,0,MRe60s10.0f1,mr
56466,60.8,41.9,-159.6,-2.62,148989.0,-6.43,-424.7,13,0,MRe60s10.0f1,mr
66928,72.1,37.3,-222.8,-3.09,207129.0,-8.8,-512.1,13,0,MRe60s10.0f-1,mr
55016,59.3,40.5,-154.4,-2.6,143550.0,-6.14,-362.4,13,0,MRe60s10.0f-1,mr
