n,tr_day,wr,per_day,per_trade,maxDD,sharpe,worst_q,n_folds,pos_folds,name,horizon,margin
7076,14.0,36.3,-42.5,-3.05,21979.0,-4.38,-70.0,8,0,ML_H5m0.06_S15.0T30.0,5,0.06
6286,12.4,38.7,-41.1,-3.32,21286.0,-3.65,-71.6,8,0,ML_H5m0.06_S20.0T40.0,5,0.06
5292,10.4,43.3,-28.3,-2.71,15625.0,-2.14,-75.8,8,0,ML_H5m0.06_S30.0T60.0,5,0.06
1722,5.1,37.2,-5.7,-1.11,2490.0,-0.96,-27.6,8,3,ML_H5m0.1_S15.0T30.0,5,0.1
1573,4.7,37.2,-12.0,-2.57,4308.0,-1.89,-26.8,8,1,ML_H5m0.1_S20.0T40.0,5,0.1
1367,4.0,39.3,-13.8,-3.42,5411.0,-1.72,-27.3,8,1,ML_H5m0.1_S30.0T60.0,5,0.1
362,3.2,30.4,-20.9,-6.53,2658.0,-4.39,-40.4,8,0,ML_H5m0.15_S15.0T30.0,5,0.15
347,3.1,29.4,-30.7,-10.0,3810.0,-4.92,-82.9,8,1,ML_H5m0.15_S20.0T40.0,5,0.15
318,2.8,35.2,-14.3,-5.07,2490.0,-2.09,-54.7,8,2,ML_H5m0.15_S30.0T60.0,5,0.15
11933,23.5,35.6,-77.4,-3.29,39449.0,-5.91,-119.4,8,0,ML_H15m0.06_S15.0T30.0,15,0.06
10113,19.9,38.2,-60.5,-3.05,31118.0,-4.43,-107.1,8,0,ML_H15m0.06_S20.0T40.0,15,0.06
8205,16.1,42.6,-44.2,-2.74,22825.0,-2.78,-89.8,8,0,ML_H15m0.06_S30.0T60.0,15,0.06
4434,9.2,35.6,-28.6,-3.09,14109.0,-3.26,-64.1,8,1,ML_H15m0.1_S15.0T30.0,15,0.1
3859,8.0,36.8,-29.2,-3.64,14681.0,-2.91,-72.9,8,3,ML_H15m0.1_S20.0T40.0,15,0.1
3210,6.7,40.7,-26.4,-3.97,14199.0,-2.19,-90.3,8,2,ML_H15m0.1_S30.0T60.0,15,0.1
1437,5.2,36.0,-12.8,-2.48,3842.0,-2.18,-33.0,8,2,ML_H15m0.15_S15.0T30.0,15,0.15
1277,4.6,36.8,-12.2,-2.67,3822.0,-1.67,-36.7,8,1,ML_H15m0.15_S20.0T40.0,15,0.15
1065,3.8,40.2,-10.2,-2.68,4782.0,-1.12,-35.6,8,2,ML_H15m0.15_S30.0T60.0,15,0.15
14489,28.5,36.1,-84.4,-2.96,43660.0,-5.96,-151.5,8,0,ML_H30m0.06_S15.0T30.0,30,0.06
11920,23.5,38.9,-56.8,-2.42,30088.0,-3.72,-121.0,8,1,ML_H30m0.06_S20.0T40.0,30,0.06
9446,18.6,43.1,-37.3,-2.0,20313.0,-2.13,-73.8,8,1,ML_H30m0.06_S30.0T60.0,30,0.06
6669,13.5,35.6,-40.5,-2.99,20401.0,-4.17,-85.5,8,0,ML_H30m0.1_S15.0T30.0,30,0.1
5609,11.4,37.7,-28.5,-2.51,15813.0,-2.8,-64.1,8,2,ML_H30m0.1_S20.0T40.0,30,0.1
4526,9.2,41.4,-22.2,-2.42,13136.0,-1.72,-66.8,8,2,ML_H30m0.1_S30.0T60.0,30,0.1
2681,7.4,35.4,-22.2,-3.0,8108.0,-3.23,-55.4,8,0,ML_H30m0.15_S15.0T30.0,30,0.15
2282,6.3,37.7,-13.4,-2.13,4975.0,-1.83,-33.4,8,2,ML_H30m0.15_S20.0T40.0,30,0.15
1843,5.1,40.9,-8.6,-1.69,3980.0,-0.96,-25.3,8,1,ML_H30m0.15_S30.0T60.0,30,0.15
