n,wr,per_day,per_trade,maxDD,sharpe,worst_q,n_folds,pos_folds,name,fam
773,33.0,-4.6,-4.58,4561.0,-1.32,-13.5,13,4,HOUR13.5d1h3600,hour
773,34.4,-5.7,-5.69,5517.0,-1.16,-19.3,13,3,HOUR13.5d1h3600,hour
773,48.4,-2.1,-2.14,4534.0,-0.19,-29.1,13,5,HOUR13.5d1h3600,hour
773,32.1,-4.3,-4.31,4442.0,-1.2,-15.6,13,5,HOUR13.5d1h7200,hour
773,32.0,-6.4,-6.43,6060.0,-1.23,-33.1,13,3,HOUR13.5d1h7200,hour
773,51.4,-8.9,-8.89,9368.0,-0.52,-55.2,13,4,HOUR13.5d1h7200,hour
773,32.1,-4.3,-4.28,4432.0,-1.19,-15.0,13,5,HOUR13.5d1h21600,hour
773,31.3,-6.7,-6.67,6334.0,-1.26,-33.1,13,3,HOUR13.5d1h21600,hour
773,54.3,5.4,5.42,5650.0,0.21,-38.9,13,7,HOUR13.5d1h21600,hour
773,34.3,-2.8,-2.78,2844.0,-0.79,-15.7,13,5,HOUR13.5d-1h3600,hour
773,40.5,4.4,4.4,1322.0,0.86,-22.9,13,7,HOUR13.5d-1h3600,hour
773,50.2,-0.8,-0.83,4946.0,-0.07,-52.1,13,6,HOUR13.5d-1h3600,hour
773,32.9,-3.4,-3.4,3175.0,-0.94,-14.6,13,5,HOUR13.5d-1h7200,hour
773,36.0,1.5,1.48,1928.0,0.27,-21.4,13,8,HOUR13.5d-1h7200,hour
773,48.3,5.9,5.92,4702.0,0.35,-57.2,13,8,HOUR13.5d-1h7200,hour
773,32.6,-3.5,-3.47,3221.0,-0.96,-15.0,13,5,HOUR13.5d-1h21600,hour
773,36.1,1.7,1.72,1954.0,0.32,-22.3,13,8,HOUR13.5d-1h21600,hour
773,45.3,-8.4,-8.39,11048.0,-0.33,-85.6,13,6,HOUR13.5d-1h21600,hour
773,34.4,-2.4,-2.43,2940.0,-0.68,-18.9,13,6,HOUR14.5d1h3600,hour
773,35.1,-5.3,-5.34,5047.0,-1.06,-30.1,13,4,HOUR14.5d1h3600,hour
773,49.7,-8.9,-8.86,10705.0,-0.71,-37.2,13,6,HOUR14.5d1h3600,hour
773,34.0,-2.4,-2.38,2864.0,-0.66,-16.8,13,7,HOUR14.5d1h7200,hour
773,34.7,-3.9,-3.86,4067.0,-0.74,-24.0,13,5,HOUR14.5d1h7200,hour
773,52.8,-2.1,-2.08,7306.0,-0.13,-48.2,13,8,HOUR14.5d1h7200,hour
773,33.2,-2.5,-2.52,2936.0,-0.7,-17.9,13,7,HOUR14.5d1h21600,hour
773,33.1,-3.2,-3.2,3687.0,-0.6,-25.2,13,5,HOUR14.5d1h21600,hour
773,52.7,3.5,3.48,8247.0,0.15,-41.2,13,7,HOUR14.5d1h21600,hour
773,32.5,-4.2,-4.24,4206.0,-1.2,-17.2,13,6,HOUR14.5d-1h3600,hour
773,35.7,-3.1,-3.1,3788.0,-0.61,-27.0,13,5,HOUR14.5d-1h3600,hour
773,49.0,5.9,5.89,5203.0,0.47,-18.3,13,7,HOUR14.5d-1h3600,hour
773,32.0,-4.3,-4.34,4356.0,-1.22,-16.5,13,6,HOUR14.5d-1h7200,hour
773,34.4,-3.1,-3.06,3787.0,-0.59,-27.4,13,5,HOUR14.5d-1h7200,hour
773,46.1,-0.9,-0.89,5986.0,-0.06,-21.6,13,5,HOUR14.5d-1h7200,hour
773,32.0,-4.5,-4.46,4467.0,-1.25,-16.5,13,6,HOUR14.5d-1h21600,hour
773,34.4,-1.4,-1.37,3202.0,-0.25,-24.2,13,5,HOUR14.5d-1h21600,hour
773,46.7,-6.5,-6.45,11246.0,-0.27,-80.0,13,5,HOUR14.5d-1h21600,hour
773,33.9,-3.7,-3.68,4443.0,-1.05,-13.2,13,5,HOUR15.0d1h3600,hour
773,39.6,-0.5,-0.5,2562.0,-0.1,-15.1,13,4,HOUR15.0d1h3600,hour
773,54.6,-1.9,-1.88,6130.0,-0.19,-64.8,13,8,HOUR15.0d1h3600,hour
773,32.7,-3.8,-3.82,4611.0,-1.07,-14.6,13,5,HOUR15.0d1h7200,hour
773,37.1,0.6,0.6,2126.0,0.11,-13.6,13,6,HOUR15.0d1h7200,hour
773,56.1,2.7,2.73,5733.0,0.2,-61.2,13,8,HOUR15.0d1h7200,hour
773,32.6,-3.7,-3.68,4584.0,-1.03,-14.4,13,5,HOUR15.0d1h21600,hour
773,35.8,0.4,0.37,2275.0,0.07,-17.1,13,5,HOUR15.0d1h21600,hour
773,55.9,7.5,7.54,6321.0,0.33,-66.2,13,9,HOUR15.0d1h21600,hour
773,33.0,-3.9,-3.89,3363.0,-1.1,-16.5,13,5,HOUR15.0d-1h3600,hour
773,33.5,-6.2,-6.2,4929.0,-1.27,-19.8,13,5,HOUR15.0d-1h3600,hour
773,44.1,-1.1,-1.08,6164.0,-0.11,-22.6,13,4,HOUR15.0d-1h3600,hour
773,33.0,-3.7,-3.72,3247.0,-1.04,-16.5,13,5,HOUR15.0d-1h7200,hour
773,33.0,-6.8,-6.84,5394.0,-1.35,-23.5,13,4,HOUR15.0d-1h7200,hour
773,42.9,-5.7,-5.7,7444.0,-0.42,-32.0,13,4,HOUR15.0d-1h7200,hour
773,32.5,-3.7,-3.75,3271.0,-1.04,-16.5,13,5,HOUR15.0d-1h21600,hour
773,31.8,-6.2,-6.24,4926.0,-1.19,-24.5,13,4,HOUR15.0d-1h21600,hour
773,43.3,-10.5,-10.51,11398.0,-0.47,-45.9,13,4,HOUR15.0d-1h21600,hour
772,35.9,-2.3,-2.29,3030.0,-0.66,-14.5,13,5,HOUR15.5d1h3600,hour
772,43.1,2.7,2.7,1556.0,0.56,-11.1,13,8,HOUR15.5d1h3600,hour
772,56.1,5.3,5.25,2516.0,0.58,-18.9,13,9,HOUR15.5d1h3600,hour
772,34.1,-2.7,-2.74,3115.0,-0.77,-14.1,13,4,HOUR15.5d1h7200,hour
772,38.2,0.9,0.9,1850.0,0.17,-13.3,13,7,HOUR15.5d1h7200,hour
772,54.5,7.6,7.58,4214.0,0.57,-34.5,13,10,HOUR15.5d1h7200,hour
772,33.7,-2.5,-2.51,2849.0,-0.7,-15.1,13,5,HOUR15.5d1h21600,hour
772,36.3,1.4,1.42,1921.0,0.26,-13.6,13,5,HOUR15.5d1h21600,hour
772,56.3,11.5,11.49,4314.0,0.55,-20.6,13,8,HOUR15.5d1h21600,hour
772,30.2,-8.5,-8.49,6580.0,-2.55,-19.4,13,0,HOUR15.5d-1h3600,hour
772,34.5,-8.1,-8.06,6616.0,-1.74,-46.2,13,2,HOUR15.5d-1h3600,hour
772,42.7,-8.2,-8.22,8002.0,-0.91,-43.1,13,4,HOUR15.5d-1h3600,hour
