n,tr_yr,wr,per_day,per_trade,total,maxDD,sharpe,worst_q,n_folds,pos_folds,name
502,167.8,43.6,17.0,37.0,18565.0,3800.0,1.16,-2095.0,13,9,DON_60min_N10M5_L_at0
507,169.5,43.2,15.9,34.2,17335.0,4070.0,1.08,-2189.0,13,9,DON_60min_N10M5_L_at3.0
852,284.3,39.8,13.1,16.8,14279.0,5818.0,0.68,-1256.0,13,9,DON_60min_N10M5_LS_at0
862,287.6,39.3,12.2,15.4,13298.0,5649.0,0.64,-1210.0,13,9,DON_60min_N10M5_LS_at3.0
404,135.0,42.8,15.8,42.8,17305.0,4639.0,0.94,-2815.0,13,9,DON_60min_N10M10_L_at0
422,141.1,42.7,13.1,33.8,14253.0,5052.0,0.81,-3391.0,13,9,DON_60min_N10M10_L_at3.0
636,212.4,37.7,6.4,11.1,7033.0,8930.0,0.32,-2362.0,13,8,DON_60min_N10M10_LS_at0
672,224.4,37.4,5.9,9.6,6451.0,7098.0,0.3,-3283.0,13,9,DON_60min_N10M10_LS_at3.0
265,88.5,41.5,18.6,76.6,20306.0,5115.0,0.98,-2376.0,13,8,DON_60min_N10M20_L_at0
334,111.5,42.5,15.5,50.8,16959.0,4431.0,0.9,-2780.0,13,9,DON_60min_N10M20_L_at3.0
354,118.4,36.4,-6.4,-19.7,-6959.0,23418.0,-0.31,-7894.0,13,6,DON_60min_N10M20_LS_at0
482,161.0,35.9,-1.2,-2.6,-1267.0,15513.0,-0.06,-6753.0,13,6,DON_60min_N10M20_LS_at3.0
378,126.7,44.4,3.8,10.8,4091.0,6421.0,0.33,-3308.0,13,7,DON_60min_N20M5_L_at0
380,127.4,43.9,2.8,8.1,3062.0,6764.0,0.25,-3668.0,13,7,DON_60min_N20M5_L_at3.0
649,216.5,39.9,-0.7,-1.1,-722.0,10852.0,-0.04,-3074.0,13,4,DON_60min_N20M5_LS_at0
655,218.5,39.4,-1.1,-1.9,-1242.0,10338.0,-0.07,-2780.0,13,4,DON_60min_N20M5_LS_at3.0
309,103.6,42.7,5.2,18.2,5630.0,7602.0,0.37,-4743.0,13,8,DON_60min_N20M10_L_at0
320,107.3,41.9,1.7,5.9,1888.0,8744.0,0.13,-5289.0,13,7,DON_60min_N20M10_L_at3.0
530,177.0,36.4,-3.1,-6.5,-3437.0,12532.0,-0.17,-4804.0,13,6,DON_60min_N20M10_LS_at0
557,186.0,36.1,-5.9,-11.5,-6426.0,13331.0,-0.34,-4683.0,13,6,DON_60min_N20M10_LS_at3.0
207,69.4,38.6,6.8,35.9,7424.0,11945.0,0.4,-4802.0,13,7,DON_60min_N20M20_L_at0
258,86.5,40.7,4.2,17.9,4607.0,9993.0,0.29,-4509.0,13,7,DON_60min_N20M20_L_at3.0
330,110.4,34.5,-11.0,-36.5,-12050.0,27844.0,-0.56,-9319.0,13,7,DON_60min_N20M20_LS_at0
436,145.6,35.6,-6.3,-15.7,-6834.0,18766.0,-0.33,-7296.0,13,6,DON_60min_N20M20_LS_at3.0
272,91.7,45.2,6.4,25.5,6946.0,5178.0,0.68,-2386.0,13,7,DON_60min_N40M5_L_at0
272,91.7,44.9,6.2,24.7,6723.0,5333.0,0.66,-2313.0,13,7,DON_60min_N40M5_L_at3.0
475,158.6,39.8,1.2,2.8,1333.0,11394.0,0.09,-2797.0,13,5,DON_60min_N40M5_LS_at0
477,159.3,39.2,0.4,0.9,431.0,10828.0,0.03,-2598.0,13,5,DON_60min_N40M5_LS_at3.0
222,74.8,45.0,6.7,32.8,7276.0,7625.0,0.56,-3845.0,13,6,DON_60min_N40M10_L_at0
229,77.2,43.2,3.5,16.6,3801.0,8923.0,0.32,-4047.0,13,7,DON_60min_N40M10_L_at3.0
402,134.2,37.6,-2.7,-7.3,-2952.0,14645.0,-0.17,-4421.0,13,6,DON_60min_N40M10_LS_at0
415,138.6,36.9,-6.6,-17.3,-7178.0,16491.0,-0.43,-5918.0,13,5,DON_60min_N40M10_LS_at3.0
150,50.8,44.7,9.2,66.3,9949.0,9288.0,0.64,-3792.0,12,6,DON_60min_N40M20_L_at0
182,61.3,42.3,6.9,41.0,7465.0,8164.0,0.56,-2887.0,13,7,DON_60min_N40M20_L_at3.0
281,94.0,37.7,-8.5,-33.1,-9302.0,24073.0,-0.48,-8704.0,13,5,DON_60min_N40M20_LS_at0
343,114.5,36.7,-4.9,-15.5,-5309.0,18248.0,-0.3,-5670.0,13,6,DON_60min_N40M20_LS_at3.0
235,79.2,44.7,6.6,30.5,7156.0,3785.0,0.75,-1189.0,13,9,DON_60min_N55M5_L_at0
235,79.2,44.7,6.4,29.5,6933.0,3940.0,0.72,-1342.0,13,9,DON_60min_N55M5_L_at3.0
401,134.2,40.1,2.3,6.1,2466.0,9953.0,0.17,-2524.0,13,8,DON_60min_N55M5_LS_at0
402,134.5,40.0,1.5,4.2,1690.0,9388.0,0.12,-2432.0,13,8,DON_60min_N55M5_LS_at3.0
192,64.7,45.3,7.4,41.7,8001.0,4994.0,0.67,-2107.0,13,8,DON_60min_N55M10_L_at0
199,67.1,43.7,4.0,21.8,4344.0,6474.0,0.39,-3142.0,13,8,DON_60min_N55M10_L_at3.0
339,113.4,37.8,-0.1,-0.2,-71.0,11133.0,-0.0,-3271.0,13,8,DON_60min_N55M10_LS_at0
349,116.8,37.5,-4.0,-12.4,-4324.0,13052.0,-0.28,-5130.0,13,7,DON_60min_N55M10_LS_at3.0
131,44.4,42.0,6.6,54.0,7080.0,10191.0,0.48,-2916.0,12,6,DON_60min_N55M20_L_at0
158,53.3,42.4,6.3,43.0,6801.0,6682.0,0.55,-2259.0,13,8,DON_60min_N55M20_L_at3.0
244,81.6,36.5,-9.3,-41.7,-10182.0,24140.0,-0.56,-8123.0,13,5,DON_60min_N55M20_LS_at0
291,97.4,36.4,-3.7,-13.9,-4042.0,16531.0,-0.24,-5732.0,13,7,DON_60min_N55M20_LS_at3.0
124,42.0,40.3,8.5,73.7,9135.0,8822.0,0.62,-4097.0,12,8,DON_240min_N10M5_L_at0
126,42.7,39.7,8.0,68.3,8609.0,8995.0,0.58,-4097.0,12,8,DON_240min_N10M5_L_at3.0
214,71.5,37.9,-3.6,-18.3,-3908.0,18465.0,-0.22,-8822.0,13,7,DON_240min_N10M5_LS_at0
217,72.5,37.3,-4.0,-20.0,-4339.0,18209.0,-0.24,-8474.0,13,8,DON_240min_N10M5_LS_at3.0
90,30.5,51.1,18.4,220.6,19858.0,6958.0,1.04,-5457.0,12,8,DON_240min_N10M10_L_at0
94,31.9,50.0,18.7,214.3,20141.0,6958.0,1.06,-5457.0,12,8,DON_240min_N10M10_L_at3.0
150,50.4,40.7,-0.1,-0.4,-64.0,14757.0,-0.0,-7728.0,13,5,DON_240min_N10M10_LS_at0
160,53.8,39.4,0.5,3.1,502.0,14234.0,0.02,-8256.0,13,6,DON_240min_N10M10_LS_at3.0
65,22.3,47.7,15.3,250.0,16248.0,10401.0,0.57,-8307.0,12,6,DON_240min_N10M20_L_at0
80,27.1,46.2,16.6,223.3,17867.0,9720.0,0.72,-7800.0,12,8,DON_240min_N10M20_L_at3.0
92,31.0,37.0,4.0,47.2,4338.0,12771.0,0.15,-8130.0,13,5,DON_240min_N10M20_LS_at0
129,43.4,34.9,4.9,41.3,5325.0,13572.0,0.21,-11797.0,13,6,DON_240min_N10M20_LS_at3.0
95,32.2,45.3,9.0,102.5,9736.0,4174.0,0.76,-2626.0,12,7,DON_240min_N20M5_L_at0
96,32.5,43.8,8.3,92.8,8913.0,4887.0,0.69,-2626.0,12,8,DON_240min_N20M5_L_at3.0
174,58.3,39.7,-3.6,-22.6,-3924.0,16834.0,-0.24,-7389.0,13,7,DON_240min_N20M5_LS_at0
175,58.6,38.9,-3.9,-24.4,-4274.0,17119.0,-0.26,-7389.0,13,7,DON_240min_N20M5_LS_at3.0
