name,trades,wr,pnl,per_day,per_trade,n_days,max_dd,worst_day,best_day,trades_per_day,sharpe
HTF_k60,2455,0.3604887983706721,-8425.611000000183,-175.5335625000038,-3.432020773930828,48,-9130.141999999796,-843.9799999999944,323.4149999999872,51.145833333333336,-0.7485554700532774
NY_SESSION_CB3,2090,0.33301435406698565,-8894.137000000033,-211.76516666666745,-4.255567942583748,42,-9185.296999999668,-597.3699999999993,198.75199999997682,49.76190476190476,-1.1503700161650836
CB_daily_dd200,2916,0.3768861454046639,-9927.215000000311,-190.90798076923676,-3.4043947187929735,52,-9933.590999999773,-230.42799999999696,-0.15700000001932324,56.07692307692308,-3.4520237475167894
DDSTOP_AVOID_LUNCH,2912,0.37706043956043955,-9934.984000000295,-191.05738461539028,-3.411739010989112,52,-9941.359999999759,-230.42799999999696,-0.15700000001932324,56.0,-3.4501427370086555
HTF_k30_ATR_min5_NY,2655,0.33634651600753296,-10381.776000000073,-247.1851428571446,-3.910273446327711,42,-10456.047999999615,-1297.5060000000035,69.36599999999366,63.214285714285715,-1.0321551661061288
HTF_k30_CB3,4252,0.35936030103480715,-15701.86400000018,-307.87968627451335,-3.69281843838198,51,-15825.188999999418,-1036.9209999999828,37.15599999999222,83.37254901960785,-1.2379939781559377
NY_SESSION_ONLY,4915,0.3330620549338759,-20474.755000000107,-487.49416666666923,-4.165769074262483,42,-20571.44500000055,-1814.0980000000247,171.95299999997252,117.02380952380952,-1.2385362154709239
ATR_min5_SKIP_OPEN_CB3,5633,0.35629327179123027,-21682.801000000003,-416.97694230769235,-3.8492456950115397,52,-21753.793000000587,-1455.6440000000596,230.03999999999945,108.32692307692308,-1.167152962574898
STRICT_LIMIT,11659,0.3513165794665066,-22057.284999999763,-424.1785576923031,-1.8918676558881349,52,-22330.093000003126,-2482.514000000011,698.8260000000018,224.21153846153845,-0.733679152758211
SKIP_OPEN_CB3,5895,0.35793044953350295,-22781.920000000042,-438.11384615384696,-3.8646174724342734,52,-22852.912000001335,-1455.6440000000596,209.55000000000587,113.36538461538461,-1.2071139780953295
ATR_min5_CB3,5751,0.35280820726830114,-23157.170000000027,-445.3301923076928,-4.026633628934103,52,-23215.926000001382,-1455.6440000000596,200.02600000000183,110.59615384615384,-1.2586039253772445
CB_4losses_60min,5567,0.3529728758756961,-23578.80700000021,-453.4385961538502,-4.235460211963393,52,-23569.477000001578,-1441.49600000005,41.11999999999075,107.0576923076923,-1.3572964375560044
CB_3losses_30min,6010,0.35490848585690515,-24261.379000000063,-466.56498076923197,-4.036835108153088,52,-24320.13500000175,-1455.6440000000596,179.53600000000824,115.57692307692308,-1.2799230861331714
HTF_k30,6784,0.3545106132075472,-25741.93300000031,-504.74378431373157,-3.7945066332547626,51,-25881.947000002365,-2296.6239999999857,122.6849999999834,133.01960784313727,-1.1234164243087787
ATR_range8to20,6561,0.337296143880506,-27975.84400000047,-537.997000000009,-4.2639603718945995,52,-28031.914000003966,-2191.235000000107,169.09799999998359,126.17307692307692,-1.0608139013248452
HTF_k15,7398,0.3499594484995945,-29544.00200000023,-568.1538846153891,-3.9935120302784846,52,-29658.082000004208,-2383.78000000002,72.3159999999634,142.26923076923077,-1.1432818845646868
PULL_050,8566,0.34111604015876723,-38811.81600000046,-746.3810769230857,-4.530914779360315,52,-38913.85500000342,-2663.9580000000146,32.670000000006986,164.73076923076923,-1.3764456958336957
ATR_max25,9797,0.34949474328876184,-40641.76900000038,-781.572480769238,-4.148389200775786,52,-40713.54500000361,-2403.4299999999816,30.334999999984298,188.40384615384616,-1.3114110502888814
ATR_min8,9475,0.33393139841688657,-41525.3890000006,-798.5651730769346,-4.382626807387926,52,-41581.459000004084,-3422.481999999995,73.42799999997777,182.21153846153845,-0.9917725106871655
PULL_0382,9907,0.3459170283637832,-42439.707999999766,-816.1482307692263,-4.283810235187218,52,-42500.78100000231,-2767.6470000000018,225.867000000001,190.51923076923077,-1.2429479602456002
ATR_min5_AVOID_LUNCH,10612,0.3444214097248398,-45112.237000000474,-867.5430192307783,-4.251058895589943,52,-45184.01300000058,-3159.471000000076,30.334999999984298,204.07692307692307,-1.1661522429781552
AVOID_LUNCH,10994,0.34764416954702565,-46065.431000000404,-885.8736730769308,-4.190051937420448,52,-46137.20700000067,-3159.471000000076,30.334999999984298,211.42307692307693,-1.1810467434027898
IMPULSE_8,10823,0.34149496442760785,-47172.087000000545,-907.1555192307798,-4.358503834426735,52,-47228.157000000014,-3220.865999999971,63.31599999999948,208.1346153846154,-1.2235601210829024
SKIP_OPEN,11418,0.34734629532317396,-47226.15700000043,-908.1953269230852,-4.136114643545317,52,-47379.13700000028,-3421.8549999999896,93.53300000000252,219.57692307692307,-1.1177006516004655
STOP_12_TARGET_18,11154,0.39887036040882196,-47752.682000000386,-918.3208076923152,-4.28121588667746,52,-47748.75599999881,-2991.8259999999873,-15.283000000015576,214.5,-1.2949480635382251
STOP_8_TARGET_24,12182,0.2825480216713183,-48145.44100000035,-925.873865384622,-3.9521787062879943,52,-48237.45399999947,-3518.771000000049,8.736999999999535,234.26923076923077,-1.2537667121071128
ATR_min5,11272,0.3429737402413059,-48300.526000000515,-928.8562692307792,-4.285000532292452,52,-48372.30200000007,-3445.8499999999917,30.334999999984298,216.76923076923077,-1.1636967522220105
BASELINE,11659,0.34599879921091004,-49331.19100000045,-948.6767500000086,-4.231168282013933,52,-49402.967000000026,-3445.8499999999917,30.334999999984298,224.21153846153845,-1.1781757712555172
SKIP_CLOSE,11659,0.34599879921091004,-49331.19100000045,-948.6767500000086,-4.231168282013933,52,-49402.967000000026,-3445.8499999999917,30.334999999984298,224.21153846153845,-1.1781757712555172
NO_ARMING,12078,0.36156648451730417,-59490.82700000056,-1144.0543653846262,-4.925552823315164,52,-59576.64899999708,-4539.889999999988,26.598999999994426,232.26923076923077,-1.1517993533982755
