,0
2024-07-15,-125.5
2024-07-16,-111.0
2024-07-17,174.5
2024-07-18,195.0
2024-07-22,-225.5
2024-07-23,-349.5
2024-07-24,-126.0
2024-07-25,-328.0
2024-07-29,243.5
2024-07-30,-89.0
2024-07-31,-164.5
2024-08-01,-155.5
2024-08-05,-118.0
2024-08-06,-308.0
2024-08-07,172.5
2024-08-08,-302.5
2024-08-12,-557.5
2024-08-13,-70.5
2024-08-14,-71.5
2024-08-15,-37.0
2024-08-19,109.5
2024-08-20,93.0
2024-08-21,399.5
2024-08-22,217.5
2024-08-26,-169.5
2024-08-27,-148.0
2024-08-28,310.0
2024-08-29,500.0
2024-09-02,-8.5
2024-09-03,-357.0
2024-09-04,-19.5
2024-09-05,-69.0
2024-09-09,-512.5
2024-09-10,-132.5
2024-09-11,-365.0
2024-09-12,-94.0
2024-09-16,-208.0
2024-09-17,460.5
2024-09-18,504.0
2024-09-19,-336.5
2024-09-23,282.0
2024-09-24,-40.5
2024-09-25,44.0
2024-09-26,1.5
2024-09-30,-327.0
2024-10-01,-113.5
2024-10-02,-133.0
2024-10-03,-227.0
2024-10-07,112.0
2024-10-08,13.0
2024-10-09,-3.5
2024-10-10,42.5
2024-10-14,32.0
2024-10-15,-312.0
2024-10-16,69.0
2024-10-17,-609.0
2024-10-21,-340.0
2024-10-22,69.0
2024-10-23,19.5
2024-10-24,501.5
2024-10-28,154.5
2024-10-29,-11.0
2024-10-30,-8.5
2024-10-31,78.5
2024-11-04,-32.5
2024-11-05,-217.0
2024-11-06,99.5
2024-11-07,-176.0
2024-11-11,-77.5
2024-11-12,107.5
2024-11-13,74.5
2024-11-14,528.0
2024-11-18,72.5
2024-11-19,-39.0
2024-11-20,-346.0
2024-11-21,120.5
2024-11-25,113.5
2024-11-26,149.0
2024-11-27,45.5
2024-11-28,-37.0
2024-12-02,112.0
2024-12-03,-44.0
2024-12-04,-134.0
2024-12-05,-12.0
2024-12-09,-137.0
2024-12-10,64.0
2024-12-11,-225.5
2024-12-12,61.0
2024-12-16,-11.0
2024-12-17,-146.5
2024-12-18,116.0
2024-12-19,-84.0
