per_day,total,sharpe,maxDD,pos_yrs,n_yrs,n,worst_yr,tf,combo,logic,sess,exit
44.3,34262.0,1.93,3790.0,4,4,774,1716.0,3min,"donch(6,)&donch(8,)",and,rth,eod0/0/0
-70.7,-54827.0,-9.06,55007.0,0,4,14405,-20406.0,3min,"donch(6,)&donch(8,)",and,rth,st10/20/0
-51.9,-40215.0,-5.55,40858.0,0,4,11524,-15913.0,3min,"donch(6,)&donch(8,)",and,rth,st10/40/0
-42.0,-32666.0,-3.91,33070.0,0,4,10110,-12283.0,3min,"donch(6,)&donch(8,)",and,rth,st10/60/0
-64.8,-50462.0,-6.16,50588.0,0,4,13084,-22993.0,3min,"donch(6,)&donch(8,)",and,rth,st20/20/0
-37.7,-29227.0,-3.04,29451.0,0,4,9502,-13650.0,3min,"donch(6,)&donch(8,)",and,rth,st20/40/0
-31.7,-24692.0,-2.38,24877.0,0,4,7816,-10459.0,3min,"donch(6,)&donch(8,)",and,rth,st20/60/0
-53.2,-41454.0,-4.24,42014.0,0,4,12052,-22140.0,3min,"donch(6,)&donch(8,)",and,rth,st30/20/0
-22.6,-17557.0,-1.56,19831.0,1,4,8329,-10107.0,3min,"donch(6,)&donch(8,)",and,rth,st30/40/0
-18.9,-14706.0,-1.28,15057.0,0,4,6608,-8674.0,3min,"donch(6,)&donch(8,)",and,rth,st30/60/0
-91.2,-70988.0,-5.15,70915.0,0,4,7517,-28799.0,3min,"donch(6,)&donch(8,)",and,rth,trail0/0/2.0
-26.8,-20864.0,-1.35,22639.0,0,4,4524,-8373.0,3min,"donch(6,)&donch(8,)",and,rth,trail0/0/3.0
12.9,10011.0,0.55,6892.0,3,4,2259,-1781.0,3min,"donch(6,)&donch(8,)",and,rth,trail0/0/5.0
28.4,22005.0,1.67,3596.0,4,4,774,516.0,3min,"donch(6,)&donch(8,)",and,morning,eod0/0/0
-35.8,-27709.0,-6.83,27872.0,0,4,7523,-9737.0,3min,"donch(6,)&donch(8,)",and,morning,st10/20/0
-24.5,-18979.0,-3.73,19554.0,0,4,6088,-7796.0,3min,"donch(6,)&donch(8,)",and,morning,st10/40/0
-20.2,-15668.0,-2.64,16215.0,0,4,5454,-5657.0,3min,"donch(6,)&donch(8,)",and,morning,st10/60/0
-35.0,-27105.0,-4.85,27245.0,0,4,6952,-12660.0,3min,"donch(6,)&donch(8,)",and,morning,st20/20/0
-20.0,-15466.0,-2.29,15487.0,1,4,5171,-9008.0,3min,"donch(6,)&donch(8,)",and,morning,st20/40/0
-16.2,-12556.0,-1.67,13140.0,0,4,4367,-7270.0,3min,"donch(6,)&donch(8,)",and,morning,st20/60/0
-28.5,-22068.0,-3.33,22977.0,0,4,6542,-12064.0,3min,"donch(6,)&donch(8,)",and,morning,st30/20/0
-11.7,-9059.0,-1.14,10853.0,2,4,4623,-6606.0,3min,"donch(6,)&donch(8,)",and,morning,st30/40/0
-12.3,-9531.0,-1.12,10114.0,0,4,3802,-5598.0,3min,"donch(6,)&donch(8,)",and,morning,st30/60/0
-42.2,-32667.0,-2.92,33706.0,0,4,3692,-15692.0,3min,"donch(6,)&donch(8,)",and,morning,trail0/0/2.0
-2.5,-1970.0,-0.16,8680.0,1,4,2355,-2064.0,3min,"donch(6,)&donch(8,)",and,morning,trail0/0/3.0
18.4,14267.0,1.08,3268.0,4,4,1339,31.0,3min,"donch(6,)&donch(8,)",and,morning,trail0/0/5.0
39.8,30769.0,1.72,3914.0,4,4,774,31.0,3min,"donch(6,)&donch(8,)",or,rth,eod0/0/0
-74.4,-57771.0,-8.86,58028.0,0,4,15915,-21362.0,3min,"donch(6,)&donch(8,)",or,rth,st10/20/0
-55.1,-42727.0,-5.6,43346.0,0,4,12622,-16148.0,3min,"donch(6,)&donch(8,)",or,rth,st10/40/0
-43.4,-33731.0,-3.87,34082.0,0,4,10968,-13797.0,3min,"donch(6,)&donch(8,)",or,rth,st10/60/0
-70.5,-54884.0,-6.36,54897.0,0,4,14318,-24329.0,3min,"donch(6,)&donch(8,)",or,rth,st20/20/0
-41.2,-32043.0,-3.22,32390.0,0,4,10280,-13948.0,3min,"donch(6,)&donch(8,)",or,rth,st20/40/0
-32.4,-25250.0,-2.34,25167.0,0,4,8416,-11001.0,3min,"donch(6,)&donch(8,)",or,rth,st20/60/0
-57.7,-44944.0,-4.43,45352.0,0,4,13038,-23266.0,3min,"donch(6,)&donch(8,)",or,rth,st30/20/0
-26.0,-20252.0,-1.77,21980.0,0,4,8911,-11234.0,3min,"donch(6,)&donch(8,)",or,rth,st30/40/0
-20.2,-15774.0,-1.33,16260.0,0,4,7015,-7862.0,3min,"donch(6,)&donch(8,)",or,rth,st30/60/0
-97.5,-75973.0,-5.21,76152.0,0,4,8126,-30505.0,3min,"donch(6,)&donch(8,)",or,rth,trail0/0/2.0
-28.3,-22043.0,-1.4,24337.0,0,4,4630,-9147.0,3min,"donch(6,)&donch(8,)",or,rth,trail0/0/3.0
12.1,9401.0,0.51,6853.0,3,4,2286,-1429.0,3min,"donch(6,)&donch(8,)",or,rth,trail0/0/5.0
24.4,18914.0,1.42,3789.0,4,4,774,118.0,3min,"donch(6,)&donch(8,)",or,morning,eod0/0/0
-37.8,-29233.0,-6.69,29483.0,0,4,8332,-10175.0,3min,"donch(6,)&donch(8,)",or,morning,st10/20/0
-26.4,-20423.0,-3.78,20958.0,0,4,6688,-7588.0,3min,"donch(6,)&donch(8,)",or,morning,st10/40/0
-20.5,-15923.0,-2.51,16461.0,0,4,5941,-6557.0,3min,"donch(6,)&donch(8,)",or,morning,st10/60/0
-38.4,-29766.0,-4.99,29908.0,0,4,7642,-13459.0,3min,"donch(6,)&donch(8,)",or,morning,st20/20/0
-20.9,-16202.0,-2.29,16439.0,0,4,5625,-8137.0,3min,"donch(6,)&donch(8,)",or,morning,st20/40/0
-19.1,-14792.0,-1.88,15314.0,0,4,4740,-8414.0,3min,"donch(6,)&donch(8,)",or,morning,st20/60/0
-31.6,-24525.0,-3.5,25540.0,0,4,7121,-12897.0,3min,"donch(6,)&donch(8,)",or,morning,st30/20/0
