dt,S,ngp2
2024-07-19,475.84999999999997,-7570407.977656685
2024-07-22,482.82,-1616156.075627831
2024-07-23,481.79,13753603.822585473
2024-07-24,464.86,-711427.3752189846
2024-07-25,458.89000000000004,-3049981.8122140057
2024-07-26,463.5,-5126612.360568953
2024-07-29,464.8,-3707600.7952779834
2024-07-30,455.11,-3893783.066370522
2024-07-31,472.42,8060962.218643126
2024-08-01,460.05,-3278293.7599444836
2024-08-02,448.97999999999996,2600180.3526175087
2024-08-05,439.37,-1716576.2866943497
2024-08-06,440.35,-5270663.445795652
2024-08-07,435.66,-11741662.913238516
2024-08-08,448.69,268626.4465349431
2024-08-09,451.23,-4885018.988611226
2024-08-12,451.72,1892303.8775190213
2024-08-13,463.25,-2350763.4004214965
2024-08-14,464.31,1708687.5635752545
2024-08-15,474.65,9518315.842535252
2024-08-16,475.52,-3074959.646358529
2024-08-19,481.56,3445769.706834308
2024-08-20,481.23,1079483.2054560378
2024-08-21,483.3,3979583.721253643
2024-08-22,476.32,-6305792.61262524
2024-08-23,480.53000000000003,3644524.2619368695
2024-08-26,475.51,-2034484.7265935126
2024-08-27,477.48,5150049.94864379
2024-08-28,472.01,2196337.9372164123
2024-08-29,472.23999999999995,-6339701.775996223
2024-08-30,476.93,-350379.267980725
2024-09-03,462.46999999999997,-8566274.167169722
2024-09-04,461.29,-4229195.24215977
2024-09-05,462.11,15888613.26084642
2024-09-06,448.76,-6927401.522459209
2024-09-09,454.98999999999995,18044063.946548093
2024-09-10,458.93,-7544214.391333406
2024-09-11,468.85999999999996,336926.8984447623
2024-09-12,473.07,3074524.248549475
2024-09-13,475.1,-12629843.929205239
2024-09-16,473.25,-2562254.2936366685
2024-09-17,473.69,790608.1464416995
2024-09-18,472.43,-1754512.239304127
2024-09-19,483.2,-127812.13654756363
2024-09-20,481.84000000000003,9469381.224254003
2024-09-23,483.47999999999996,2136338.4608381772
2024-09-24,485.92999999999995,-2159725.5973921763
2024-09-25,487.37,3168574.946673584
2024-09-26,490.38,6870139.684824727
2024-09-27,487.69,20245147.74042736
2024-09-30,488.15999999999997,-1844270.2900540552
2024-10-01,481.95,-5426244.183995838
2024-10-02,483.12,-6424941.456709934
2024-10-03,482.19,-7716155.455648899
2024-10-04,487.88,-2343478.603514131
2024-10-07,482.78999999999996,3222957.3114759517
2024-10-08,489.78999999999996,-2312299.14305315
2024-10-09,493.23,1246222.1991807765
2024-10-10,492.98,161227.31627851375
2024-10-11,493.38,1542809.1425385869
2024-10-14,498.2,4404241.152441315
2024-10-15,490.82,-9646494.794923
2024-10-16,491.37,5008160.037457148
2024-10-17,492.90000000000003,1303268.2867614091
2024-10-18,495.28000000000003,-3892487.241870444
2024-10-21,495.97999999999996,-5654311.278821173
2024-10-22,496.40000000000003,-608079.3994481222
2024-10-23,489.57,-5974484.9502804
2024-10-24,493.5,3681111.893024789
2024-10-25,495.46999999999997,-8197323.960772046
2024-10-28,496.36,-6691623.039240576
2024-10-29,501.84,6653504.041919767
2024-10-30,496.81,3405176.9792639147
2024-10-31,485.98,425790.5064038777
2024-11-01,488.84000000000003,-13180386.340987857
2024-11-04,486.8,-20541014.988965597
2024-11-05,493.24,8354528.488582456
2024-11-06,506.26,174841.70587776406
2024-11-07,514.51,6361769.634167885
2024-11-08,514.5,4709201.747188647
2024-11-11,514.48,3843178.7531643067
2024-11-12,513.62,13533712.40379473
2024-11-13,513.3,853433.5780736818
2024-11-14,508.76,-8405784.544208119
2024-11-15,497.44,-5265794.012326097
2024-11-18,501.04,-6198666.812662058
2024-11-19,504.37,-477507.0751031017
2024-11-20,504.04,5766019.996069119
2024-11-21,506.28000000000003,4944527.9327870915
2024-11-22,507.06,2627819.6454353705
2024-11-25,507.59999999999997,13686248.852397578
2024-11-26,510.26,1647078.7120988942
2024-11-27,505.91,-5632703.244129348
2024-11-29,510.3,9407.507081509755
2024-12-02,516.23,-558792.7517534124
2024-12-03,517.8299999999999,4140772.158735885
2024-12-04,523.8,433235.13249254855
2024-12-05,522.09,-1563259.9401259378
2024-12-06,526.82,-4612426.571226411
2024-12-09,522.7700000000001,-10912511.004828466
2024-12-10,521.3299999999999,-13363863.767245105
2024-12-11,530.0600000000001,-2229453.515309499
2024-12-12,526.36,1635024.796343671
2024-12-13,530.25,-6918032.583489031
2024-12-16,538.17,-9093785.3637029
2024-12-17,535.65,5131705.45923894
2024-12-18,514.85,-2769282.9968966087
2024-12-19,514.35,-9076268.338914396
2024-12-20,519.4,7803426.595215609
2024-12-23,523.7099999999999,1280193.0323393636
2024-12-24,530.56,4704519.311726993
2024-12-26,530.46,10379119.049278438
2024-12-27,523.6,5300381.334546197
2024-12-30,515.98,-4644671.899922645
2024-12-31,512.2,-12591039.914378185
2025-01-02,511.00000000000006,-10173523.447556598
2025-01-03,519.01,-1347476.871180523
2025-01-06,525.48,-4652198.522496323
2025-01-07,516.1899999999999,-17710551.0548705
2025-01-08,515.67,5816081.021463553
2025-01-10,507.62,-13130033.254041761
2025-01-13,506.45,-3818441.2346018916
2025-01-14,506.53999999999996,655371.502151457
2025-01-15,517.41,5087155.194746558
2025-01-16,513.1999999999999,-2381751.0729503334
2025-01-17,521.81,-10064620.033163276
2025-01-21,526.09,-319241.65796070854
2025-01-22,532.0699999999999,-2157351.3272744836
2025-01-23,532.72,-1648214.818784464
2025-01-24,530.12,-5492077.383810597
2025-01-27,515.26,-5376248.24989461
2025-01-28,522.76,-3332013.6404794534
2025-01-29,520.4200000000001,7408220.311303736
2025-01-30,524.3499999999999,8302969.384213037
2025-01-31,522.6,-6132596.616379439
2025-02-03,519.2399999999999,-4925222.637589467
2025-02-04,523.77,7182976.930165669
2025-02-05,527.45,2856263.1565103186
2025-02-06,528.7,9343504.5976086
2025-02-07,523.4599999999999,-10025686.779612541
2025-02-10,529.62,10376719.195241649
2025-02-11,528.53,-3192550.9303350393
2025-02-12,529.51,4136890.83485451
2025-02-13,535.83,979370.695820753
2025-02-14,538.9300000000001,1469823.2388810248
2025-02-18,539.45,11730151.98704405
2025-02-19,539.5300000000001,11636816.02104552
2025-02-20,537.5300000000001,9550399.42398718
2025-02-21,526.89,-14189272.17512759
2025-02-24,521.25,-12297026.687668066
2025-02-25,514.73,10879701.706573669
2025-02-26,515.53,-1061394.6706880261
2025-02-27,501.24,-17549215.80281056
2025-02-28,507.99,-563835.898497464
2025-03-03,498.47,-16082030.258169174
2025-03-04,498.12,-11925435.51819269
2025-03-05,502.02,-3141942.4602270173
2025-03-06,489.89000000000004,-7418035.269557095
2025-03-07,491.60999999999996,-1835609.92243393
2025-03-10,473.58000000000004,-12185086.58137453
2025-03-11,472.98,-2386597.874118832
2025-03-12,476.87,5824096.838615561
2025-03-13,470.07,-12291487.504170835
2025-03-14,478.83000000000004,6553942.3824291155
2025-03-17,482.93,-10373105.40450877
2025-03-18,475.18,-26323113.257294986
2025-03-19,481.15000000000003,2271853.0193343214
2025-03-20,479.81,-4757830.38992949
2025-03-21,480.61,-635954.7779468924
2025-03-24,491.25,-2364981.730627321
2025-03-25,494.27,177732.43044416193
2025-03-26,485.05,5517883.533563723
2025-03-27,482.88,-8596819.768127462
2025-03-28,468.98999999999995,-12932580.562765883
2025-03-31,468.62,-4427148.69502657
2025-04-01,473.04,-4298264.069994315
2025-04-02,478.52,1531066.8746316547
2025-04-03,451.35999999999996,-14936703.910469092
2025-04-04,423.07,-12058974.442617761
2025-04-07,427.34999999999997,-1299223.5852021652
2025-04-08,416.48,-6114088.622720071
2025-04-09,465.84,1960110.2554049743
2025-04-10,448.05,471308.35234320135
2025-04-11,454.68,11560038.914940588
2025-04-14,457.73,1879191.3739680254
2025-04-15,458.5,-5218443.112806083
2025-04-16,445.05,-10282635.88749412
2025-04-17,445.45,-12315520.445093833
2025-04-21,433.4,-4272429.939601859
2025-04-22,444.67,5981060.043958361
2025-04-23,455.24,-2027746.1852026433
2025-04-24,468.37,3701473.2386424206
2025-04-25,473.14,7402361.332960839
2025-04-28,472.32,-1294184.962917844
2025-04-29,475.83000000000004,21535240.451438226
2025-04-30,478.52,5987862.147854089
2025-05-01,479.85,-1106353.2997032264
2025-05-02,489.59,16504425.292809326
2025-05-05,486.25,-2270046.849174759
2025-05-06,482.08,-8613760.306897625
2025-05-07,484.02,10576487.096782288
2025-05-08,489.18,781930.4951338399
2025-05-09,488.26,-9623149.68192162
2025-05-12,508.19,1365614.143503214
2025-05-13,515.6,2236288.648506927
2025-05-14,519.3000000000001,4196747.100394391
2025-05-15,519.79,-4467839.250828661
2025-05-16,521.74,14927249.776533408
2025-05-19,521.7199999999999,13201331.445397977
2025-05-20,520.2099999999999,-1837538.054042146
2025-05-21,514.0999999999999,-6339948.152502887
2025-05-22,514.98,-6887543.446835706
2025-05-23,509.69,2723654.2019261234
2025-05-27,521.62,510086.956892183
2025-05-28,519.87,3503175.917956676
2025-05-29,520.0400000000001,-4830008.450001951
2025-05-30,520.0699999999999,-2975596.1315943655
2025-06-02,524.1,631427.1529295192
2025-06-03,527.13,7920697.585268395
