dt,S,ngp,flip,pin,flip_dist
2024-07-19,475.84999999999997,-7570407.977656684,305.0,475.0,0.3590417148261006
2024-07-22,482.82,-2774360.113309718,,482.0,
2024-07-23,481.79,9030161.888902716,481.0,482.0,0.0016397185495755837
2024-07-24,464.86,1208496.6209004829,464.78,465.0,0.00017209482424824878
2024-07-25,458.89000000000004,-254775.19993027093,,459.0,
2024-07-26,463.5,-943896.3332914459,,464.0,
2024-07-29,464.8,-2874023.370500342,,466.0,
2024-07-30,455.11,-1574916.835505896,,455.0,
2024-07-31,472.42,4965037.860068969,471.0,472.0,0.003005799923796655
2024-08-01,460.05,-1526582.549658482,,461.0,
2024-08-02,448.97999999999996,9263499.931744328,448.0,449.0,0.00218272528843147
2024-08-05,439.37,838652.5264541944,441.0,440.0,-0.00370985729567334
2024-08-06,440.35,-2658401.6008231933,,440.0,
2024-08-07,435.66,-7311061.95425541,,436.0,
2024-08-08,448.69,2001689.4253096178,448.0,449.0,0.0015378100693128835
2024-08-09,451.23,-1327284.8322701433,,452.0,
2024-08-12,451.72,2899768.3050460187,451.0,452.0,0.001593907730452553
2024-08-13,463.25,-1861436.0795746509,,464.0,
2024-08-14,464.31,1311871.9243523628,465.0,465.0,-0.0014860761129417796
2024-08-15,474.65,6323566.371035869,474.78,475.0,-0.0002738860212788275
2024-08-16,475.52,-2089595.3321871113,,476.0,
2024-08-19,481.56,1114751.3376480087,481.0,482.0,0.0011628872829969313
2024-08-20,481.23,-737348.8521864068,,482.0,
2024-08-21,483.3,1596903.7330926,484.78,484.0,-0.003062280157252144
2024-08-22,476.32,-5392039.79170011,320.0,477.0,0.32818273429627143
2024-08-23,480.53000000000003,1449485.5655670827,482.5,481.0,-0.004099639980854411
2024-08-26,475.51,-235459.84317851823,,476.0,
2024-08-27,477.48,2280996.2445316403,477.5,478.0,-4.188657116524631e-05
2024-08-28,472.01,1803092.4215143356,476.0,473.0,-0.008453210737060676
2024-08-29,472.23999999999995,-6260326.988552099,270.0,473.0,0.42825681856683034
2024-08-30,476.93,-769731.1315237256,,475.0,
2024-09-03,462.46999999999997,-4977489.937994545,274.78,463.0,0.40584254113780355
2024-09-04,461.29,-671588.8397149721,,462.0,
2024-09-05,462.11,12568760.644987362,461.0,462.0,0.002402025491766059
2024-09-06,448.76,91073.59693931893,470.0,449.0,-0.047330421606203786
2024-09-09,454.98999999999995,19582916.649315976,454.78,455.0,0.0004615486054638114
2024-09-10,458.93,-4957237.475814231,,458.0,
2024-09-11,468.85999999999996,-109256.27661319934,,470.0,
2024-09-12,473.07,613503.7491245412,477.0,474.0,-0.008307438645443607
2024-09-13,475.1,-14326674.589934183,,475.0,
2024-09-16,473.25,-2619310.1812414727,,473.0,
2024-09-17,473.69,-1923174.765919513,,474.0,
2024-09-18,472.43,-2436158.591890896,325.78,473.0,0.3104163579789599
2024-09-19,483.2,-8787350.292776847,260.0,484.0,0.4619205298013245
2024-09-20,481.84000000000003,5268228.4345317595,482.5,482.0,-0.0013697492943715096
2024-09-23,483.47999999999996,253027.51439641407,488.0,484.0,-0.009348887234218662
2024-09-24,485.92999999999995,-4222592.784484047,,486.0,
2024-09-25,487.37,500294.0305360079,490.0,488.0,-0.005396310811088076
2024-09-26,490.38,2982304.31549997,491.0,491.0,-0.0012643256250254996
2024-09-27,487.69,12563450.074361157,487.5,488.0,0.00038959174885685115
2024-09-30,488.15999999999997,-2495942.447796746,,487.0,
2024-10-01,481.95,-3114132.312707983,,483.0,
2024-10-02,483.12,-5470282.55486202,,483.0,
2024-10-03,482.19,-5514187.550892185,,482.0,
2024-10-04,487.88,-3250815.370595148,,487.0,
2024-10-07,482.78999999999996,1631632.992633129,482.5,483.0,0.0006006752418234918
2024-10-08,489.78999999999996,-4633415.585620598,,489.0,
2024-10-09,493.23,-2542603.0552993114,,494.0,
2024-10-10,492.98,-3553522.4721278525,,494.0,
2024-10-11,493.38,-1868579.6948807265,,494.0,
2024-10-14,498.2,-186371.13937384903,,499.0,
2024-10-15,490.82,-9819946.771401277,,491.0,
2024-10-16,491.37,1661475.2489168607,492.5,492.0,-0.0022996926959317735
2024-10-17,492.90000000000003,-2992681.9084023843,,494.0,
2024-10-18,495.28000000000003,-5714768.604670046,,495.0,
2024-10-21,495.97999999999996,-5818399.830252791,,495.0,
2024-10-22,496.40000000000003,-1921836.2707661386,,497.0,
2024-10-23,489.57,-1010667.2676797512,,490.0,
2024-10-24,493.5,889042.1715187668,495.0,494.0,-0.00303951367781155
2024-10-25,495.46999999999997,-9573046.825141758,,496.0,
2024-10-28,496.36,-5440442.501714476,,497.0,
2024-10-29,501.84,3671902.6020286665,501.0,501.0,0.001673840267814393
2024-10-30,496.81,256269.9139527667,504.78,497.0,-0.016042350194239188
2024-10-31,485.98,5532577.147426014,486.0,486.0,-4.11539569529236e-05
2024-11-01,488.84000000000003,-9708113.590032345,,488.0,
2024-11-04,486.8,-16257977.778192895,,486.0,
2024-11-05,493.24,6483451.807170787,492.5,493.0,0.0015002838374827854
2024-11-06,506.26,-3253932.125636006,,505.0,
2024-11-07,514.51,2883609.1397941946,514.78,515.0,-0.0005247711414743772
2024-11-08,514.5,-1485632.6762789376,,515.0,
2024-11-11,514.48,1213290.0203188777,515.0,515.0,-0.0010107292800497236
2024-11-12,513.62,8578009.718924515,513.0,514.0,0.0012071181028776227
2024-11-13,513.3,-1454259.3579341392,,514.0,
2024-11-14,508.76,-7548674.897894418,349.78,510.0,0.31248525827502166
2024-11-15,497.44,386474.8806726688,504.78,498.0,-0.014755548407848132
2024-11-18,501.04,-5213289.879510555,,500.0,
2024-11-19,504.37,-2025795.753996591,,505.0,
2024-11-20,504.04,4107053.5285484456,502.5,500.0,0.003055313070391279
2024-11-21,506.28000000000003,2397685.8075330947,507.5,507.0,-0.002409733744173126
2024-11-22,507.06,-606760.9297209086,,506.0,
2024-11-25,507.59999999999997,9120804.060886452,507.5,508.0,0.00019700551615438514
2024-11-26,510.26,-2296230.656670254,,509.0,
2024-11-27,505.91,-5001555.236695439,,505.0,
2024-11-29,510.3,-2897684.3624572107,260.0,510.0,0.4904957867920831
2024-12-02,516.23,-3517408.0306207254,,516.0,
2024-12-03,517.8299999999999,312322.7537662004,521.0,515.0,-0.0061217001718712185
2024-12-04,523.8,-3581791.839345016,,523.0,
2024-12-05,522.09,-4659486.14736251,389.78,523.0,0.2534237392020534
2024-12-06,526.82,-8714296.354071615,,526.0,
2024-12-09,522.7700000000001,-10931727.780479645,,522.0,
2024-12-10,521.3299999999999,-12209292.537746867,294.78,522.0,0.4345616020562791
2024-12-11,530.0600000000001,-7717643.623988074,,530.0,
2024-12-12,526.36,-2851617.8596806503,410.0,527.0,0.2210654305038377
2024-12-13,530.25,-10942489.129421003,290.0,530.0,0.4530881659594531
2024-12-16,538.17,-14862367.503695956,,538.0,
2024-12-17,535.65,2493672.8855229085,536.0,536.0,-0.0006534117427425049
2024-12-18,514.85,-1994761.51788239,,515.0,
2024-12-19,514.35,-7738983.373377589,,515.0,
2024-12-20,519.4,-2059826.6350039707,,520.0,
2024-12-23,523.7099999999999,91625.10052288717,534.78,522.0,-0.02113765251761481
2024-12-24,530.56,696810.2461519992,531.0,531.0,-0.0008293124246080643
2024-12-26,530.46,5167570.900019015,530.0,531.0,0.0008671718885496293
2024-12-27,523.6,5618058.570613056,523.0,524.0,0.0011459129106188364
2024-12-30,515.98,-1953362.5043923038,314.78,515.0,0.38993759448040627
2024-12-31,512.2,-6261505.348110388,,513.0,
2025-01-02,511.00000000000006,-5601565.975684867,,511.0,
2025-01-03,519.01,-1908038.7651689826,,520.0,
2025-01-06,525.48,-7008386.711109835,299.78,526.0,0.4295120651594733
2025-01-07,516.1899999999999,-13504599.031226704,364.78,516.0,0.2933222263120169
2025-01-08,515.67,8603682.423186328,515.0,516.0,0.0012992805476369754
2025-01-10,507.62,-5694186.007288817,304.78,508.0,0.3995902446712108
2025-01-13,506.45,877807.7609026994,508.0,507.0,-0.003060519301016905
2025-01-14,506.53999999999996,3064256.609992915,507.5,507.0,-0.0018952106447665267
2025-01-15,517.41,2677968.563837276,517.5,518.0,-0.0001739432944860591
2025-01-16,513.1999999999999,-2787351.7206208482,359.78,515.0,0.29894777864380356
2025-01-17,521.81,-9221866.549239233,320.0,522.0,0.38674996646288873
2025-01-21,526.09,-2496110.120839265,,525.0,
2025-01-22,532.0699999999999,-5176942.084057321,,533.0,
2025-01-23,532.72,-2344074.362348592,,530.0,
2025-01-24,530.12,-4357554.798099202,,531.0,
2025-01-27,515.26,-2180007.8719236646,,516.0,
2025-01-28,522.76,-3468360.4276590715,,522.0,
2025-01-29,520.4200000000001,6155201.241877738,520.0,520.0,0.0008070404673150008
2025-01-30,524.3499999999999,5197847.902157821,524.0,525.0,0.0006674930866785718
2025-01-31,522.6,-6322581.944888791,,523.0,
2025-02-03,519.2399999999999,-128463.50399608813,,520.0,
2025-02-04,523.77,5785145.907140098,523.0,524.0,0.001470110926551696
2025-02-05,527.45,1291032.819838632,528.0,528.0,-0.0010427528675702995
2025-02-06,528.7,6542149.348316819,528.0,529.0,0.0013240022697182626
2025-02-07,523.4599999999999,-6391636.042986108,,524.0,
2025-02-10,529.62,6676598.20798901,529.0,530.0,0.0011706506551867463
2025-02-11,528.53,-2305952.341009195,,529.0,
2025-02-12,529.51,1063933.564230009,530.0,530.0,-0.0009253838454420296
2025-02-13,535.83,-2616458.3467148896,,535.0,
2025-02-14,538.9300000000001,-2149118.109167411,,540.0,
