name,trades,wr,pnl,per_day,per_trade,trades_per_day,max_dd,worst_day,best_day,n_days,sharpe
H17_HOLD60_NOSTOP,41,0.7073170731707317,3911.2980000000425,95.39751219512299,95.39751219512299,1.0,-414.0820000000042,-414.0820000000042,883.4879999999955,41,0.4416815608906814
H17_HOLD60_STOP50,41,0.6097560975609756,2380.3960000000407,58.058439024391234,58.058439024391234,1.0,-318.06399999999303,-101.74,705.4859999999951,41,0.3355553841059111
H17_HOLD120_NOSTOP,41,0.5365853658536586,2303.9620000000396,56.194195121952184,56.194195121952184,1.0,-788.4999999999798,-589.8619999999958,1173.9760000000003,41,0.1871270697942113
H17_HOLD60_STOP20,41,0.36585365853658536,2055.6840000000193,50.138634146341936,50.138634146341936,1.0,-333.9200000000001,-41.74,705.4859999999951,41,0.3059518355779908
H17_HOLD60_STOP30,41,0.4634146341463415,2011.9140000000223,49.07107317073225,49.07107317073225,1.0,-370.44000000000005,-61.74,705.4859999999951,41,0.2919390015360083
H17_HOLD30_NOSTOP,41,0.6341463414634146,1998.6080000000254,48.74653658536647,48.74653658536647,1.0,-486.092000000001,-428.6060000000018,604.908000000001,41,0.27815145142044073
H15_HOLD60_SHORT,42,0.42857142857142855,1490.488000000021,35.48780952381002,35.48780952381002,1.0,-471.44599999999576,-422.2319999999984,1082.3420000000021,42,0.1469348457640409
H18_HOLD60_SHORT,41,0.5853658536585366,1457.295999999991,35.54380487804856,35.54380487804856,1.0,-475.5300000000009,-475.5300000000009,567.4319999999987,41,0.2208370248186817
H22_HOLD60_STOP30,43,0.4883720930232558,1252.605999999992,29.13037209302307,29.13037209302307,1.0,-802.6200000000001,-61.74,512.5240000000028,43,0.23861997185195916
H19_HOLD60_STOP30,41,0.4634146341463415,1194.074000000004,29.12375609756107,29.12375609756107,1.0,-617.4000000000001,-61.74,505.29199999999923,41,0.2173180500947725
H22_HOLD60_NOSTOP,43,0.5813953488372093,1188.8240000000073,27.64706976744203,27.64706976744203,1.0,-975.4799999999789,-255.16199999999867,512.5240000000028,43,0.19996964865192862
H19_HOLD60_NOSTOP,41,0.6341463414634146,1097.9420000000207,26.77907317073221,26.77907317073221,1.0,-808.3219999999906,-348.4659999999951,505.29199999999923,41,0.14812147509147752
H06_HOLD60_NOSTOP,42,0.6428571428571429,995.503999999988,23.702476190475902,23.702476190475902,1.0,-221.27000000000146,-135.58399999999733,243.13400000000343,42,0.2838304902588928
H07_HOLD60_NOSTOP,43,0.5813953488372093,825.5160000000101,19.198046511628142,19.198046511628142,1.0,-246.95000000000118,-140.1720000000007,299.06999999999766,43,0.23688280970373188
H17_HOLD60_S40_T40,41,0.5853658536585366,533.7240000000058,13.017658536585508,13.017658536585508,1.0,-574.6600000000001,-81.74,79.26,41,0.16584199656762383
H17_HOLD60_S30_T30,41,0.5853658536585366,372.6599999999999,9.089268292682924,9.089268292682924,1.0,-434.6600000000001,-61.74,59.26,41,0.15060361449180765
H22_HOLD60_S30_T30,43,0.5813953488372093,276.0579999999823,6.419953488371681,6.419953488371681,1.0,-444.58000000000015,-61.74,59.26,43,0.11118513784486182
H17_HOLD60_S20_T20,41,0.5853658536585366,232.65999999999985,5.67463414634146,5.67463414634146,1.0,-294.6600000000001,-41.74,39.26,41,0.1404574212441135
H20_HOLD60_SHORT,41,0.5121951219512195,-256.3559999999818,-6.252585365853215,-6.252585365853215,1.0,-651.2439999999933,-576.5559999999989,367.97800000000075,41,-0.0364697864392285
H14_HOLD60_SHORT,42,0.40476190476190477,-1203.9560000000188,-28.665619047619494,-28.665619047619494,1.0,-3045.212000000018,-644.8160000000009,866.2099999999971,42,-0.09644603688814246
