hour,mean,sum,count,std
0,13.605116279069438,585.0199999999859,43,64.34360189534871
1,1.9503255813951275,83.86399999999048,43,57.58864792719091
2,-6.94497674418592,-298.63399999999456,43,42.460876773851844
3,2.7447441860465407,118.02400000000125,43,41.47851206869626
4,-0.40997674418615004,-17.629000000004453,43,48.50641729439057
5,-7.302000000000018,-313.9860000000008,43,50.473180698362064
6,13.236465116279359,569.1680000000124,43,40.86732420857749
7,11.400720930232637,490.2310000000034,43,40.50769628126909
8,0.8981395348834434,38.61999999998807,43,66.03712678038521
9,-0.9123255813954233,-39.2300000000032,43,38.802662129292735
10,-2.199744186046595,-94.58900000000358,43,46.97687066758187
11,4.810642857142478,202.0469999999841,42,55.548914427636156
12,-0.596571428571527,-25.056000000004133,42,81.34287372631846
13,0.21709523809511752,9.117999999994936,42,119.22975915736139
14,11.950619047619382,501.926000000014,42,147.8439611922721
15,-19.722738095237997,-828.3549999999959,42,120.34387968469274
16,-2.7313809523809702,-114.71800000000076,42,83.5730923408501
17,49.28346341463422,2020.622000000003,41,107.84752731660049
18,-19.500341463414614,-799.5139999999992,41,79.75441203425987
19,15.162268292682889,621.6529999999984,41,90.3716331873626
20,-5.76011904761903,-241.92499999999927,42,54.558717539645954
22,16.671511627906977,716.875,43,67.52375954234186
23,4.248720930232889,182.69500000001426,43,50.06418020012648
