n,tr_day,wr,per_day,per_trade,total,maxDD,sharpe,worst_q,pos_yrs,n_yrs,worst_yr,name
774,1.0,55.2,39.8,39.8,30769.0,3914.0,1.72,-1165.0,4,4,31.0,3min_N6_w21_v0_re0
774,1.0,55.2,39.8,39.8,30769.0,3914.0,1.72,-1165.0,4,4,31.0,3min_N6_w21_v0_re1
772,1.0,55.2,39.7,39.7,30655.0,3914.0,1.71,-1171.0,4,4,23.0,3min_N6_w21_v0.5_re0
772,1.0,55.2,39.7,39.7,30655.0,3914.0,1.71,-1171.0,4,4,23.0,3min_N6_w21_v0.5_re1
773,1.0,55.1,39.7,39.7,30657.0,3914.0,1.71,-1165.0,4,4,31.0,3min_N6_w17_v0_re0
773,1.0,55.1,39.7,39.7,30657.0,3914.0,1.71,-1165.0,4,4,31.0,3min_N6_w17_v0_re1
771,1.0,55.1,39.8,39.8,30650.0,3914.0,1.71,-1171.0,4,4,23.0,3min_N6_w17_v0.5_re0
771,1.0,55.1,39.8,39.8,30650.0,3914.0,1.71,-1171.0,4,4,23.0,3min_N6_w17_v0.5_re1
773,1.0,55.1,39.7,39.7,30657.0,3914.0,1.71,-1165.0,4,4,31.0,3min_N6_w16_v0_re0
773,1.0,55.1,39.7,39.7,30657.0,3914.0,1.71,-1165.0,4,4,31.0,3min_N6_w16_v0_re1
771,1.0,55.1,39.8,39.8,30650.0,3914.0,1.71,-1171.0,4,4,23.0,3min_N6_w16_v0.5_re0
771,1.0,55.1,39.8,39.8,30650.0,3914.0,1.71,-1171.0,4,4,23.0,3min_N6_w16_v0.5_re1
774,1.0,55.8,46.0,46.0,35617.0,4100.0,2.01,-727.0,4,4,2145.0,3min_N8_w21_v0_re0
774,1.0,55.8,46.0,46.0,35617.0,4100.0,2.01,-727.0,4,4,2145.0,3min_N8_w21_v0_re1
772,1.0,55.7,46.0,46.0,35484.0,4100.0,2.0,-727.0,4,4,2137.0,3min_N8_w21_v0.5_re0
772,1.0,55.7,46.0,46.0,35484.0,4100.0,2.0,-727.0,4,4,2137.0,3min_N8_w21_v0.5_re1
