per_day,total,sharpe,maxDD,pos_yrs,n_yrs,n,worst_yr,tf,sig,p,sess,exit,flip
40.7,31502.0,1.75,4224.0,4,4,774,2405.0,3min,donch,"(4,)",rth,eod0/0/0,False
7.3,5630.0,0.8,3900.0,2,4,774,-792.0,3min,donch,"(4,)",rth,eod0/0/0,True
-85.0,-65928.0,-9.1,66268.0,0,4,19067,-24717.0,3min,donch,"(4,)",rth,st10/20/0,False
-62.1,-48335.0,-5.79,49164.0,0,4,14833,-18924.0,3min,donch,"(4,)",rth,st10/40/0,False
-50.6,-39237.0,-4.24,39502.0,0,4,12710,-17353.0,3min,donch,"(4,)",rth,st10/60/0,False
-80.9,-63047.0,-6.67,63382.0,0,4,16775,-28150.0,3min,donch,"(4,)",rth,st20/20/0,False
-49.2,-38333.0,-3.58,39266.0,0,4,11764,-15711.0,3min,donch,"(4,)",rth,st20/40/0,False
-39.6,-30874.0,-2.72,31146.0,0,4,9556,-12465.0,3min,donch,"(4,)",rth,st20/60/0,False
-64.7,-50406.0,-4.74,50871.0,0,4,14845,-26519.0,3min,donch,"(4,)",rth,st30/20/0,False
-32.7,-25504.0,-2.15,27582.0,0,4,9976,-12888.0,3min,donch,"(4,)",rth,st30/40/0,False
-26.4,-20529.0,-1.71,20990.0,0,4,7760,-9351.0,3min,donch,"(4,)",rth,st30/60/0,False
-110.8,-86293.0,-5.65,87041.0,0,4,9068,-35892.0,3min,donch,"(4,)",rth,trail0/0/2.0,False
-34.7,-27053.0,-1.69,29908.0,0,4,4809,-11114.0,3min,donch,"(4,)",rth,trail0/0/3.0,False
14.5,11233.0,0.62,7470.0,3,4,2335,-1700.0,3min,donch,"(4,)",rth,trail0/0/5.0,False
26.0,20131.0,1.5,3761.0,4,4,774,1117.0,3min,donch,"(4,)",morning,eod0/0/0,False
7.5,5805.0,0.82,3873.0,2,4,774,-765.0,3min,donch,"(4,)",morning,eod0/0/0,True
-42.3,-32755.0,-6.57,33344.0,0,4,10011,-12199.0,3min,donch,"(4,)",morning,st10/20/0,False
-30.4,-23557.0,-3.92,24654.0,0,4,7913,-9731.0,3min,donch,"(4,)",morning,st10/40/0,False
-25.1,-19453.0,-2.81,20289.0,0,4,6970,-8846.0,3min,donch,"(4,)",morning,st10/60/0,False
-44.2,-34244.0,-5.26,34612.0,0,4,9057,-16109.0,3min,donch,"(4,)",morning,st20/20/0,False
-25.0,-19361.0,-2.49,20186.0,0,4,6498,-9912.0,3min,donch,"(4,)",morning,st20/40/0,False
-20.8,-16083.0,-1.9,16520.0,0,4,5416,-9416.0,3min,donch,"(4,)",morning,st20/60/0,False
-37.1,-28727.0,-3.84,29337.0,0,4,8229,-15401.0,3min,donch,"(4,)",morning,st30/20/0,False
-19.5,-15123.0,-1.71,16373.0,1,4,5659,-8746.0,3min,donch,"(4,)",morning,st30/40/0,False
-15.6,-12061.0,-1.29,12693.0,0,4,4541,-6447.0,3min,donch,"(4,)",morning,st30/60/0,False
-56.5,-43751.0,-3.6,45181.0,0,4,4486,-21048.0,3min,donch,"(4,)",morning,trail0/0/2.0,False
-5.3,-4097.0,-0.33,10459.0,1,4,2495,-3080.0,3min,donch,"(4,)",morning,trail0/0/3.0,False
22.8,17682.0,1.34,3943.0,4,4,1368,1049.0,3min,donch,"(4,)",morning,trail0/0/5.0,False
9.0,6838.0,0.66,3696.0,4,4,758,81.0,3min,donch,"(4,)",afternoon,eod0/0/0,False
0.2,124.0,0.03,5311.0,3,4,758,-3728.0,3min,donch,"(4,)",afternoon,eod0/0/0,True
-43.9,-33358.0,-7.06,33654.0,0,4,9153,-12078.0,3min,donch,"(4,)",afternoon,st10/20/0,False
-32.3,-24540.0,-4.44,24523.0,0,4,7113,-8774.0,3min,donch,"(4,)",afternoon,st10/40/0,False
-26.1,-19836.0,-3.29,19878.0,0,4,6108,-7591.0,3min,donch,"(4,)",afternoon,st10/60/0,False
-36.1,-27475.0,-4.39,27621.0,0,4,7867,-11251.0,3min,donch,"(4,)",afternoon,st20/20/0,False
-20.8,-15818.0,-2.27,16042.0,0,4,5571,-5888.0,3min,donch,"(4,)",afternoon,st20/40/0,False
-15.2,-11535.0,-1.58,12875.0,1,4,4492,-8029.0,3min,donch,"(4,)",afternoon,st20/60/0,False
-27.4,-20832.0,-2.99,20861.0,0,4,6874,-9724.0,3min,donch,"(4,)",afternoon,st30/20/0,False
-14.1,-10715.0,-1.41,11262.0,0,4,4660,-3657.0,3min,donch,"(4,)",afternoon,st30/40/0,False
-8.2,-6224.0,-0.78,7155.0,0,4,3653,-3411.0,3min,donch,"(4,)",afternoon,st30/60/0,False
-55.8,-42515.0,-4.78,42939.0,0,4,4929,-14729.0,3min,donch,"(4,)",afternoon,trail0/0/2.0,False
-28.6,-21719.0,-2.12,22089.0,0,4,2796,-8582.0,3min,donch,"(4,)",afternoon,trail0/0/3.0,False
-2.8,-2111.0,-0.21,5146.0,1,4,1513,-2628.0,3min,donch,"(4,)",afternoon,trail0/0/5.0,False
-7.3,-6804.0,-0.22,26024.0,3,4,937,-16430.0,3min,donch,"(4,)",full,eod0/0/0,False
-0.9,-789.0,-0.22,2121.0,1,4,938,-484.0,3min,donch,"(4,)",full,eod0/0/0,True
-175.3,-164396.0,-11.3,164294.0,0,4,49650,-62512.0,3min,donch,"(4,)",full,st10/20/0,False
-111.5,-104251.0,-6.85,104333.0,0,4,36078,-43834.0,3min,donch,"(4,)",full,st10/40/0,False
-83.0,-77616.0,-4.69,78431.0,0,4,29829,-32831.0,3min,donch,"(4,)",full,st10/60/0,False
-143.6,-134655.0,-7.72,134429.0,0,4,39806,-58747.0,3min,donch,"(4,)",full,st20/20/0,False
-68.1,-63656.0,-3.49,64443.0,0,4,26564,-30552.0,3min,donch,"(4,)",full,st20/40/0,False
-44.2,-41467.0,-2.23,42358.0,0,4,20742,-15713.0,3min,donch,"(4,)",full,st20/60/0,False
-105.8,-99242.0,-5.19,100388.0,0,4,33584,-47828.0,3min,donch,"(4,)",full,st30/20/0,False
-52.9,-49592.0,-2.37,50846.0,0,4,21616,-29084.0,3min,donch,"(4,)",full,st30/40/0,False
-41.7,-39051.0,-1.9,39012.0,0,4,16466,-15400.0,3min,donch,"(4,)",full,st30/60/0,False
-292.9,-274727.0,-11.3,274315.0,0,4,35735,-102396.0,3min,donch,"(4,)",full,trail0/0/2.0,False
-125.1,-116957.0,-4.52,117147.0,0,4,18280,-42057.0,3min,donch,"(4,)",full,trail0/0/3.0,False
-22.6,-21001.0,-0.75,27536.0,1,4,7526,-9239.0,3min,donch,"(4,)",full,trail0/0/5.0,False
39.8,30769.0,1.72,3914.0,4,4,774,31.0,3min,donch,"(6,)",rth,eod0/0/0,False
9.8,7591.0,0.92,3120.0,3,4,774,-93.0,3min,donch,"(6,)",rth,eod0/0/0,True
-74.4,-57771.0,-8.86,58028.0,0,4,15915,-21362.0,3min,donch,"(6,)",rth,st10/20/0,False
-55.1,-42727.0,-5.6,43346.0,0,4,12622,-16148.0,3min,donch,"(6,)",rth,st10/40/0,False
-43.4,-33731.0,-3.87,34082.0,0,4,10968,-13797.0,3min,donch,"(6,)",rth,st10/60/0,False
-70.5,-54884.0,-6.36,54897.0,0,4,14318,-24329.0,3min,donch,"(6,)",rth,st20/20/0,False
