name,family,tf,session,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
GAP2F_g25_3min_time30h0_all,GAP2F_g25,3min,all,703,4.5,9.5,-23.5,758.0,-1791.0,52.2
GAP2F_g25_3min_time30h0_rth,GAP2F_g25,3min,rth,703,4.5,9.5,-23.5,758.0,-1791.0,52.2
GAP2F_g25_3min_time30h15_all,GAP2F_g25,3min,all,1219,7.8,4.3,-80.9,342.0,-6162.0,11.8
GAP2F_g25_3min_time30h15_rth,GAP2F_g25,3min,rth,1219,7.8,4.3,-80.9,342.0,-6162.0,11.8
GAP2F_g25_3min_time60h0_all,GAP2F_g25,3min,all,703,4.5,4.6,0.5,368.0,39.0,50.6
GAP2F_g25_3min_time60h0_rth,GAP2F_g25,3min,rth,703,4.5,4.6,0.5,368.0,39.0,50.6
GAP2F_g25_3min_time60h15_all,GAP2F_g25,3min,all,1219,7.8,-12.8,-55.8,-1028.0,-4247.0,9.5
GAP2F_g25_3min_time60h15_rth,GAP2F_g25,3min,rth,1219,7.8,-12.8,-55.8,-1028.0,-4247.0,9.5
GAP2F_g25_3min_time120h0_all,GAP2F_g25,3min,all,703,4.5,-53.7,-54.9,-4297.0,-4178.0,51.2
GAP2F_g25_3min_time120h0_rth,GAP2F_g25,3min,rth,703,4.5,-53.7,-54.9,-4297.0,-4178.0,51.2
GAP2F_g25_3min_time120h15_all,GAP2F_g25,3min,all,1219,7.8,14.1,-55.8,1129.0,-4247.0,7.9
GAP2F_g25_3min_time120h15_rth,GAP2F_g25,3min,rth,1219,7.8,14.1,-55.8,1129.0,-4247.0,7.9
GAP2F_g25_3min_trail2.5h0_all,GAP2F_g25,3min,all,1029,6.6,-61.4,-196.7,-4915.0,-14981.0,27.9
GAP2F_g25_3min_trail2.5h0_rth,GAP2F_g25,3min,rth,1029,6.6,-61.4,-196.7,-4915.0,-14981.0,27.9
GAP2F_g25_3min_trail2.5h15_all,GAP2F_g25,3min,all,1309,8.4,-61.5,-135.7,-4918.0,-10334.0,18.0
GAP2F_g25_3min_trail2.5h15_rth,GAP2F_g25,3min,rth,1309,8.4,-61.5,-135.7,-4918.0,-10334.0,18.0
GAP2F_g25_3min_trail4.0h0_all,GAP2F_g25,3min,all,771,4.9,-7.5,-105.6,-598.0,-8038.0,32.9
GAP2F_g25_3min_trail4.0h0_rth,GAP2F_g25,3min,rth,771,4.9,-7.5,-105.6,-598.0,-8038.0,32.9
GAP2F_g25_3min_trail4.0h15_all,GAP2F_g25,3min,all,1233,7.9,-15.4,-120.3,-1231.0,-9160.0,12.0
GAP2F_g25_3min_trail4.0h15_rth,GAP2F_g25,3min,rth,1233,7.9,-15.4,-120.3,-1231.0,-9160.0,12.0
GAP2C_g25_3min_time30h0_all,GAP2C_g25,3min,all,703,4.5,-31.1,0.8,-2490.0,64.0,46.9
GAP2C_g25_3min_time30h0_rth,GAP2C_g25,3min,rth,703,4.5,-31.1,0.8,-2490.0,64.0,46.9
GAP2C_g25_3min_time30h15_all,GAP2C_g25,3min,all,1153,7.4,-15.0,-50.7,-1200.0,-3860.0,10.5
GAP2C_g25_3min_time30h15_rth,GAP2C_g25,3min,rth,1153,7.4,-15.0,-50.7,-1200.0,-3860.0,10.5
GAP2C_g25_3min_time60h0_all,GAP2C_g25,3min,all,703,4.5,-26.2,-23.2,-2099.0,-1766.0,48.9
GAP2C_g25_3min_time60h0_rth,GAP2C_g25,3min,rth,703,4.5,-26.2,-23.2,-2099.0,-1766.0,48.9
GAP2C_g25_3min_time60h15_all,GAP2C_g25,3min,all,1153,7.4,7.6,-34.1,609.0,-2599.0,9.2
GAP2C_g25_3min_time60h15_rth,GAP2C_g25,3min,rth,1153,7.4,7.6,-34.1,609.0,-2599.0,9.2
GAP2C_g25_3min_time120h0_all,GAP2C_g25,3min,all,703,4.5,32.1,32.2,2566.0,2452.0,48.5
GAP2C_g25_3min_time120h0_rth,GAP2C_g25,3min,rth,703,4.5,32.1,32.2,2566.0,2452.0,48.5
GAP2C_g25_3min_time120h15_all,GAP2C_g25,3min,all,1153,7.4,21.3,-23.9,1702.0,-1821.0,7.7
GAP2C_g25_3min_time120h15_rth,GAP2C_g25,3min,rth,1153,7.4,21.3,-23.9,1702.0,-1821.0,7.7
GAP2C_g25_3min_trail2.5h0_all,GAP2C_g25,3min,all,1014,6.5,-108.4,-145.4,-8675.0,-11069.0,27.2
GAP2C_g25_3min_trail2.5h0_rth,GAP2C_g25,3min,rth,1014,6.5,-108.4,-145.4,-8675.0,-11069.0,27.2
GAP2C_g25_3min_trail2.5h15_all,GAP2C_g25,3min,all,1269,8.1,-72.5,-107.9,-5803.0,-8212.0,18.4
GAP2C_g25_3min_trail2.5h15_rth,GAP2C_g25,3min,rth,1269,8.1,-72.5,-107.9,-5803.0,-8212.0,18.4
GAP2C_g25_3min_trail4.0h0_all,GAP2C_g25,3min,all,753,4.8,-38.6,-25.9,-3084.0,-1972.0,32.1
GAP2C_g25_3min_trail4.0h0_rth,GAP2C_g25,3min,rth,753,4.8,-38.6,-25.9,-3084.0,-1972.0,32.1
GAP2C_g25_3min_trail4.0h15_all,GAP2C_g25,3min,all,1160,7.4,-18.4,-32.7,-1471.0,-2494.0,12.6
GAP2C_g25_3min_trail4.0h15_rth,GAP2C_g25,3min,rth,1160,7.4,-18.4,-32.7,-1471.0,-2494.0,12.6
GAP2F_g50_3min_time30h0_all,GAP2F_g50,3min,all,576,3.7,-3.3,-53.6,-265.0,-4083.0,50.3
GAP2F_g50_3min_time30h0_rth,GAP2F_g50,3min,rth,576,3.7,-3.3,-53.6,-265.0,-4083.0,50.3
GAP2F_g50_3min_time30h15_all,GAP2F_g50,3min,all,1002,6.4,-4.4,-82.1,-352.0,-6248.0,11.3
