name,family,tf,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
RETEST_3min_time20h0_all,RETEST,3min,1627,10.4,-38.6,-52.5,-3088.0,-3997.0,49.7
RETEST_3min_time20h0_rth,RETEST,3min,711,4.6,-41.0,4.0,-3283.0,301.0,51.9
RETEST_3min_time20h12_all,RETEST,3min,2583,16.5,-64.9,-66.1,-5190.0,-5029.0,23.2
RETEST_3min_time20h12_rth,RETEST,3min,1345,8.6,-31.4,-34.4,-2508.0,-2621.0,17.4
RETEST_3min_time60h0_all,RETEST,3min,1041,6.7,-6.6,-7.7,-530.0,-583.0,51.5
RETEST_3min_time60h0_rth,RETEST,3min,496,3.2,-11.7,-12.0,-935.0,-916.0,51.4
RETEST_3min_time60h12_all,RETEST,3min,2364,15.1,-34.7,-54.6,-2773.0,-4156.0,15.6
RETEST_3min_time60h12_rth,RETEST,3min,1307,8.4,-17.0,-39.5,-1359.0,-3011.0,12.3
RETEST_3min_time120h0_all,RETEST,3min,771,4.9,3.1,-33.1,245.0,-2523.0,52.8
RETEST_3min_time120h0_rth,RETEST,3min,389,2.5,-5.9,-5.4,-469.0,-412.0,51.2
RETEST_3min_time120h12_all,RETEST,3min,2264,14.5,-31.4,-35.5,-2510.0,-2705.0,11.3
RETEST_3min_time120h12_rth,RETEST,3min,1294,8.3,-27.9,-14.2,-2230.0,-1078.0,10.0
RETEST_3min_trail2.0h0_all,RETEST,3min,2449,15.7,-119.6,-139.4,-9564.0,-10611.0,32.2
RETEST_3min_trail2.0h0_rth,RETEST,3min,1076,6.9,-70.2,-72.9,-5618.0,-5550.0,33.5
RETEST_3min_trail2.0h12_all,RETEST,3min,2906,18.6,-124.7,-144.2,-9976.0,-10983.0,23.3
RETEST_3min_trail2.0h12_rth,RETEST,3min,1406,9.0,-62.0,-69.2,-4957.0,-5271.0,20.2
RETEST_3min_trail3.5h0_all,RETEST,3min,1622,10.4,-60.5,-106.1,-4839.0,-8076.0,35.8
RETEST_3min_trail3.5h0_rth,RETEST,3min,717,4.6,-43.1,-53.6,-3445.0,-4079.0,35.8
RETEST_3min_trail3.5h12_all,RETEST,3min,2558,16.4,-69.7,-108.0,-5575.0,-8221.0,19.3
RETEST_3min_trail3.5h12_rth,RETEST,3min,1342,8.6,-37.1,-55.1,-2969.0,-4193.0,14.6
SPIKEF_3min_time20h0_all,SPIKEF,3min,1070,6.9,-61.8,-59.4,-4941.0,-4526.0,49.5
SPIKEF_3min_time20h0_rth,SPIKEF,3min,390,2.5,-58.4,-41.6,-4668.0,-3169.0,45.9
SPIKEF_3min_time20h12_all,SPIKEF,3min,1315,8.4,-52.9,10.0,-4233.0,763.0,20.4
SPIKEF_3min_time20h12_rth,SPIKEF,3min,490,3.1,-38.4,17.2,-3073.0,1311.0,10.6
SPIKEF_3min_time60h0_all,SPIKEF,3min,981,6.3,-102.0,-128.9,-8159.0,-9813.0,47.6
SPIKEF_3min_time60h0_rth,SPIKEF,3min,378,2.4,-87.2,-106.5,-6977.0,-8106.0,42.9
SPIKEF_3min_time60h12_all,SPIKEF,3min,1292,8.3,-61.5,19.0,-4922.0,1446.0,14.2
SPIKEF_3min_time60h12_rth,SPIKEF,3min,489,3.1,-38.2,44.6,-3053.0,3394.0,9.0
SPIKEF_3min_time120h0_all,SPIKEF,3min,882,5.6,-82.3,-89.2,-6587.0,-6792.0,49.0
SPIKEF_3min_time120h0_rth,SPIKEF,3min,353,2.3,-79.3,-135.6,-6346.0,-10327.0,45.9
SPIKEF_3min_time120h12_all,SPIKEF,3min,1264,8.1,-53.3,19.4,-4264.0,1480.0,10.8
SPIKEF_3min_time120h12_rth,SPIKEF,3min,487,3.1,-38.1,33.5,-3048.0,2554.0,7.0
SPIKEF_3min_trail2.0h0_all,SPIKEF,3min,1305,8.4,-109.3,-173.0,-8743.0,-13174.0,27.7
SPIKEF_3min_trail2.0h0_rth,SPIKEF,3min,486,3.1,-61.2,-117.3,-4897.0,-8929.0,23.5
SPIKEF_3min_trail2.0h12_all,SPIKEF,3min,1357,8.7,-91.5,-87.8,-7318.0,-6682.0,19.8
SPIKEF_3min_trail2.0h12_rth,SPIKEF,3min,503,3.2,-46.5,-50.7,-3720.0,-3863.0,14.1
SPIKEF_3min_trail3.5h0_all,SPIKEF,3min,1141,7.3,-27.0,-134.3,-2159.0,-10223.0,35.0
SPIKEF_3min_trail3.5h0_rth,SPIKEF,3min,424,2.7,-46.6,-84.5,-3725.0,-6433.0,31.6
SPIKEF_3min_trail3.5h12_all,SPIKEF,3min,1311,8.4,-67.7,12.9,-5417.0,983.0,17.4
SPIKEF_3min_trail3.5h12_rth,SPIKEF,3min,492,3.2,-47.5,29.9,-3804.0,2273.0,10.0
R3BO_3min_time20h0_all,R3BO,3min,4343,27.8,8.8,-109.7,703.0,-8355.0,49.7
R3BO_3min_time20h0_rth,R3BO,3min,2135,13.7,21.0,-38.9,1679.0,-2959.0,51.0
R3BO_3min_time20h12_all,R3BO,3min,9018,57.8,-83.7,-242.7,-6700.0,-18480.0,21.2
R3BO_3min_time20h12_rth,R3BO,3min,5359,34.3,-42.9,-210.8,-3434.0,-16049.0,16.3
R3BO_3min_time60h0_all,R3BO,3min,1845,11.8,80.8,-97.8,6463.0,-7444.0,50.0
R3BO_3min_time60h0_rth,R3BO,3min,996,6.4,68.9,-79.9,5515.0,-6084.0,50.9
R3BO_3min_time60h12_all,R3BO,3min,5574,35.7,-2.7,-198.8,-215.0,-15134.0,13.1
R3BO_3min_time60h12_rth,R3BO,3min,3685,23.6,0.2,-169.0,15.0,-12871.0,10.5
R3BO_3min_time120h0_all,R3BO,3min,1112,7.1,69.5,-74.4,5562.0,-5664.0,50.9
R3BO_3min_time120h0_rth,R3BO,3min,702,4.5,120.9,-125.1,9671.0,-9528.0,51.1
R3BO_3min_time120h12_all,R3BO,3min,4356,27.9,24.6,-166.3,1972.0,-12663.0,9.4
R3BO_3min_time120h12_rth,R3BO,3min,3113,19.9,34.1,-169.0,2732.0,-12869.0,8.3
R3BO_3min_trail2.0h0_all,R3BO,3min,8332,53.4,-280.4,-560.7,-22428.0,-42691.0,33.0
R3BO_3min_trail2.0h0_rth,R3BO,3min,3853,24.7,-139.5,-290.1,-11158.0,-22086.0,33.6
R3BO_3min_trail2.0h12_all,R3BO,3min,11666,74.7,-366.2,-642.8,-29297.0,-48947.0,22.8
R3BO_3min_trail2.0h12_rth,R3BO,3min,6242,40.0,-198.3,-363.9,-15866.0,-27709.0,19.7
R3BO_3min_trail3.5h0_all,R3BO,3min,3240,20.8,-35.0,-250.6,-2798.0,-19083.0,35.6
R3BO_3min_trail3.5h0_rth,R3BO,3min,1588,10.2,13.0,-147.6,1040.0,-11236.0,36.5
R3BO_3min_trail3.5h12_all,R3BO,3min,6735,43.1,-77.1,-302.5,-6171.0,-23035.0,17.2
R3BO_3min_trail3.5h12_rth,R3BO,3min,4081,26.1,-30.3,-210.7,-2426.0,-16043.0,13.7
ENGX_3min_time20h0_all,ENGX,3min,3452,22.1,9.7,53.2,774.0,4052.0,49.9
ENGX_3min_time20h0_rth,ENGX,3min,1279,8.2,28.6,7.9,2285.0,604.0,50.3
ENGX_3min_time20h12_all,ENGX,3min,3975,25.5,-44.5,20.4,-3557.0,1551.0,25.9
ENGX_3min_time20h12_rth,ENGX,3min,1502,9.6,6.5,34.8,522.0,2653.0,19.8
ENGX_3min_time60h0_all,ENGX,3min,2489,15.9,40.1,-7.9,3207.0,-600.0,49.5
ENGX_3min_time60h0_rth,ENGX,3min,959,6.1,23.3,-52.9,1861.0,-4028.0,50.6
ENGX_3min_time60h12_all,ENGX,3min,3633,23.3,-50.1,8.1,-4007.0,616.0,16.3
ENGX_3min_time60h12_rth,ENGX,3min,1421,9.1,2.7,24.6,219.0,1873.0,13.2
ENGX_3min_time120h0_all,ENGX,3min,1742,11.2,36.4,181.7,2913.0,13838.0,50.9
ENGX_3min_time120h0_rth,ENGX,3min,731,4.7,-34.2,-27.3,-2736.0,-2080.0,51.0
ENGX_3min_time120h12_all,ENGX,3min,3360,21.5,-14.7,26.9,-1179.0,2045.0,11.5
ENGX_3min_time120h12_rth,ENGX,3min,1384,8.9,13.4,25.4,1073.0,1934.0,10.7
ENGX_3min_trail2.0h0_all,ENGX,3min,3976,25.5,-129.3,-214.7,-10345.0,-16345.0,33.2
ENGX_3min_trail2.0h0_rth,ENGX,3min,1459,9.3,-60.7,-118.6,-4853.0,-9028.0,34.3
ENGX_3min_trail2.0h12_all,ENGX,3min,4090,26.2,-128.9,-162.6,-10313.0,-12384.0,25.6
ENGX_3min_trail2.0h12_rth,ENGX,3min,1530,9.8,-39.8,-53.4,-3187.0,-4063.0,22.5
