signal,band,scale,tr,ho,ho_gross,tpw,sharpe
flow,0.5,1.0,-25.54891353836087,-12.772249948503639,61.04418123513469,205.04564217677319,-0.13674105855305704
flow,0.5,2.0,-53.84482054405034,-49.274838462893705,59.039136573458656,300.87215287875614,-0.3630713162952105
flow,0.5,4.0,-75.1262531570475,-42.231705379925295,79.25506672275651,337.4632558407824,-0.261486649035565
flow,1.0,1.0,13.865602935873863,29.4556069771764,59.37010363853378,83.09582405932595,0.3347001245526237
flow,1.0,2.0,-36.24721939853011,-9.934707664536399,57.00715273206721,185.94961221278766,-0.07340132425962508
flow,1.0,4.0,-81.76437994487853,-39.72297502665581,59.654889252668184,276.049622998122,-0.24388020301666705
reversal,0.5,1.0,-60.76804514907181,-103.73554599008973,15.262969535906201,330.55143201665544,-1.0085143518050255
reversal,0.5,2.0,-128.57274809447907,-159.83646471653034,13.792860014293451,482.3036798078439,-1.1400510255124587
reversal,0.5,4.0,-150.97228587165245,-207.7962093948021,-13.900616733155118,538.5988685045751,-1.2744499420295083
reversal,1.0,1.0,-25.146223141673513,-42.19368265198395,20.12356724741642,173.10347194277884,-0.42352819045453893
reversal,1.0,2.0,-101.85016818189138,-148.00723999623605,-16.101932561329185,366.40363176363024,-1.039981884940378
reversal,1.0,4.0,-146.7151263910393,-204.71775387509402,-30.318122542579186,484.44342036809695,-1.2400668726151622
flow+reversal,0.5,1.0,-4.707554465227334,-21.351070213420584,49.97987528058846,198.14151526113633,-0.27202428022552577
flow+reversal,0.5,2.0,-33.33939625478931,-110.71464079442043,10.594794536648958,336.9706536974148,-0.9232739266781456
flow+reversal,0.5,4.0,-46.49215194674403,-156.17797017300703,-3.3635490101820524,424.4845032300691,-1.025865049107643
flow+reversal,1.0,1.0,2.839989171026637,14.976336663734168,37.99963721571806,63.95361264439971,0.20761487550013075
flow+reversal,1.0,2.0,-5.5243350632519785,-16.677815254559924,54.84432144634374,198.67260194695456,-0.1400365989476195
flow+reversal,1.0,4.0,-44.39725811567321,-171.4492523700824,-50.14535881312602,336.95525988043454,-1.118710197858607
shuffled,0.5,1.0,-300.1673832787612,-233.8291551045922,46.146814852509145,777.7110276586154,-2.551821877871404
shuffled,0.5,2.0,-462.37556309562746,-390.7283256031232,29.648491503938825,1167.7133808529509,-2.8923102069353175
shuffled,0.5,4.0,-496.74499845614895,-467.50899018447615,18.765062898910397,1350.7612585649636,-2.904723385943737
shuffled,1.0,1.0,-193.04105686187452,-163.6589034108931,47.07814077981355,585.380678307519,-1.83864547685205
shuffled,1.0,2.0,-418.02909059616485,-358.6245202908363,28.91728519737751,1076.5050152450394,-2.6368064808061162
shuffled,1.0,4.0,-485.8657848852517,-460.71554481292713,11.44915137905218,1311.568600533277,-2.821684303916053
