cond,mech,tpw,tr,ho,trpos,both
full cost today,imp,40.538348082595874,-4.143492898437128,-5.137862008966808,False,False
no exit slippage,imp,40.538348082595874,-3.7656127141053326,-4.759041048268118,False,False
no commission,imp,40.538348082595874,-2.3434928984371304,-3.3378620089668076,False,False
lifetime plan + stop-limit,imp,40.538348082595874,-3.0347647878380513,-4.028569432547593,False,False
frictionless,imp,40.538348082595874,-1.965612714105333,-2.959041048268118,False,False
full cost today,rev,261.688790560472,-3.622278381352108,-4.080237199422933,False,False
no exit slippage,rev,261.688790560472,-3.241007226782721,-3.7030590094285536,False,False
no commission,rev,261.688790560472,-1.8222783813521082,-2.2802371994229333,False,False
lifetime plan + stop-limit,rev,261.688790560472,-2.5115156886104764,-2.971930285426305,False,False
frictionless,rev,261.688790560472,-1.4410072267827212,-1.9030590094285547,False,False
full cost today,vol,10.3023598820059,-3.936616487733483,-4.149368467009928,False,False
no exit slippage,vol,10.3023598820059,-3.5881452647119008,-3.809017589816945,False,False
no commission,vol,10.3023598820059,-2.1366164877334834,-2.3493684670099277,False,False
lifetime plan + stop-limit,vol,10.3023598820059,-2.8455337539205328,-3.063157940694137,False,False
frictionless,vol,10.3023598820059,-1.7881452647119007,-2.009017589816945,False,False
full cost today,orb,2.8466076696165192,-3.3167189077809796,-4.1675706710641185,False,False
no exit slippage,orb,2.8466076696165192,-2.929265033242234,-3.763222844977162,False,False
no commission,orb,2.8466076696165192,-1.5167189077809793,-2.367570671064119,False,False
lifetime plan + stop-limit,orb,2.8466076696165192,-2.202246583057732,-3.0429619754119455,False,False
frictionless,orb,2.8466076696165192,-1.1292650332422338,-1.9632228449771625,False,False
full cost today,rev,24.40265486725664,-3.1543025965821316,-3.6501974982881538,False,False
no exit slippage,rev,24.40265486725664,-2.7748966559880723,-3.2745597431861126,False,False
no commission,rev,24.40265486725664,-1.354302596582132,-1.8501974982881537,False,False
lifetime plan + stop-limit,rev,24.40265486725664,-2.0446590322256957,-2.542814845226928,False,False
frictionless,rev,24.40265486725664,-0.9748966559880725,-1.474559743186113,False,False
full cost today,vol,45.62684365781711,-4.447993670605997,-3.7456392414185107,False,False
no exit slippage,vol,45.62684365781711,-4.085370438715727,-3.390938386717656,False,False
no commission,vol,45.62684365781711,-2.6479936706059974,-1.9456392414185115,False,False
lifetime plan + stop-limit,vol,45.62684365781711,-3.3484197314718345,-2.650818728597998,False,False
frictionless,vol,45.62684365781711,-2.285370438715728,-1.5909383867176567,False,False
full cost today,imp,42.89085545722714,-2.3003112343857532,-3.2335314200566514,False,False
no exit slippage,imp,42.89085545722714,-1.9446612573531394,-2.885720202546391,False,False
no commission,imp,42.89085545722714,-0.5003112343857539,-1.4335314200566522,False,False
lifetime plan + stop-limit,imp,42.89085545722714,-1.2049212481661846,-2.142844689550496,False,False
frictionless,imp,42.89085545722714,-0.14466125735314025,-1.0857202025463923,False,False
full cost today,vwr,39.727138643067846,-3.97523602029877,-4.656806417153479,False,False
no exit slippage,vwr,39.727138643067846,-3.5328257390184596,-4.215792957137643,False,False
no commission,vwr,39.727138643067846,-2.1752360202987706,-2.856806417153479,False,False
lifetime plan + stop-limit,vwr,39.727138643067846,-2.8277898515305853,-3.5101983411439783,False,False
frictionless,vwr,39.727138643067846,-1.7328257390184605,-2.4157929571376435,False,False
full cost today,rev,45.833333333333336,-3.2393634096257244,-2.96513177963138,False,False
no exit slippage,rev,45.833333333333336,-2.8939970303153797,-2.618465112964713,False,False
no commission,rev,45.833333333333336,-1.4393634096257248,-1.1651317796313803,False,False
lifetime plan + stop-limit,rev,45.833333333333336,-2.150143582039516,-1.8751317796313793,False,False
frictionless,rev,45.833333333333336,-1.09399703031538,-0.8184651129647136,False,False
full cost today,rev,38.47345132743363,-5.2456466655773,-6.935657806912484,False,False
no exit slippage,rev,38.47345132743363,-4.876706135842166,-6.561995255472154,False,False
no commission,rev,38.47345132743363,-3.4456466655773004,-5.135657806912484,False,False
lifetime plan + stop-limit,rev,38.47345132743363,-4.14228234773622,-5.829460276048285,False,False
frictionless,rev,38.47345132743363,-3.076706135842168,-4.761995255472154,False,False
full cost today,rev,246.60029498525074,-3.854292339287375,-4.1739993350811915,False,False
no exit slippage,rev,246.60029498525074,-3.496284853422918,-3.8193446804265365,False,False
no commission,rev,246.60029498525074,-2.0542923392873758,-2.3739993350811917,False,False
lifetime plan + stop-limit,rev,246.60029498525074,-2.7574878477687,-3.079206542288398,False,False
frictionless,rev,246.60029498525074,-1.6962848534229176,-2.0193446804265367,False,False
full cost today,sqz,2.9129793510324484,-2.177582735958331,-8.018262076580656,False,False
no exit slippage,sqz,2.9129793510324484,-1.8094320510268238,-7.639621299881627,False,False
no commission,sqz,2.9129793510324484,-0.377582735958331,-6.218262076580659,False,False
