mkt,split,mech,n,tr,ho
RTY,0.5,cal,47,5.761690461494365,-1.5530636696228655
RTY,0.5,gap,10,13.163253837971444,-10.536374880865262
RTY,0.5,imp,118,5.73149245850744,-3.8290792273901273
RTY,0.5,orb,77,13.079870311643907,11.127717453275324
RTY,0.5,rev,114,6.158946662213528,-4.570827080673243
RTY,0.5,rnd,120,6.666110273771603,2.4921916501688224
RTY,0.5,sqz,64,9.899408406222943,-5.456609581902705
RTY,0.5,vwr,112,6.567370863749895,-4.453235984006577
RTY,0.6,cal,47,3.894141654349109,0.01794913310556175
RTY,0.6,gap,10,9.634510171671623,-11.366131528680661
RTY,0.6,imp,118,4.352798787447204,-1.337628850848636
RTY,0.6,orb,81,16.46345025288591,2.5028090490648016
RTY,0.6,rev,114,4.396490086309849,-1.2589403203121896
RTY,0.6,rnd,120,7.373527919116808,6.797679696448147
RTY,0.6,sqz,66,7.5146293717384305,-4.586380934810678
RTY,0.6,vwr,112,5.23205115032749,0.25066809723573796
RTY,0.7,cal,47,5.00385962448195,-1.3791861793251712
RTY,0.7,gap,9,7.663041374996227,-7.040510130751527
RTY,0.7,imp,118,3.303551249723102,-0.5597476827380341
RTY,0.7,orb,72,12.082180921329462,12.726749733075701
RTY,0.7,rev,115,3.456989222420082,-0.933938474030423
RTY,0.7,rnd,120,6.5956507280527354,7.009391456275772
RTY,0.7,sqz,62,5.3052029074320055,0.38362779448619283
RTY,0.7,vwr,111,4.889509146421506,4.55736124641272
RTY,0.8,cal,46,3.9500667839564954,1.455508569058338
RTY,0.8,gap,5,1.717125941865178,-9.325768289944856
RTY,0.8,imp,118,3.05610979581684,0.4373941760152043
RTY,0.8,orb,46,12.394378974838482,1.600287914623938
RTY,0.8,rev,113,3.2424351003221568,-3.507401759578908
RTY,0.8,rnd,115,7.977096799605496,10.777603419330683
RTY,0.8,sqz,50,3.5564476725661662,0.45612354847697745
RTY,0.8,vwr,111,4.404232979044232,9.021675129457165
YM,0.5,cal,47,3.8711476780404226,5.547003127200106
YM,0.5,gap,10,17.570083471232277,-13.85757903419487
YM,0.5,imp,118,5.40649283932308,-5.85623358281282
YM,0.5,orb,92,10.054050851123826,2.8334166069195668
YM,0.5,rev,115,4.515220555246593,-5.643923695574463
YM,0.5,rnd,120,9.159480515538002,1.207737136968649
YM,0.5,sqz,66,16.060702280712842,-7.766421923448932
YM,0.5,vwr,112,3.6240560838235973,-6.926476002891651
YM,0.6,cal,47,7.234015403519252,2.5158934883652733
YM,0.6,gap,10,11.516564324440056,-14.72326504671328
YM,0.6,imp,118,4.862531650486305,-8.547180238584726
YM,0.6,orb,91,10.526885307337526,7.237727855712291
YM,0.6,rev,115,4.497598774021206,-3.897758900112259
YM,0.6,rnd,120,9.445096166543081,-1.2371888213465916
YM,0.6,sqz,68,11.548728138008116,-6.253470496767239
YM,0.6,vwr,112,3.599836631784913,-6.469514722867534
YM,0.7,cal,47,7.35872285555617,0.5236976924271808
YM,0.7,gap,10,7.619992639756066,-12.444572407808836
YM,0.7,imp,118,4.379694253826499,-8.02956053334798
YM,0.7,orb,79,10.617414492984112,4.37017945376077
YM,0.7,rev,114,3.2294341644622095,-6.942737626811119
YM,0.7,rnd,120,7.163586184185647,3.352091461145529
YM,0.7,sqz,68,9.844059095943598,8.388933759577958
YM,0.7,vwr,111,2.381365523033201,-8.318808174198603
