ei,xi,pnl,slv,root
2023-07-10 08:30:00,2023-07-10 12:10:00,-113.875,ZN#5,ZN
2023-07-31 12:00:00,2023-07-31 12:00:00,-51.375,ZN#5,ZN
2023-07-31 12:00:00,2023-07-31 13:45:00,-35.75,ZN#3,ZN
2023-08-02 02:10:00,2023-08-02 05:25:00,26.75,ZN#5,ZN
2023-08-04 01:20:00,2023-08-04 02:00:00,-35.75,ZN#5,ZN
2023-08-04 01:20:00,2023-08-04 04:35:00,42.375,ZN#3,ZN
2023-08-07 01:00:00,2023-08-07 01:00:00,-35.75,ZN#5,ZN
2023-08-09 00:10:00,2023-08-09 00:35:00,-51.375,ZN#3,ZN
2023-08-09 02:35:00,2023-08-09 02:50:00,11.125,ZN#5,ZN
2023-08-10 05:45:00,2023-08-10 05:45:00,-20.125,ZN#5,ZN
2023-08-10 05:45:00,2023-08-10 05:45:00,-35.75,ZN#3,ZN
2023-08-11 01:10:00,2023-08-11 01:10:00,-35.75,ZN#5,ZN
2023-08-11 06:20:00,2023-08-11 06:20:00,-35.75,ZN#4,ZN
2023-08-14 01:00:00,2023-08-14 01:35:00,42.375,ZN#5,ZN
2023-08-14 04:00:00,2023-08-14 06:25:00,-41.8883928571388,ZN#3,ZN
2023-08-14 06:35:00,2023-08-14 06:40:00,-35.75,ZN#5,ZN
2023-08-14 07:05:00,2023-08-14 07:15:00,26.75,ZN#4,ZN
2023-08-15 01:20:00,2023-08-15 01:25:00,-51.375,ZN#3,ZN
2023-08-15 01:25:00,2023-08-15 02:40:00,11.125,ZN#5,ZN
2023-08-16 03:15:00,2023-08-16 03:50:00,26.75,ZN#5,ZN
2023-08-16 05:15:00,2023-08-16 05:25:00,-51.375,ZN#3,ZN
2023-08-17 01:45:00,2023-08-17 01:50:00,-51.375,ZN#5,ZN
2023-08-17 03:25:00,2023-08-17 03:35:00,26.75,ZN#4,ZN
2023-08-17 05:15:00,2023-08-17 05:15:00,-35.75,ZN#5,ZN
2023-08-17 06:35:00,2023-08-17 07:00:00,42.375,ZN#3,ZN
2023-08-17 07:10:00,2023-08-17 07:10:00,-35.75,ZN#4,ZN
2023-08-18 00:05:00,2023-08-18 00:45:00,26.75,ZN#3,ZN
2023-08-18 00:45:00,2023-08-18 00:50:00,-15.102678571430602,ZN#5,ZN
2023-08-18 03:05:00,2023-08-18 03:10:00,11.125,ZN#4,ZN
2023-08-18 05:10:00,2023-08-18 05:10:00,-20.125,ZN#5,ZN
2023-08-21 00:10:00,2023-08-21 00:20:00,26.75,ZN#3,ZN
2023-08-21 00:45:00,2023-08-21 01:00:00,-35.75,ZN#5,ZN
2023-08-21 02:45:00,2023-08-21 03:10:00,11.125,ZN#4,ZN
2023-08-21 04:30:00,2023-08-21 04:35:00,-2.825892857138797,ZN#5,ZN
2023-08-21 06:30:00,2023-08-21 06:50:00,-36.308035714291805,ZN#3,ZN
2023-08-21 06:50:00,2023-08-21 07:00:00,-35.75,ZN#4,ZN
2023-08-22 01:05:00,2023-08-22 01:15:00,26.75,ZN#5,ZN
2023-08-22 01:15:00,2023-08-22 02:00:00,-34.6339285714306,ZN#3,ZN
2023-08-22 03:20:00,2023-08-22 03:25:00,-20.125,ZN#5,ZN
2023-08-22 05:45:00,2023-08-22 05:45:00,-20.125,ZN#3,ZN
2023-08-22 05:55:00,2023-08-22 06:00:00,-4.5,ZN#5,ZN
2023-08-22 06:15:00,2023-08-22 06:20:00,-20.125,ZN#4,ZN
2023-08-23 01:15:00,2023-08-23 01:40:00,26.75,ZN#3,ZN
2023-08-23 01:15:00,2023-08-23 01:40:00,11.125,ZN#5,ZN
2023-08-23 02:35:00,2023-08-23 02:40:00,-20.125,ZN#4,ZN
2023-08-23 04:15:00,2023-08-23 04:30:00,-20.125,ZN#5,ZN
2023-08-23 05:45:00,2023-08-23 05:50:00,11.125,ZN#4,ZN
2023-08-24 00:00:00,2023-08-24 00:00:00,-20.125,ZN#5,ZN
2023-08-24 00:00:00,2023-08-24 00:05:00,-1.1517857142918047,ZN#3,ZN
2023-08-24 02:05:00,2023-08-24 02:10:00,-35.75,ZN#4,ZN
2023-08-24 04:25:00,2023-08-24 04:30:00,11.125,ZN#5,ZN
2023-08-24 04:25:00,2023-08-24 04:30:00,11.125,ZN#3,ZN
2023-08-24 05:35:00,2023-08-24 05:40:00,11.125,ZN#4,ZN
2023-08-25 00:00:00,2023-08-25 00:05:00,11.125,ZN#5,ZN
2023-08-25 03:45:00,2023-08-25 03:55:00,26.75,ZN#4,ZN
2023-08-25 03:45:00,2023-08-25 04:50:00,42.375,ZN#3,ZN
2023-08-25 03:15:00,2023-08-25 04:50:00,26.75,ZN#5,ZN
2023-08-25 05:25:00,2023-08-25 05:30:00,11.125,ZN#5,ZN
2023-08-25 06:55:00,2023-08-25 07:00:00,-35.75,ZN#4,ZN
2023-08-28 00:05:00,2023-08-28 00:10:00,11.125,ZN#5,ZN
2023-08-28 00:15:00,2023-08-28 00:20:00,11.125,ZN#4,ZN
2023-08-28 01:30:00,2023-08-28 01:50:00,-9.522321428569398,ZN#3,ZN
2023-08-28 06:00:00,2023-08-28 06:05:00,26.75,ZN#5,ZN
2023-08-28 05:35:00,2023-08-28 06:30:00,42.375,ZN#3,ZN
2023-08-29 01:20:00,2023-08-29 01:25:00,26.75,ZN#5,ZN
2023-08-29 02:00:00,2023-08-29 02:10:00,-51.375,ZN#4,ZN
2023-08-29 03:30:00,2023-08-29 03:35:00,11.125,ZN#5,ZN
2023-08-29 02:10:00,2023-08-29 03:45:00,42.375,ZN#3,ZN
2023-08-29 05:20:00,2023-08-29 05:25:00,11.125,ZN#4,ZN
2023-08-29 05:40:00,2023-08-29 05:40:00,-20.125,ZN#5,ZN
2023-08-29 06:10:00,2023-08-29 06:15:00,-29.0535714285694,ZN#3,ZN
2023-08-30 00:00:00,2023-08-30 00:05:00,7.776785714291805,ZN#3,ZN
2023-08-30 00:15:00,2023-08-30 00:30:00,-29.0535714285694,ZN#5,ZN
2023-08-30 02:35:00,2023-08-30 02:40:00,26.75,ZN#4,ZN
2023-08-30 03:25:00,2023-08-30 03:30:00,26.75,ZN#5,ZN
2023-08-30 04:35:00,2023-08-30 04:40:00,26.75,ZN#4,ZN
2023-08-30 04:35:00,2023-08-30 04:50:00,42.375,ZN#3,ZN
2023-08-30 07:00:00,2023-08-30 07:05:00,26.75,ZN#5,ZN
2023-08-31 01:15:00,2023-08-31 01:25:00,26.75,ZN#5,ZN
2023-08-31 01:15:00,2023-08-31 01:35:00,42.375,ZN#3,ZN
2023-08-31 03:50:00,2023-08-31 03:55:00,11.125,ZN#4,ZN
2023-08-31 04:20:00,2023-08-31 04:25:00,11.125,ZN#5,ZN
2023-08-31 05:45:00,2023-08-31 05:50:00,26.75,ZN#3,ZN
2023-08-31 05:55:00,2023-08-31 06:00:00,11.125,ZN#4,ZN
2023-08-31 06:30:00,2023-08-31 06:45:00,-34.6339285714306,ZN#5,ZN
2023-09-01 00:00:00,2023-09-01 00:05:00,26.75,ZN#3,ZN
2023-09-01 01:00:00,2023-09-01 01:10:00,-26.263392857138797,ZN#5,ZN
2023-09-01 02:55:00,2023-09-01 03:00:00,11.125,ZN#4,ZN
2023-09-01 04:35:00,2023-09-01 05:10:00,42.375,ZN#3,ZN
2023-09-01 05:15:00,2023-09-01 05:20:00,11.125,ZN#4,ZN
2023-09-01 05:05:00,2023-09-01 05:45:00,-35.75,ZN#5,ZN
2023-09-04 00:10:00,2023-09-04 00:15:00,11.125,ZN#5,ZN
2023-09-04 00:40:00,2023-09-04 00:45:00,-20.683035714291805,ZN#3,ZN
2023-09-04 03:15:00,2023-09-04 03:20:00,11.125,ZN#4,ZN
2023-09-04 03:30:00,2023-09-04 03:35:00,11.125,ZN#5,ZN
2023-09-04 05:45:00,2023-09-04 05:50:00,11.125,ZN#5,ZN
2023-09-04 05:50:00,2023-09-04 05:55:00,11.125,ZN#4,ZN
2023-09-04 05:50:00,2023-09-04 05:55:00,26.75,ZN#3,ZN
2023-09-05 03:45:00,2023-09-05 03:50:00,11.125,ZN#5,ZN
2023-09-05 04:30:00,2023-09-05 04:35:00,11.125,ZN#4,ZN
2023-09-05 06:05:00,2023-09-05 06:15:00,26.75,ZN#3,ZN
2023-09-06 00:05:00,2023-09-06 00:10:00,11.125,ZN#5,ZN
2023-09-06 01:15:00,2023-09-06 01:25:00,42.375,ZN#3,ZN
2023-09-06 06:05:00,2023-09-06 06:10:00,26.75,ZN#5,ZN
2023-09-06 06:30:00,2023-09-06 06:40:00,-67.0,ZN#3,ZN
2023-09-06 06:45:00,2023-09-06 06:50:00,26.75,ZN#4,ZN
2023-09-07 00:25:00,2023-09-07 00:30:00,11.125,ZN#5,ZN
2023-09-07 00:40:00,2023-09-07 01:10:00,26.75,ZN#3,ZN
2023-09-07 02:10:00,2023-09-07 02:15:00,11.125,ZN#4,ZN
2023-09-07 02:55:00,2023-09-07 03:05:00,-35.75,ZN#5,ZN
2023-09-07 04:40:00,2023-09-07 05:15:00,26.75,ZN#3,ZN
2023-09-07 05:15:00,2023-09-07 05:20:00,11.125,ZN#5,ZN
2023-09-07 06:10:00,2023-09-07 06:15:00,11.125,ZN#4,ZN
2023-09-08 00:00:00,2023-09-08 00:05:00,11.125,ZN#5,ZN
2023-09-08 03:15:00,2023-09-08 03:20:00,11.125,ZN#5,ZN
2023-09-08 02:15:00,2023-09-08 03:45:00,26.75,ZN#4,ZN
2023-09-08 04:30:00,2023-09-08 04:35:00,11.125,ZN#4,ZN
2023-09-08 05:55:00,2023-09-08 06:00:00,11.125,ZN#5,ZN
2023-09-08 06:30:00,2023-09-08 06:40:00,26.75,ZN#4,ZN
2023-09-08 07:20:00,2023-09-08 07:50:00,-54.1651785714306,ZN#3,ZN
2023-09-11 00:00:00,2023-09-11 00:05:00,26.75,ZN#5,ZN
2023-09-11 03:10:00,2023-09-11 03:15:00,26.75,ZN#5,ZN
2023-09-11 03:50:00,2023-09-11 03:55:00,11.125,ZN#4,ZN
2023-09-11 05:15:00,2023-09-11 05:35:00,-26.263392857138797,ZN#5,ZN
2023-09-11 05:30:00,2023-09-11 06:05:00,-47.46875,ZN#3,ZN
2023-09-11 06:00:00,2023-09-11 06:05:00,26.75,ZN#4,ZN
2023-09-12 00:10:00,2023-09-12 00:15:00,11.125,ZN#5,ZN
2023-09-12 01:30:00,2023-09-12 01:55:00,-17.892857142861203,ZN#3,ZN
2023-09-12 02:30:00,2023-09-12 02:40:00,11.125,ZN#5,ZN
2023-09-12 02:30:00,2023-09-12 02:40:00,11.125,ZN#4,ZN
2023-09-12 04:55:00,2023-09-12 05:25:00,11.125,ZN#5,ZN
2023-09-12 06:30:00,2023-09-12 06:35:00,26.75,ZN#4,ZN
2023-09-12 06:20:00,2023-09-12 07:05:00,-47.46875,ZN#3,ZN
2023-09-13 00:15:00,2023-09-13 00:20:00,11.125,ZN#5,ZN
2023-09-13 00:15:00,2023-09-13 00:20:00,26.75,ZN#3,ZN
2023-09-13 02:30:00,2023-09-13 02:35:00,11.125,ZN#4,ZN
2023-09-13 02:55:00,2023-09-13 03:00:00,11.125,ZN#5,ZN
2023-09-13 04:35:00,2023-09-13 04:40:00,11.125,ZN#4,ZN
2023-09-13 06:55:00,2023-09-13 07:00:00,11.125,ZN#4,ZN
2023-09-13 07:05:00,2023-09-13 07:20:00,-26.263392857138797,ZN#5,ZN
2023-09-14 01:50:00,2023-09-14 02:05:00,26.75,ZN#5,ZN
2023-09-14 02:05:00,2023-09-14 02:10:00,26.75,ZN#4,ZN
2023-09-14 04:50:00,2023-09-14 04:55:00,11.125,ZN#4,ZN
2023-09-14 05:10:00,2023-09-14 05:15:00,11.125,ZN#5,ZN
2023-09-14 06:15:00,2023-09-14 06:35:00,-29.0535714285694,ZN#3,ZN
2023-09-15 00:00:00,2023-09-15 00:05:00,-9.522321428569398,ZN#5,ZN
2023-09-15 00:05:00,2023-09-15 00:15:00,-9.522321428569398,ZN#3,ZN
2023-09-15 02:00:00,2023-09-15 02:05:00,2.1964285714306016,ZN#5,ZN
2023-09-15 02:00:00,2023-09-15 02:30:00,-35.75,ZN#4,ZN
2023-09-15 04:10:00,2023-09-15 04:15:00,11.125,ZN#4,ZN
2023-09-15 04:15:00,2023-09-15 04:20:00,11.125,ZN#5,ZN
2023-09-15 04:15:00,2023-09-15 04:20:00,26.75,ZN#3,ZN
2023-09-15 06:15:00,2023-09-15 06:20:00,26.75,ZN#4,ZN
2023-09-18 00:00:00,2023-09-18 00:10:00,26.75,ZN#3,ZN
2023-09-18 00:10:00,2023-09-18 00:10:00,-20.125,ZN#4,ZN
2023-09-18 00:05:00,2023-09-18 00:10:00,-20.125,ZN#5,ZN
2023-09-18 03:45:00,2023-09-18 03:50:00,11.125,ZN#5,ZN
2023-09-18 05:15:00,2023-09-18 05:20:00,8.892857142861203,ZN#3,ZN
2023-09-18 06:15:00,2023-09-18 06:25:00,26.75,ZN#5,ZN
2023-09-19 01:00:00,2023-09-19 01:05:00,-19.0089285714306,ZN#3,ZN
2023-09-19 01:00:00,2023-09-19 01:05:00,26.75,ZN#5,ZN
2023-09-19 02:00:00,2023-09-19 02:20:00,26.75,ZN#4,ZN
2023-09-19 03:05:00,2023-09-19 03:25:00,11.125,ZN#5,ZN
2023-09-19 05:05:00,2023-09-19 05:10:00,26.75,ZN#3,ZN
2023-09-19 05:05:00,2023-09-19 05:10:00,11.125,ZN#4,ZN
2023-09-19 05:20:00,2023-09-19 05:25:00,11.125,ZN#5,ZN
2023-09-20 00:35:00,2023-09-20 00:40:00,26.75,ZN#5,ZN
2023-09-20 02:10:00,2023-09-20 02:15:00,11.125,ZN#4,ZN
2023-09-20 03:40:00,2023-09-20 03:45:00,11.125,ZN#5,ZN
2023-09-20 04:10:00,2023-09-20 04:15:00,11.125,ZN#4,ZN
2023-09-20 04:55:00,2023-09-20 05:05:00,26.75,ZN#3,ZN
2023-09-20 05:55:00,2023-09-20 06:00:00,-20.683035714291805,ZN#5,ZN
2023-09-20 07:00:00,2023-09-20 07:05:00,26.75,ZN#4,ZN
2023-09-21 00:00:00,2023-09-21 00:05:00,26.75,ZN#5,ZN
2023-09-21 02:00:00,2023-09-21 03:00:00,26.75,ZN#5,ZN
2023-09-21 03:00:00,2023-09-21 04:20:00,-35.75,ZN#4,ZN
2023-09-21 04:45:00,2023-09-21 04:50:00,11.125,ZN#5,ZN
2023-09-21 06:10:00,2023-09-21 06:15:00,-15.102678571430602,ZN#3,ZN
2023-09-22 00:15:00,2023-09-22 00:20:00,42.375,ZN#3,ZN
2023-09-22 00:25:00,2023-09-22 00:40:00,26.75,ZN#5,ZN
2023-09-22 02:05:00,2023-09-22 02:15:00,26.75,ZN#4,ZN
2023-09-22 02:50:00,2023-09-22 02:55:00,11.125,ZN#5,ZN
2023-09-22 05:25:00,2023-09-22 05:30:00,26.75,ZN#4,ZN
2023-09-22 04:25:00,2023-09-22 05:35:00,26.75,ZN#3,ZN
2023-09-22 06:15:00,2023-09-22 06:20:00,-19.0089285714306,ZN#5,ZN
2023-09-25 00:00:00,2023-09-25 00:05:00,26.75,ZN#3,ZN
2023-09-25 01:25:00,2023-09-25 01:35:00,26.75,ZN#5,ZN
2023-09-25 02:00:00,2023-09-25 02:05:00,26.75,ZN#4,ZN
2023-09-25 04:40:00,2023-09-25 04:45:00,11.125,ZN#4,ZN
2023-09-25 04:00:00,2023-09-25 05:05:00,-35.75,ZN#5,ZN
2023-09-25 05:35:00,2023-09-25 05:40:00,11.125,ZN#3,ZN
2023-09-26 00:10:00,2023-09-26 00:15:00,11.125,ZN#5,ZN
2023-09-26 02:15:00,2023-09-26 02:25:00,26.75,ZN#5,ZN
2023-09-26 03:25:00,2023-09-26 03:30:00,26.75,ZN#4,ZN
2023-09-26 03:35:00,2023-09-26 04:55:00,-26.263392857138797,ZN#3,ZN
2023-09-26 05:50:00,2023-09-26 05:55:00,11.125,ZN#5,ZN
2023-09-26 05:50:00,2023-09-26 05:55:00,11.125,ZN#4,ZN
2023-09-27 00:00:00,2023-09-27 00:05:00,26.75,ZN#3,ZN
2023-09-27 00:45:00,2023-09-27 00:50:00,11.125,ZN#5,ZN
2023-09-27 02:20:00,2023-09-27 02:50:00,26.75,ZN#4,ZN
2023-09-27 02:45:00,2023-09-27 04:05:00,26.75,ZN#5,ZN
2023-09-27 04:20:00,2023-09-27 04:25:00,11.125,ZN#4,ZN
2023-09-27 04:40:00,2023-09-27 05:55:00,-26.263392857138797,ZN#3,ZN
2023-09-27 06:00:00,2023-09-27 06:05:00,11.125,ZN#5,ZN
2023-09-27 06:25:00,2023-09-27 06:30:00,26.75,ZN#4,ZN
2023-09-28 00:05:00,2023-09-28 00:10:00,-26.263392857138797,ZN#5,ZN
2023-09-28 02:15:00,2023-09-28 02:35:00,26.75,ZN#4,ZN
2023-09-28 02:00:00,2023-09-28 03:05:00,-45.7946428571388,ZN#3,ZN
2023-09-28 05:50:00,2023-09-28 05:55:00,26.75,ZN#5,ZN
