contract,split,mech,n,tr,ho,tpw,ctl,beat
ESH5,0.5,imp,159,7.840311752759599,4.015510566455618,4.955703211517165,-1.0230712200283165,True
ESH5,0.5,rev,163,9.497320702573026,-0.29274957095693277,3.544896640826873,-1.0230712200283165,True
ESH5,0.5,rnd,156,19.14859445750617,-1.0230712200283165,1.7829457364341084,-1.0230712200283165,False
ESH5,0.5,sqz,64,12.26521740749749,7.057442668830891,2.153316106804479,-1.0230712200283165,True
ESH5,0.5,vwr,160,12.888689120716066,12.194044312319058,3.364018087855297,-1.0230712200283165,True
ESH5,0.6,imp,159,6.356876985563454,3.9166991820213184,4.606866002214839,-1.7933519043906128,True
ESH5,0.6,rev,163,8.677119717932685,-6.406748817895551,3.1476098191214468,-1.7933519043906128,False
ESH5,0.6,rnd,160,15.741746754317663,-1.7933519043906128,1.7070413436692506,-1.7933519043906128,False
ESH5,0.6,sqz,65,10.024004849758299,7.849491788315189,1.623600344530577,-1.7933519043906128,True
ESH5,0.6,vwr,161,12.653107747385183,11.554598040878533,3.364018087855297,-1.7933519043906128,True
ESH5,0.7,imp,158,6.237100520469329,-6.297765557587559,3.082318198597268,-1.4731937742361514,False
ESH5,0.7,rev,161,9.430096485478638,-6.089159599896598,3.2816537467700257,-1.4731937742361514,False
ESH5,0.7,rnd,160,13.266134536032418,-1.4731937742361514,1.7070413436692506,-1.4731937742361514,False
ESH5,0.7,sqz,62,6.2098532339052985,12.491796646453508,1.627906976744186,-1.4731937742361514,True
ESH5,0.7,vwr,158,10.085365231370004,14.398403943532921,3.3665559246954593,-1.4731937742361514,True
ESH5,0.8,imp,152,7.589056724841841,-20.817237240352767,3.5566629752676255,9.41355515001064,False
ESH5,0.8,rev,157,8.930287918477388,0.6216984578212948,4.4555186415651535,9.41355515001064,False
ESH5,0.8,rnd,148,11.14836506640462,9.41355515001064,2.070874861572536,9.41355515001064,False
ESH5,0.8,sqz,57,7.693385723801684,11.291503627162863,1.627906976744186,9.41355515001064,True
ESH5,0.8,vwr,154,8.74961822588575,16.28463509048807,3.2373569582871906,9.41355515001064,True
ESH6,0.5,imp,154,14.691358445911593,-5.619689028561476,2.9438907345884084,-1.3218566097761488,False
ESH6,0.5,rev,162,18.712381005333896,-2.315416991308243,2.569444444444444,-1.3218566097761488,False
ESH6,0.5,rnd,155,12.237431841883378,-1.3218566097761488,2.0634920634920633,-1.3218566097761488,False
ESH6,0.5,sqz,59,23.801008981732892,0.8887607672496264,1.826012058570198,-1.3218566097761488,True
ESH6,0.5,vwr,157,17.16353057935034,-13.6921853619292,4.3078626799557025,-1.3218566097761488,False
ESH6,0.6,imp,162,15.667480569247951,-8.981928585950964,2.4951550387596897,-5.290209972449032,False
ESH6,0.6,rev,162,17.889381201257642,-2.8784461738537255,2.6340439276485785,-5.290209972449032,True
