contract,split,mech,n,tr,ho,tpw,ctl,beat
GCM6,0.5,imp,164,58.41298861978824,-6.175512325080875,6.566265060240964,9.670839284262982,False
GCM6,0.5,rev,163,60.81942004861836,-7.996278105586333,9.800451807228916,9.670839284262982,False
GCM6,0.5,rnd,178,83.33407107721908,9.670839284262982,5.022590361445783,9.670839284262982,False
GCM6,0.5,sqz,63,65.47788999770137,9.949881976210557,5.140562248995983,9.670839284262982,True
GCM6,0.5,vol,1,36.2260222471241,-21.40337474293293,2.9216867469879517,9.670839284262982,False
GCM6,0.5,vwr,144,90.2794496329141,-0.06483394106387916,6.544750430292599,9.670839284262982,False
GCM6,0.6,imp,164,44.891989044848316,-11.266667785134976,7.548945783132529,13.200549339910499,False
GCM6,0.6,rev,164,49.7611035001039,-0.5945768796966355,8.885542168674698,13.200549339910499,False
GCM6,0.6,rnd,184,59.51248509397961,13.200549339910499,4.99665327978581,13.200549339910499,False
GCM6,0.6,sqz,64,49.34792661585734,17.496012930217272,5.140562248995983,13.200549339910499,True
GCM6,0.6,vwr,146,84.92361377998479,2.26652108665283,5.133390705679862,13.200549339910499,False
GCM6,0.7,imp,164,36.059758078521284,-1.5004191801996183,11.460843373493974,0.21299496154610628,False
GCM6,0.7,rev,162,40.174791893517664,6.333495070757397,14.420180722891565,0.21299496154610628,True
GCM6,0.7,rnd,181,56.703021300404046,0.21299496154610628,4.849397590361445,0.21299496154610628,False
GCM6,0.7,sqz,63,48.17707710620332,-27.562348682814314,3.5542168674698793,0.21299496154610628,False
GCM6,0.7,vwr,143,83.50408503675985,-8.557355709151315,5.043029259896729,0.21299496154610628,False
GCM6,0.8,imp,157,33.02178226634621,-2.9897906916067254,11.523235800344233,-30.822942239565055,True
GCM6,0.8,rev,152,38.76265475171856,-12.25733881998617,16.045611015490532,-30.822942239565055,True
GCM6,0.8,rnd,149,59.316390879861345,-30.822942239565055,5.920826161790017,-30.822942239565055,False
GCM6,0.8,sqz,55,43.01375959146475,27.021439429900028,6.425702811244979,-30.822942239565055,True
GCM6,0.8,vwr,136,63.636186547399255,6.076135207796945,5.471887550200802,-30.822942239565055,True
GCZ4,0.5,imp,168,8.02518833217215,-2.197677228427029,10.15813253012048,-4.480293131214153,True
GCZ4,0.5,rev,169,12.467438780245178,-3.278962509454435,8.889307228915662,-4.480293131214153,True
GCZ4,0.5,rnd,196,11.819424648570674,-4.480293131214153,5.418340026773761,-4.480293131214153,False
GCZ4,0.5,sqz,68,7.675296803668559,-4.8516386434330325,10.020080321285137,-4.480293131214153,False
GCZ4,0.5,vol,9,1.434744300305702,-10.489348454209523,3.3935742971887546,-4.480293131214153,False
GCZ4,0.5,vwr,156,13.389491514167563,-13.565405689529468,6.05421686746988,-4.480293131214153,False
GCZ4,0.6,imp,168,7.118723284360428,-3.765673456358103,11.818524096385541,-6.843974165956123,True
GCZ4,0.6,rev,170,10.475999171012639,-4.343052461648082,8.889307228915662,-6.843974165956123,True
GCZ4,0.6,rnd,196,8.462478868895332,-6.843974165956123,5.498661311914323,-6.843974165956123,False
GCZ4,0.6,sqz,68,6.502753834988236,-6.823071050537691,10.020080321285137,-6.843974165956123,True
GCZ4,0.6,vol,9,-0.01155441742642053,-9.90904897346219,4.046184738955823,-6.843974165956123,False
GCZ4,0.6,vwr,157,11.943754472214078,-7.205553536217146,6.450086058519792,-6.843974165956123,False
GCZ4,0.7,imp,168,4.895757098719746,4.056147782606455,9.371234939759034,-10.368342132074124,True
GCZ4,0.7,rev,169,8.152666939327862,-1.4967739464572567,9.623493975903614,-10.368342132074124,True
GCZ4,0.7,rnd,192,6.816595558528164,-10.368342132074124,5.950468540829985,-10.368342132074124,False
GCZ4,0.7,sqz,65,4.815242314259419,-5.261037965059504,9.899598393574296,-10.368342132074124,True
GCZ4,0.7,vol,5,-2.894741571252265,6.637410228322868,4.136546184738956,-10.368342132074124,True
GCZ4,0.7,vwr,153,9.799783266568115,-17.318824884981844,10.314113597246129,-10.368342132074124,False
GCZ4,0.8,imp,164,4.378158877795961,-3.5220167442994015,16.061746987951807,-5.112497749507662,True
GCZ4,0.8,rev,160,7.501019569999246,0.6291630285742413,10.512048192771083,-5.112497749507662,True
GCZ4,0.8,rnd,168,4.497009769425481,-5.112497749507662,6.705572289156626,-5.112497749507662,False
GCZ4,0.8,sqz,60,3.1437585886765986,-1.7436814654583828,10.572289156626505,-5.112497749507662,True
GCZ4,0.8,vol,2,-4.3270567009924275,-3.510489294822432,6.746987951807228,-5.112497749507662,True
GCZ4,0.8,vwr,150,9.827429841766076,-23.68414320674177,10.697074010327023,-5.112497749507662,False
