contract,split,mech,n,tr,ho,tpw,ctl,beat
NQH5,0.5,ofl,224,19.425872003117558,-0.7799840020932701,1.6407766990291264,-3.563382356820942,True
NQH5,0.5,rnd,1501,14.510455805073365,-3.563382356820942,2.422006472491909,-3.563382356820942,False
NQH5,0.6,ofl,225,18.292334866161664,-5.655635804253402,1.581641659311562,-8.080205489242969,True
NQH5,0.6,rnd,1501,13.662804083521378,-8.080205489242969,2.5558576051779935,-8.080205489242969,False
NQH5,0.7,ofl,211,11.2745559864978,3.6854768731903333,2.0417475728155337,-8.861967405290478,True
NQH5,0.7,rnd,1493,12.067821415022973,-8.861967405290478,2.1263447913933353,-8.861967405290478,False
NQH5,0.8,ofl,196,11.062591844801268,-11.635600762795766,3.180151024811219,-6.133974449668878,False
NQH5,0.8,rnd,1439,9.140020483999956,-6.133974449668878,2.8266101463147817,-6.133974449668878,False
NQH6,0.5,ofl,194,42.69658991028279,-8.67292443932687,1.6666666666666667,1.3980475784497415,False
NQH6,0.5,rnd,1451,17.95030149068789,1.3980475784497415,2.34155879180151,1.3980475784497415,False
NQH6,0.6,ofl,201,33.97573710089026,-10.056973706257455,1.6902912621359225,-4.704062245350748,False
NQH6,0.6,rnd,1475,21.03531868725866,-4.704062245350748,2.0051868599547813,-4.704062245350748,False
NQH6,0.7,ofl,199,34.02501552446499,-15.089597591842214,2.2362459546925564,2.5425172938780918,False
NQH6,0.7,rnd,1477,14.46036783875871,2.5425172938780918,2.760739460034579,2.5425172938780918,False
NQH6,0.8,ofl,175,25.26768451933969,-33.34963019691729,2.4611650485436893,3.4689720895545713,False
NQH6,0.8,rnd,1458,12.381202121057937,3.4689720895545713,2.6527777777777777,3.4689720895545713,False
NQM5,0.5,ofl,225,36.782828840768474,14.170545421166691,3.402471315092674,0.9891250516065417,True
NQM5,0.5,rnd,1518,21.052117506474676,0.9891250516065417,2.8601941747572814,0.9891250516065417,False
NQM5,0.6,ofl,229,32.894878192138464,18.313950605919917,1.354810238305384,-3.3102531033726543,True
NQM5,0.6,rnd,1519,21.6192751444956,-3.3102531033726543,2.471585760517799,-3.3102531033726543,False
