contract,split,mech,n,tr,ho,tpw,ctl,beat
NQH5,0.5,imp,209,17.576284503122054,3.816702136848302,3.5252427184466013,-1.037092370810864,True
NQH5,0.5,orb,2,-4.454342002553253,-23.617169972688988,0.7912621359223301,-1.037092370810864,False
NQH5,0.5,rev,200,16.98390479172539,0.24702569141676206,2.507766990291262,-1.037092370810864,True
NQH5,0.5,rnd,247,12.051796498412841,-1.037092370810864,2.5153721682847894,-1.037092370810864,False
NQH5,0.5,sqz,113,15.969087222037293,-1.7583733440413103,2.939805825242719,-1.037092370810864,False
NQH5,0.5,vol,158,15.180149738056935,-16.081062809499954,2.2995839112343965,-1.037092370810864,False
NQH5,0.5,vwr,223,23.03352892489497,-5.11504776073395,3.210944395410415,-1.037092370810864,False
NQH5,0.6,imp,209,15.080333552856393,5.784628640755442,3.5252427184466013,1.0680376989877602,True
NQH5,0.6,rev,200,14.866464529327875,1.2652378018829833,3.088349514563107,1.0680376989877602,True
NQH5,0.6,rnd,247,11.015157779974041,1.0680376989877602,2.46116504854369,1.0680376989877602,False
NQH5,0.6,sqz,114,12.335289370769186,-0.8024614774394276,3.4873786407766985,1.0680376989877602,False
NQH5,0.6,vol,157,13.867347352483069,-19.667498005376054,2.502080443828017,1.0680376989877602,False
NQH5,0.6,vwr,222,19.422338689995705,-2.831685030390431,5.331862312444836,1.0680376989877602,False
NQH5,0.7,imp,207,13.381719630586053,1.2223224446583285,3.0145631067961167,-0.2097970302290788,True
NQH5,0.7,rev,200,14.66420258589346,-0.6341796441620076,2.5407766990291263,-0.2097970302290788,False
NQH5,0.7,rnd,244,11.145789188112774,-0.2097970302290788,2.1512944983818767,-0.2097970302290788,False
NQH5,0.7,sqz,112,9.06185416541767,2.305972071215881,3.4873786407766985,-0.2097970302290788,True
NQH5,0.7,vol,147,11.572160755568826,-10.610933188732242,2.260748959778086,-0.2097970302290788,False
NQH5,0.7,vwr,220,21.36654446079804,-14.099031536812282,4.344218887908208,-0.2097970302290788,False
NQH5,0.8,imp,203,12.153663075967518,-9.051096483010511,4.088349514563107,-13.223742828197526,True
NQH5,0.8,rev,198,13.657548805501811,4.700833652980184,2.8122977346278315,-13.223742828197526,True
NQH5,0.8,rnd,233,9.591928829029268,-13.223742828197526,2.5701676963812883,-13.223742828197526,False
NQH5,0.8,sqz,107,8.445238176007889,-6.121056328125448,3.6640776699029125,-13.223742828197526,True
NQH5,0.8,vol,141,7.001021036469529,-1.365729727245812,4.031900138696256,-13.223742828197526,True
NQH5,0.8,vwr,215,19.87641545341048,-13.642215609565767,4.617475728155339,-13.223742828197526,False
NQH6,0.5,imp,211,18.829874879995167,-8.987096823453363,2.681553398058252,-4.347040426663799,False
NQH6,0.5,orb,3,-19.772054206157307,-2.4905818482739286,0.802588996763754,-4.347040426663799,True
NQH6,0.5,rev,200,16.364128273781997,-11.334903906037937,3.6368932038834956,-4.347040426663799,False
NQH6,0.5,rnd,248,17.189160040492364,-4.347040426663799,2.1723300970873782,-4.347040426663799,False
NQH6,0.5,sqz,119,13.84643776292018,2.731379873450132,2.6932038834951455,-4.347040426663799,True
NQH6,0.5,vol,174,16.932160563276465,-5.265366932025194,1.9963592233009708,-4.347040426663799,False
NQH6,0.5,vwr,223,13.35463266065953,3.1441986662666435,6.489849955869373,-4.347040426663799,True
NQH6,0.6,imp,210,12.646626425297613,-14.205073022571295,1.7087378640776698,1.2986851012999983,False
NQH6,0.6,orb,3,-11.540882193879474,-13.40449858690696,0.802588996763754,1.2986851012999983,False
NQH6,0.6,rev,200,14.049418448492833,-8.70723200118579,4.584466019417476,1.2986851012999983,False
NQH6,0.6,rnd,248,11.01440012325439,1.2986851012999983,2.870550161812298,1.2986851012999983,False
NQH6,0.6,sqz,121,12.115143419594382,-3.376502954904829,5.449838187702265,1.2986851012999983,False
NQH6,0.6,vol,174,14.669934822432346,-0.5134889098433622,2.337378640776699,1.2986851012999983,False
NQH6,0.6,vwr,223,11.351447181630459,3.8585648288568604,5.030008826125331,1.2986851012999983,True
NQH6,0.7,imp,209,9.485847462065754,-1.4371634164649643,2.1631067961165042,1.4816543279958783,False
NQH6,0.7,rev,200,12.087202826946703,-9.995809771240786,4.2805825242718445,1.4816543279958783,False
NQH6,0.7,rnd,249,11.044945173193069,1.4816543279958783,2.4571197411003234,1.4816543279958783,False
NQH6,0.7,sqz,119,11.919750689092224,-8.611106396183573,6.196116504854369,1.4816543279958783,False
NQH6,0.7,vol,171,15.426514820605277,-4.60934352787188,2.5898058252427183,1.4816543279958783,False
NQH6,0.7,vwr,221,12.047179092693728,5.270493246662557,4.179170344218889,1.4816543279958783,True
NQH6,0.8,imp,205,9.013513021719206,7.85721688450636,4.866990291262136,-5.598717752839607,True
NQH6,0.8,rev,197,10.47150192727185,-5.306464001391616,5.329018338727077,-5.598717752839607,True
NQH6,0.8,rnd,246,9.26649375607106,-5.598717752839607,3.5161812297734634,-5.598717752839607,False
NQH6,0.8,sqz,116,12.154043705879543,11.192118496848087,3.7475728155339807,-5.598717752839607,True
NQH6,0.8,vol,149,12.411214625118813,-1.621083649126458,3.0110957004160888,-5.598717752839607,True
NQH6,0.8,vwr,210,10.681521045923498,12.545343792462916,5.239805825242717,-5.598717752839607,True
NQM5,0.5,imp,216,14.608601709029381,-7.7145287994818945,9.485436893203882,-2.6067192429470745,False
NQM5,0.5,rev,204,15.796948051362367,-5.705084795521129,11.718446601941748,-2.6067192429470745,False
NQM5,0.5,rnd,250,8.806910673301443,-2.6067192429470745,6.2726537216828495,-2.6067192429470745,False
NQM5,0.5,sqz,130,15.429775525018284,-3.7361684644449014,3.3786407766990294,-2.6067192429470745,False
NQM5,0.5,vol,187,16.15514617153194,3.803293968058398,2.844660194174757,-2.6067192429470745,True
NQM5,0.5,vwr,214,37.075118668161835,-11.892226233339724,6.178640776699029,-2.6067192429470745,False
NQM5,0.6,imp,216,12.507855622432702,-5.121381230956545,8.175728155339806,-0.5299910397493258,False
NQM5,0.6,rev,204,13.857928073464175,-7.469422223862614,10.162135922330096,-0.5299910397493258,False
NQM5,0.6,rnd,250,7.342933874239875,-0.5299910397493258,6.144822006472491,-0.5299910397493258,False
NQM5,0.6,sqz,131,11.752211224133816,-0.6048647862729888,3.6585760517799355,-0.5299910397493258,False
NQM5,0.6,vol,193,15.973833511149037,2.2594111213613,2.1952535059331177,-0.5299910397493258,True
NQM5,0.6,vwr,225,38.5866350548317,1.965550805484711,2.770520741394528,-0.5299910397493258,True
NQM5,0.7,imp,213,10.070952873367176,-1.8896011254327107,8.560194174757282,-2.472464553202876,True
NQM5,0.7,rev,204,12.012516034596253,-8.015126961285208,9.907766990291263,-2.472464553202876,False
NQM5,0.7,rnd,250,7.492441928452784,-2.472464553202876,4.7046925566343045,-2.472464553202876,False
NQM5,0.7,sqz,131,11.2421378190069,-2.0671686760068613,4.432038834951457,-2.472464553202876,True
NQM5,0.7,vol,202,13.367518795415071,11.179248006816996,1.9543689320388349,-2.472464553202876,True
