split,mech,n,tr,ho,tpw,ctl,beat
0.5,cal,67,11.934598018597697,-3.8086618775521597,2.8187702265372168,1.8641799373088455,False
0.5,gap,19,-1.5342156059382548,-5.125492376936422,1.7605177993527505,1.8641799373088455,False
0.5,imp,144,3.489651483099421,0.07554875021114,17.525658807212203,1.8641799373088455,False
0.5,orb,30,22.20274736391301,27.781440222228014,1.110032362459547,1.8641799373088455,True
0.5,rev,143,4.158614355021439,-2.1183158345836306,86.32454923717059,1.8641799373088455,False
0.5,rnd,151,3.908673487795138,1.8641799373088455,12.638002773925104,1.8641799373088455,False
0.5,sqz,81,8.402037852193756,-0.17972152338336855,14.973300970873787,1.8641799373088455,False
0.5,vol,12,14.706858898473456,-4.24972399699237,3.2168284789644015,1.8641799373088455,False
0.5,vwr,135,5.5541806193776715,-3.4189114469275097,10.532362459546926,1.8641799373088455,False
0.6,cal,68,14.141352361630721,-11.095950734830906,2.197411003236246,1.3275242555607678,False
0.6,gap,21,6.444639980199781,-4.679311761595851,1.2944983818770226,1.3275242555607678,False
0.6,imp,144,3.018242932777205,-0.0732422535863062,17.525658807212206,1.3275242555607678,False
0.6,orb,28,20.03807066973963,31.662873229564322,1.110032362459547,1.3275242555607678,True
0.6,rev,143,3.9308836774882794,-3.088116866032204,58.98474341192788,1.3275242555607678,False
0.6,rnd,151,3.8422517360940307,1.3275242555607678,12.991678224687933,1.3275242555607678,False
0.6,sqz,81,10.318837069026559,-14.601007223149166,3.388349514563107,1.3275242555607678,False
0.6,vol,13,11.344844157639981,-2.748117438844666,2.5210355987055015,1.3275242555607678,False
0.6,vwr,135,4.474638211009361,0.6208184292325559,18.315533980582526,1.3275242555607678,False
0.7,cal,68,11.088117206924474,-12.803469315105977,2.2427184466019416,4.081852388537906,False
0.7,gap,23,5.859583236465166,2.8987091032358427,1.2944983818770226,4.081852388537906,False
0.7,imp,144,3.6745751741022232,-2.5726829259575075,17.525658807212206,4.081852388537906,False
0.7,orb,28,18.76418653913818,40.94676375882596,1.110032362459547,4.081852388537906,True
0.7,rev,142,3.615451226663397,-3.2328838456841096,61.668515950069356,4.081852388537906,False
0.7,rnd,151,3.1105353399175066,4.081852388537906,15.008321775312066,4.081852388537906,False
0.7,sqz,81,7.584333024385101,-1.174069729106316,8.021844660194175,4.081852388537906,False
0.7,vol,14,6.675004572930365,2.753052512778743,1.4822006472491909,4.081852388537906,False
0.7,vwr,135,5.097436099999698,-8.934770785424481,12.441747572815535,4.081852388537906,False
0.8,cal,65,10.292800012929924,-29.434680323456714,2.621359223300971,4.066009489441188,False
0.8,gap,17,1.982132486525303,-12.003099331656697,2.8187702265372168,4.066009489441188,False
0.8,imp,144,3.1657188071427393,-5.518911400801391,29.614424410540916,4.066009489441188,False
0.8,orb,16,2.906727660970828,-9.54242165579434,2.220064724919094,4.066009489441188,False
0.8,rev,142,3.001914780371513,-4.621724233997074,57.50762829403607,4.066009489441188,False
0.8,rnd,151,2.682833923882697,4.066009489441188,16.35783633841886,4.066009489441188,False
0.8,sqz,79,11.401831856733123,-17.173965095221575,4.097087378640777,4.066009489441188,False
0.8,vol,12,4.4382485542094665,3.267358953677102,2.4789644012944985,4.066009489441188,False
0.8,vwr,135,4.730729053721228,5.789860503971254,31.73948220064725,4.066009489441188,True
