contract,split,mech,n,tr,ho,tpw,ctl,beat
NQH5,0.5,imp,173,46.08013308826605,-19.56842615143033,1.753640776699029,-7.990891080237961,False
NQH5,0.5,rev,167,35.34990316440883,-4.428340946544844,1.9186893203883497,-7.990891080237961,True
NQH5,0.5,rnd,147,37.90025656810989,-7.990891080237961,1.2274618585298198,-7.990891080237961,False
NQH5,0.5,sqz,55,57.854571594636475,21.092375700932187,1.8737864077669901,-7.990891080237961,True
NQH5,0.5,vwr,200,38.21843469755042,-12.534374865330486,2.2320388349514566,-7.990891080237961,False
NQH5,0.6,imp,174,45.49120190921914,6.518733814060445,1.928398058252427,-0.6210896993383079,True
NQH5,0.6,rev,169,38.756350440139684,-27.45623569793247,1.4199029126213591,-0.6210896993383079,False
NQH5,0.6,rnd,152,30.727788693957063,-0.6210896993383079,1.50624133148405,-0.6210896993383079,False
NQH5,0.6,sqz,55,62.46947776436061,18.77780049233161,1.4822006472491909,-0.6210896993383079,True
NQH5,0.6,vwr,201,39.10586983826298,-27.182623822816105,1.912621359223301,-0.6210896993383079,False
NQH5,0.7,imp,173,36.35351439402355,-8.241349546381143,1.8216019417475726,-21.127923333178483,True
NQH5,0.7,rev,162,32.80951293233591,-16.887508818296546,1.7487864077669903,-21.127923333178483,True
NQH5,0.7,rnd,148,31.303748746052865,-21.127923333178483,1.6657420249653259,-21.127923333178483,False
NQH5,0.7,sqz,55,42.395499401803995,-21.096260216284648,2.220064724919094,-21.127923333178483,True
NQH5,0.7,vwr,193,39.86757395267176,-41.62739213434994,1.6537216828478964,-21.127923333178483,False
NQH5,0.8,imp,152,32.08552785747779,8.610052658522362,2.0429958391123444,-3.027394497583233,True
NQH5,0.8,rev,151,31.546535407963372,-20.98020927365059,2.042995839112344,-3.027394497583233,False
NQH5,0.8,rnd,124,25.12260024536273,-3.027394497583233,1.7993527508090612,-3.027394497583233,False
NQH5,0.8,sqz,45,31.859115441893252,30.609241061185788,4.7216828478964405,-3.027394497583233,True
NQH5,0.8,vwr,177,33.450265003556694,-69.44893145983515,2.5764563106796112,-3.027394497583233,False
NQH6,0.5,imp,170,89.77952669843006,20.19494925681048,1.520631067961165,-38.68524595582552,True
NQH6,0.5,rev,159,67.81360839920637,-14.033172427903157,1.31622746185853,-38.68524595582552,True
NQH6,0.5,rnd,145,56.58273219725369,-38.68524595582552,1.3079056865464633,-38.68524595582552,False
NQH6,0.5,sqz,52,57.88861350915135,-26.025800995609632,1.9967637540453076,-38.68524595582552,True
NQH6,0.5,vwr,194,51.38650267210271,-7.842404449522165,1.9741100323624596,-38.68524595582552,True
NQH6,0.6,imp,177,108.6247176720084,4.307793614734727,1.4696601941747574,-19.325879680677197,True
NQH6,0.6,rev,167,68.59351581196799,-3.9607118401510846,1.5533980582524272,-19.325879680677197,True
NQH6,0.6,rnd,149,46.78439957525055,-19.325879680677197,1.2565880721220526,-19.325879680677197,False
NQH6,0.6,sqz,52,72.76429303377745,25.182251838471515,1.103559870550162,-19.325879680677197,True
NQH6,0.6,vwr,200,46.608117305930286,7.74967467356389,2.2300970873786405,-19.325879680677197,True
NQH6,0.7,imp,174,86.60837480918826,10.190849307818677,1.487864077669903,49.4208361590423,False
NQH6,0.7,rev,161,70.72701855390407,3.076364239320462,1.6529126213592233,49.4208361590423,False
NQH6,0.7,rnd,142,37.576185313824205,49.4208361590423,1.2149791955617197,49.4208361590423,False
NQH6,0.7,sqz,48,53.83830297547303,-2.236452733627118,1.1132686084142396,49.4208361590423,False
NQH6,0.7,vwr,197,47.930397015371604,8.08922133558243,1.7324703344120822,49.4208361590423,False
NQH6,0.8,imp,156,68.32354282255157,-10.266875876852867,1.6407766990291264,34.81201841402414,False
NQH6,0.8,rev,144,67.73443276809238,-17.24505020369946,1.4826629680998613,34.81201841402414,False
NQH6,0.8,rnd,107,28.11494697831513,34.81201841402414,1.8582524271844658,34.81201841402414,False
NQH6,0.8,sqz,38,36.890947098224544,-103.45716023944101,1.3527508090614886,34.81201841402414,False
NQH6,0.8,vwr,172,54.45172000072072,-27.74025321300371,1.4550970873786409,34.81201841402414,False
NQM5,0.5,imp,176,103.75650609838576,-45.596189322492414,3.2560679611650487,-31.261829751026234,False
NQM5,0.5,rev,171,113.82239711557887,-36.81486207544906,2.787621359223301,-31.261829751026234,False
NQM5,0.5,rnd,156,85.52369119971898,-31.261829751026234,1.7156726768377255,-31.261829751026234,False
NQM5,0.5,sqz,57,113.61731630216538,-48.90553189303338,1.2621359223300972,-31.261829751026234,False
NQM5,0.5,vwr,194,172.5674865834964,-92.7625482551705,3.034519956850054,-31.261829751026234,False
NQM5,0.6,imp,180,87.05305530578404,-52.21816455598943,2.9827400215749726,-28.400453607705284,False
NQM5,0.6,rev,172,106.60903432675366,-55.54715980611228,2.6978155339805827,-28.400453607705284,False
NQM5,0.6,rnd,158,69.34990627283108,-28.400453607705284,1.41747572815534,-28.400453607705284,False
NQM5,0.6,sqz,57,89.96980066086611,-50.793459068378844,1.3754045307443368,-28.400453607705284,False
NQM5,0.6,vwr,200,117.70629019089759,-70.98713685900975,3.5126213592233007,-28.400453607705284,False
NQM5,0.7,imp,178,65.22480621050244,-45.61613025408967,3.0776699029126213,-41.33244059232226,False
