rank,market,family,signal,stop,rr,trail,ttl,H,filt,tr_wk,wk,net,pf,ev,wr,avg_win,avg_loss,worst_day,worst_wk,maxdd,sharpe,sortino,calmar,smooth_r2,poswk,oos_wk,oos_poswk,years,mc_ann_p5,shuffle_dd_p95,roll13_pos,neigh_pos,robust,slip1_wk,comm150_wk,bh_corr,max_corr_others,avg_corr_others,pool_i
1,ZB,fib,lb=32 k=2.5 pb=0.382,2.5,0.5,2.5,12,12,all/none/lo/none/none,26.8,415.0,49387,2.045,15.46,0.722,41.9,-53.23,-395,-289,-307,1.275,5.35,70.26,0.995,0.882,466.7,0.9,"{""2023"": 201, ""2024"": 19412, ""2025"": 23396, ""2026"": 6378}",17619,-765,1.0,1.0,100.0,-1374.2,354.6,-0.044,0.802,0.428,0
2,ZB,fib,lb=24 k=1.25 pb=0.618,2.0,0.5,2.5,6,24,all/none/lo/none/none,22.1,306.3,36141,2.036,13.85,0.764,35.62,-56.64,-318,-296,-296,1.204,2.927,53.85,0.999,0.907,251.3,0.8,"{""2023"": 732, ""2024"": 15285, ""2025"": 15028, ""2026"": 5096}",12933,-729,1.0,1.0,100.0,-1141.5,256.5,-0.038,0.765,0.405,1
3,ZB,fib,lb=24 k=1.0 pb=0.618,2.0,0.5,2.5,3,48,all/none/lo/none/none,14.9,241.8,28527,2.264,16.17,0.78,37.13,-58.16,-294,-177,-177,1.229,4.711,71.12,0.996,0.89,92.3,0.7,"{""2023"": 579, ""2024"": 11038, ""2025"": 13248, ""2026"": 3662}",10273,-654,1.0,1.0,100.0,-737.2,208.1,-0.09,0.706,0.407,200
4,ZB,fib,lb=24 k=1.0 pb=0.618,2.0,0.5,2.5,3,24,all/none/lo/none/none,23.3,320.0,37765,2.01,13.76,0.759,36.08,-56.47,-286,-204,-271,1.12,4.75,61.4,0.998,0.831,267.8,0.9,"{""2023"": 493, ""2024"": 16020, ""2025"": 15949, ""2026"": 5302}",13357,-731,1.0,1.0,100.0,-1208.8,267.7,-0.112,0.765,0.444,201
5,ZB,fib,lb=8 k=1.5 pb=0.706,2.5,0.5,2.5,12,24,all/none/lo/none/none,21.5,374.8,43854,2.142,17.4,0.745,43.78,-59.82,-291,-328,-328,1.328,3.423,59.5,0.997,0.897,276.7,0.7,"{""2023"": 270, ""2024"": 18004, ""2025"": 17910, ""2026"": 7670}",16363,-743,1.0,1.0,100.0,-1059.9,326.3,0.077,0.74,0.391,202
6,ZB,fib,lb=64 k=2.5 pb=0.318,2.5,0.5,2.5,6,24,all/none/lo/none/none,19.4,314.4,37410,2.037,16.2,0.727,43.76,-57.26,-250,-315,-315,1.172,4.269,51.85,0.998,0.866,308.4,0.9,"{""2023"": 776, ""2024"": 15420, ""2025"": 15471, ""2026"": 5743}",13086,-767,1.0,1.0,100.0,-937.6,270.7,-0.235,0.807,0.437,4
7,ZB,fib,lb=12 k=1.5 pb=0.618,2.5,0.5,2.5,3,12,all/none/lo/lo/none,30.5,487.9,53672,2.038,16.01,0.734,42.84,-57.9,-411,-276,-285,1.211,5.818,89.05,0.993,0.909,256.7,0.9,"{""2023"": 874, ""2024"": 25730, ""2025"": 24520, ""2026"": 2547}",20702,-796,1.0,1.0,100.0,-1570.2,419.3,-0.072,0.756,0.371,204
8,ZB,fib,lb=64 k=2.5 pb=0.382,2.5,0.5,2.5,12,12,all/none/lo/none/none,23.1,357.7,42205,2.014,15.51,0.716,43.02,-53.75,-334,-378,-378,1.31,3.266,49.18,0.997,0.881,327.2,0.8,"{""2023"": 818, ""2024"": 16855, ""2025"": 16722, ""2026"": 7810}",15447,-780,1.0,1.0,100.0,-1137.2,305.8,-0.111,0.794,0.441,3
9,ZN,fib,lb=8 k=0.75 pb=0.786,2.5,0.5,2.5,12,24,asia/none/lo/none/none,11.6,95.8,13700,2.222,8.28,0.77,19.54,-29.5,-111,-134,-283,1.106,2.575,17.63,0.998,0.874,105.9,1.0,"{""2023"": 2245, ""2024"": 4293, ""2025"": 4921, ""2026"": 2242}",3902,-314,1.0,1.0,100.0,-284.6,69.8,0.043,0.493,0.292,274
10,ZB,fib,lb=32 k=2.5 pb=0.44,2.5,0.5,2.5,12,24,all/none/lo/none/none,18.3,288.7,34352,2.043,15.8,0.725,42.69,-55.06,-264,-320,-320,1.224,2.969,46.97,0.996,0.866,393.3,0.9,"{""2023"": 476, ""2024"": 13843, ""2025"": 15390, ""2026"": 4644}",12139,-759,1.0,1.0,100.0,-897.4,247.6,0.043,0.741,0.387,2
11,ZB,fib,lb=8 k=1.5 pb=0.706,2.5,0.5,2.5,12,48,all/none/lo/none/none,14.2,248.9,29126,2.165,17.55,0.736,44.34,-56.97,-239,-274,-274,1.158,2.88,47.26,0.997,0.872,206.6,0.7,"{""2023"": 426, ""2024"": 11278, ""2025"": 12181, ""2026"": 5242}",10448,-680,1.0,1.0,100.0,-674.7,217.0,0.003,0.74,0.311,203
12,ZN,fib,lb=16 k=0.6 pb=0.56,2.0,0.618,2.5,12,24,asia/none/lo/none/none,12.5,88.4,12467,1.938,7.1,0.761,19.26,-31.7,-102,-88,-165,1.024,3.658,27.95,0.998,0.83,58.8,0.9,"{""2023"": 1788, ""2024"": 4221, ""2025"": 4583, ""2026"": 1875}",3560,-366,1.0,1.0,100.0,-337.1,60.4,0.185,0.809,0.291,102
13,ZB,fib,lb=6 k=1.25 pb=0.786,2.5,0.5,2.5,12,24,all/none/lo/lo/none,18.8,297.3,32701,1.928,15.78,0.707,46.39,-58.08,-323,-244,-244,1.078,4.764,63.26,0.996,0.855,179.4,0.7,"{""2023"": 678, ""2024"": 15471, ""2025"": 14893, ""2026"": 1660}",12259,-845,1.0,1.0,100.0,-925.9,254.9,-0.006,0.734,0.326,11
14,ZB,fade,lb=24 k=2.2 dep=1.5,2.0,0.75,2.5,6,24,all/none/lo/none/none,19.1,299.7,35661,1.894,15.65,0.668,49.63,-52.75,-312,-245,-281,1.069,3.877,55.55,0.997,0.874,203.2,0.8,"{""2023"": 39, ""2024"": 13944, ""2025"": 16315, ""2026"": 5362}",12352,-816,1.0,1.0,100.0,-1027.1,256.6,-0.139,0.759,0.309,9
15,ZB,fib,lb=24 k=1.25 pb=0.618,2.0,0.5,2.5,6,12,all/none/lo/none/none,32.6,405.6,47863,1.917,12.44,0.75,34.64,-54.29,-386,-449,-449,1.222,3.579,47.02,0.999,0.873,296.3,0.8,"{""2023"": 694, ""2024"": 20461, ""2025"": 19692, ""2026"": 7015}",17299,-795,1.0,1.0,100.0,-1739.3,332.2,-0.087,0.767,0.428,8
16,ZN,fib,lb=16 k=0.75 pb=0.56,2.0,0.5,2.5,12,24,asia/none/lo/none/none,12.4,77.7,10958,2.162,6.28,0.82,14.26,-30.03,-107,-80,-102,1.024,3.734,39.57,0.995,0.823,51.7,0.8,"{""2023"": 1539, ""2024"": 3372, ""2025"": 4041, ""2026"": 2007}",3138,-300,1.0,1.0,100.0,-327.5,49.9,0.035,0.827,0.326,100
17,ZB,fade,lb=24 k=1.5 dep=1.5,2.0,0.75,2.5,6,24,all/none/lo/none/none,21.7,335.5,39922,1.853,15.46,0.664,50.55,-54.0,-252,-210,-318,1.142,4.663,54.82,0.995,0.882,270.8,0.8,"{""2023"": 305, ""2024"": 18163, ""2025"": 14534, ""2026"": 6920}",14047,-856,1.0,1.0,100.0,-1160.6,286.6,-0.021,0.759,0.345,10
18,ZB,fib,lb=64 k=2.5 pb=0.382,2.5,0.5,2.5,12,24,all/none/lo/none/none,17.0,282.6,33352,2.085,16.63,0.731,43.72,-56.92,-258,-392,-392,1.129,2.415,37.54,0.998,0.873,304.5,0.9,"{""2023"": 483, ""2024"": 13365, ""2025"": 13164, ""2026"": 6342}",11813,-735,1.0,1.0,100.0,-809.0,244.4,-0.114,0.794,0.402,5
19,ZB,fade,lb=6 k=0.8 dep=1.5,2.0,0.75,2.5,6,12,all/none/lo/none/none,32.1,492.4,58595,1.872,15.33,0.665,49.49,-52.51,-850,-410,-425,1.199,4.246,60.21,0.998,0.866,341.0,0.9,"{""2023"": 968, ""2024"": 22073, ""2025"": 24832, ""2026"": 10721}",20660,-900,1.0,1.0,100.0,-1755.0,420.1,0.096,0.787,0.354,15
20,ZB,fib,lb=6 k=1.5 pb=0.786,2.5,0.5,2.5,12,24,all/none/lo/none/none,19.1,302.0,35941,1.994,15.84,0.715,44.45,-55.88,-268,-343,-343,1.118,3.374,45.78,0.996,0.874,192.7,0.6,"{""2023"": 756, ""2024"": 13455, ""2025"": 15737, ""2026"": 5993}",12480,-786,1.0,1.0,100.0,-907.4,259.1,-0.063,0.832,0.412,206
21,ZB,fib,lb=48 k=2.0 pb=0.382,2.5,0.5,2.5,3,48,all/none/lo/none/none,13.6,227.5,26612,2.068,16.74,0.733,44.2,-58.78,-293,-139,-139,1.053,5.933,85.07,0.987,0.829,169.3,0.8,"{""2023"": 329, ""2024"": 12394, ""2025"": 9093, ""2026"": 4795}",9440,-742,1.0,1.0,100.0,-635.7,196.9,0.041,0.461,0.364,207
22,ZB,fib,lb=6 k=1.5 pb=0.886,2.5,0.5,2.5,12,24,all/none/lo/none/none,16.7,270.8,32224,2.123,16.18,0.719,42.54,-51.32,-254,-307,-307,1.068,3.303,45.81,0.996,0.857,109.3,0.6,"{""2023"": 702, ""2024"": 11509, ""2025"": 14893, ""2026"": 5119}",11046,-695,1.0,1.0,100.0,-830.0,233.1,-0.002,0.749,0.368,205
23,ZB,fade,lb=24 k=2.2 dep=1.5,2.0,0.75,2.5,6,12,all/none/lo/none/none,26.7,402.2,47857,1.887,15.08,0.659,48.66,-49.9,-389,-318,-356,1.205,3.927,58.68,0.997,0.882,227.6,0.7,"{""2023"": 38, ""2024"": 18819, ""2025"": 21623, ""2026"": 7377}",16826,-842,1.0,1.0,100.0,-1472.3,342.2,-0.051,0.721,0.367,16
24,ZB,fib,lb=8 k=1.5 pb=0.618,2.5,0.5,2.5,6,24,all/none/lo/none/none,23.0,381.4,45007,2.054,16.61,0.738,43.87,-60.13,-432,-549,-549,1.217,2.666,36.13,0.997,0.89,371.7,0.7,"{""2023"": 723, ""2024"": 17879, ""2025"": 19328, ""2026"": 7076}",16120,-770,1.0,1.0,100.0,-1144.0,329.8,-0.069,0.761,0.398,20
25,ZB,fib,lb=24 k=1.25 pb=0.618,2.0,0.5,2.5,12,48,all/none/lo/none/none,14.4,214.5,25093,2.076,14.85,0.763,37.52,-58.28,-240,-280,-280,1.076,2.212,39.88,0.996,0.897,173.7,0.7,"{""2023"": 272, ""2024"": 10669, ""2025"": 10090, ""2026"": 4062}",8845,-701,1.0,1.0,100.0,-729.1,182.0,0.085,0.686,0.413,13
