name,sel_usd_wk,sel_tr_wk,bl_usd_wk,bl_tr_wk,bl_per,bl_worst,bl_pos
k15_a2.0_hivol_t20,560.0,66.7,845.0,73.8,11.46,-1360.0,75
k10_a2.0_hivol_t20,494.0,62.2,297.0,68.0,4.36,-1136.0,50
k15_a1.5_hivol_t15,429.0,93.1,837.0,103.5,8.09,-1230.0,50
k10_a1.5_hivol_t15,412.0,89.6,1189.0,96.8,12.29,-907.0,50
k15_a2.0_hivol_t15,397.0,81.2,660.0,89.2,7.4,-608.0,50
k15_a1.5_none_t15,362.0,113.1,994.0,109.0,9.12,-1343.0,50
k10_a1.2_skip30_t15,353.0,108.4,940.0,103.0,9.13,-84.0,50
k10_a1.2_hivol_t20,311.0,74.9,-499.0,82.2,-6.07,-1707.0,25
k15_a1.2_hivol_t20,301.0,76.9,559.0,84.2,6.63,-1882.0,50
k15_a1.5_skip30_t15,294.0,106.0,449.0,101.2,4.43,-1808.0,50
k10_a1.5_hivol_t20,288.0,71.2,425.0,77.5,5.49,-823.0,75
k15_a2.0_skip30_t15,280.0,92.7,248.0,87.2,2.84,-1068.0,50
k15_a1.5_hivol_t20,274.0,73.6,495.0,81.0,6.11,-516.0,25
k10_a1.5_skip30_t15,265.0,101.1,861.0,95.0,9.07,-371.0,50
k10_a1.5_am_t15,258.0,53.8,482.0,52.2,9.23,-730.0,75
k10_a1.2_hivol_t15,252.0,96.0,1130.0,105.0,10.76,-1075.0,75
k10_a1.5_none_t15,251.0,108.7,1285.0,103.0,12.48,-790.0,75
k15_a1.5_pm_t15,245.0,60.3,709.0,57.0,12.44,-1254.0,75
k15_a2.0_none_t15,243.0,99.7,736.0,94.5,7.79,-504.0,50
k10_a1.2_pm_t20,223.0,48.0,351.0,44.8,7.84,-316.0,50
k15_a1.2_hivol_t15,213.0,98.0,658.0,108.2,6.08,-1944.0,50
k10_a2.0_am_t10,198.0,58.8,-338.0,57.2,-5.9,-942.0,25
k10_a2.0_hivol_t15,198.0,75.0,565.0,83.8,6.75,-1100.0,50
k15_a1.2_pm_t20,195.0,49.1,443.0,46.2,9.57,-472.0,50
k15_a2.0_skip30_t20,194.0,75.8,432.0,71.8,6.03,-1645.0,50
k15_a1.5_pm_t20,192.0,47.1,2.0,45.0,0.06,-1502.0,25
