name,sel_usd_wk,sel_tr_wk,sel_per,sel_pos,bl_usd_wk,bl_tr_wk,bl_per,bl_worst,bl_pos
RSI2R_rth_t60_s0,837.0,32.7,25.61,89,166.0,31.5,5.27,-2096.0,50
RSI2R_all_t30_s0,759.0,190.0,3.99,78,-594.0,128.7,-4.61,-3061.0,33
RSI2R_rth_t30_s0,724.0,60.9,11.89,89,-881.0,58.5,-15.06,-2081.0,25
RSI2R_rth_t60_s15,651.0,102.8,6.34,78,-578.0,150.0,-3.85,-2586.0,25
RSI2R_rth_t15_s0,645.0,105.1,6.13,78,-1314.0,100.5,-13.08,-2228.0,0
RSI2R_all_t60_s0,627.0,102.8,6.1,78,-268.0,69.3,-3.87,-3239.0,50
BBF_all_t60_s0,434.0,83.0,5.23,67,384.0,55.2,6.97,-2451.0,83
MOMF_k5_a3.0_all_t60_s0,406.0,64.4,6.31,67,-119.0,43.3,-2.74,-2334.0,33
RSI2R_rth_t30_s15,402.0,145.1,2.77,78,-617.0,191.5,-3.22,-2338.0,25
RSI2R_all_t15_s0,392.0,333.3,1.18,67,-891.0,225.5,-3.95,-2500.0,17
MOMR_k15_a3.0_rth_t15_s0,388.0,68.3,5.68,78,-10.0,67.2,-0.15,-806.0,50
MOMR_k15_a1.5_rth_t15_s0,362.0,113.1,3.2,56,994.0,109.0,9.12,-1343.0,50
MOMR_k3_a1.5_rth_t60_s15,343.0,91.1,3.76,56,-48.0,110.8,-0.43,-1470.0,25
NTBF_all_t60_s0,316.0,56.9,5.56,56,-377.0,29.7,-12.72,-1461.0,33
MOMF_k15_a1.5_all_t60_s0,295.0,105.2,2.8,78,-987.0,70.8,-13.93,-6020.0,33
NTBF_all_t30_s0,268.0,71.9,3.73,44,179.0,38.0,4.7,-1393.0,50
DON20R_all_t60_s0,248.0,91.7,2.71,56,30.0,63.5,0.47,-3990.0,50
Z60F_all_t60_s0,220.0,84.9,2.59,56,-2.0,54.2,-0.04,-2451.0,67
MOMR_k15_a1.5_rth_t30_s0,211.0,63.6,3.32,67,-200.0,60.0,-3.33,-879.0,50
MOMR_k15_a3.0_all_t60_s0,209.0,90.2,2.32,78,-260.0,62.2,-4.18,-3429.0,33
RSI2R_all_t60_s15,179.0,264.9,0.68,67,-773.0,236.3,-3.27,-4188.0,33
PDHF_rth_t15_s0,161.0,11.3,14.19,67,-43.0,9.0,-4.74,-491.0,25
