name,net_wk,fees_wk,gross_wk,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
VSPKF_time5_all,-253.8,218.5,-35.3,17404,111.5,-268.3,-238.5,-21462.0,-18160.0,42.3
VSPKF_time5_rth,-28.3,42.3,14.0,3375,21.6,-3.1,-54.7,-250.0,-4168.0,48.1
VSPKF_time15_all,-143.4,181.7,38.3,14472,92.7,-153.8,-132.5,-12305.0,-10087.0,44.8
VSPKF_time15_rth,1.8,36.7,38.5,2921,18.7,-1.5,5.2,-118.0,397.0,48.7
VSPKF_time40_all,-104.0,140.1,36.1,11157,71.5,-99.9,-108.2,-7991.0,-8239.0,46.0
VSPKF_time40_rth,27.9,32.9,60.8,2628,16.8,36.5,18.9,2918.0,1440.0,49.0
VSPKF_trail2.0_all,-847.0,242.6,-604.4,19338,123.8,-758.0,-940.0,-60642.0,-71575.0,26.0
VSPKF_trail2.0_rth,-281.4,56.1,-225.3,4468,28.6,-229.1,-336.1,-18332.0,-25593.0,29.8
VSPKR_time5_all,-294.7,218.5,-76.2,17404,111.5,-287.6,-302.1,-23004.0,-23000.0,45.6
VSPKR_time5_rth,-78.1,42.3,-35.8,3375,21.6,-101.4,-53.6,-8110.0,-4078.0,46.8
VSPKR_time15_all,-312.7,181.7,-131.0,14472,92.7,-309.3,-316.1,-24743.0,-24068.0,47.0
VSPKR_time15_rth,-93.9,36.7,-57.2,2921,18.7,-91.3,-96.5,-7302.0,-7348.0,47.8
VSPKR_time40_all,-247.7,140.1,-107.6,11157,71.5,-254.7,-240.2,-20373.0,-18290.0,49.0
VSPKR_time40_rth,-110.7,32.9,-77.8,2628,16.8,-119.9,-101.0,-9594.0,-7694.0,48.9
VSPKR_trail2.0_all,-847.8,245.8,-602.0,19573,125.4,-712.3,-989.7,-56981.0,-75361.0,26.5
VSPKR_trail2.0_rth,-327.3,56.8,-270.5,4528,29.0,-273.7,-383.4,-21899.0,-29192.0,27.1
IMBF_time5_all,-22.4,22.3,-0.1,1773,11.4,-12.3,-33.0,-981.0,-2513.0,47.1
IMBF_time5_rth,1.9,0.8,2.7,67,0.4,-1.9,6.0,-153.0,454.0,53.7
IMBF_time15_all,-13.7,16.9,3.2,1341,8.6,-17.0,-10.2,-1362.0,-779.0,48.3
IMBF_time15_rth,5.1,0.6,5.7,51,0.3,2.5,7.9,203.0,599.0,56.9
IMBF_time40_all,-5.7,15.1,9.4,1210,7.7,-23.4,12.9,-1869.0,982.0,47.9
IMBF_time40_rth,9.8,0.6,10.4,49,0.3,-2.6,22.8,-205.0,1735.0,55.1
IMBF_trail2.0_all,-51.2,24.9,-26.3,1984,12.7,-40.5,-62.4,-3240.0,-4754.0,25.8
IMBF_trail2.0_rth,0.3,1.0,1.3,72,0.5,-1.9,2.6,-154.0,200.0,34.7
IMBR_time5_all,-33.5,22.3,-11.2,1773,11.4,-37.8,-29.0,-3023.0,-2205.0,38.5
IMBR_time5_rth,-4.0,0.8,-3.2,67,0.4,0.6,-8.9,49.0,-680.0,40.3
IMBR_time15_all,-28.6,16.9,-11.7,1341,8.6,-21.1,-36.4,-1689.0,-2769.0,42.6
IMBR_time15_rth,-6.8,0.6,-6.2,51,0.3,-3.5,-10.1,-282.0,-772.0,41.2
IMBR_time40_all,-32.5,15.1,-17.4,1210,7.7,-11.6,-54.4,-926.0,-4141.0,45.7
IMBR_time40_rth,-11.3,0.6,-10.7,49,0.3,1.6,-25.0,132.0,-1902.0,42.9
IMBR_trail2.0_all,-68.6,24.3,-44.3,1942,12.4,-51.9,-86.1,-4153.0,-6553.0,26.2
IMBR_trail2.0_rth,-7.2,1.0,-6.2,72,0.5,-0.7,-14.0,-56.0,-1064.0,33.3
BIGF_time5_all,-13.3,10.4,-2.9,828,5.3,-9.0,-17.8,-722.0,-1354.0,43.6
BIGF_time5_rth,-3.7,0.6,-3.1,46,0.3,-1.5,-6.1,-120.0,-462.0,34.8
BIGF_time15_all,-7.7,6.5,-1.2,523,3.3,-9.5,-5.9,-762.0,-446.0,44.6
BIGF_time15_rth,-3.8,0.4,-3.4,32,0.2,-1.6,-6.0,-132.0,-457.0,43.8
BIGF_time40_all,-5.1,6.1,1.0,489,3.1,-17.1,7.5,-1365.0,573.0,44.4
BIGF_time40_rth,-2.4,0.4,-2.0,30,0.2,-0.1,-4.8,-8.0,-362.0,53.3
BIGF_trail2.0_all,-23.6,10.6,-13.0,838,5.4,-16.9,-30.5,-1354.0,-2326.0,24.7
BIGF_trail2.0_rth,-2.8,0.6,-2.2,47,0.3,-1.5,-4.2,-119.0,-318.0,25.5
