Round 12 partial — days 3/53, 4542 active
# name  n  wr  per_day  tr_per_day  dd
T_LH_CANONINV_imp2_b2_s8_t16_pp300_cd15_mhd_all  95  0.526  71.39  31.67  46.02
T_LH_CANONINV_imp4_b4_s12_t28_pp118_cd5_mh600_all  72  0.528  66.08  24.00  61.22
B_ASH_off112_imp6_b4_pp382_s10t30_INV  58  0.552  59.92  19.33  34.89
B_ASH_off87_imp5_b3_pp300_s8t30_INV  69  0.522  59.83  23.00  37.48
T_LH_CANONINV_imp5_b4_s12_t40_pp236_cd15_mh120_all  69  0.522  59.48  23.00  64.97
T_LH_CANONINV_imp3_b2_s15_t50_pp500_cd30_mh240_all  65  0.523  59.28  21.67  38.46
T_LH_CANONINV_imp2_b3_s8_t32_pp382_cd3_mhd_LDN  17  0.706  57.37  5.67  8.50
T_LH_CANONINV_imp6_b4_s8_t12_pp236_cd3_mh240_all  84  0.560  57.02  28.00  29.85
B_ASH_off112_imp5_b3_pp300_s8t30_INV  70  0.514  56.72  23.33  38.52
P_CG_w20_t40_imp6_b4_s10t30_INV  59  0.542  54.67  19.67  58.26
P_CG_w50_t40_imp6_b4_s10t30_INV  57  0.544  53.49  19.00  59.16
P_CG_w50_t50_imp6_b4_s10t30_INV  61  0.541  51.27  20.33  58.26
T_LH_CANONINV_imp3_b4_s7_t16_pp500_cd15_mh120_all  77  0.494  50.48  25.67  35.77
F_HB_us_imp5_b4_s10t20  79  0.506  49.69  26.33  66.85
T_LH_CANONINV_imp5_b2_s10_t16_pp236_cd30_mh240_all  83  0.506  49.37  27.67  42.53
S_OS_pl6_rv3_imp6_b4_s10t30  64  0.547  48.55  21.33  42.00
B_ASH_off137_imp5_b3_pp300_s8t30_INV  70  0.500  48.22  23.33  60.61
T_LH_CANONINV_imp3_b3_s5_t50_pp236_cd5_mhd_all  99  0.364  47.94  33.00  64.17
B_ASH_off37_imp6_b4_pp382_s10t30_INV  62  0.532  47.50  20.67  61.44
T_LH_CANONINV_imp4_b8_s10_t12_pp118_cd15_mh240_all  81  0.543  46.84  27.00  72.42
B_ASH_off137_imp5_b4_pp118_s4t16_INV  98  0.429  46.82  32.67  32.96
B_ASH_off63_imp6_b4_pp382_s10t30_INV  61  0.525  46.57  20.33  52.84
