name,tf,net_wk,fees_wk,gross_wk,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
KELTBO_1min_time5_all,1min,-75.7,554.1,478.4,44139,282.7,-20.0,-134.1,-1602.0,-10214.0,47.0
KELTBO_1min_time5_rth,1min,10.1,157.8,167.9,12563,80.5,39.7,-21.0,3180.0,-1600.0,48.7
KELTBO_1min_time15_all,1min,-18.3,363.2,344.9,28941,185.3,-1.3,-36.1,-108.0,-2750.0,48.0
KELTBO_1min_time15_rth,1min,7.3,106.4,113.7,8486,54.3,0.2,14.8,18.0,1126.0,48.8
KELTBO_1min_time40_all,1min,2.3,217.2,219.5,17301,110.8,23.0,-19.5,1840.0,-1487.0,48.5
KELTBO_1min_time40_rth,1min,51.0,68.0,119.0,5421,34.7,159.4,-62.8,12750.0,-4786.0,49.9
KELTBO_1min_trail2.0_all,1min,-897.8,509.8,-388.0,40620,260.1,-678.8,-1127.5,-54303.0,-85848.0,34.2
KELTBO_1min_trail2.0_rth,1min,-342.5,136.0,-206.5,10831,69.4,-262.0,-426.8,-20963.0,-32501.0,34.8
KELTF_1min_time5_all,1min,75.7,554.1,629.8,44139,282.7,20.0,134.1,1602.0,10214.0,51.7
KELTF_1min_time5_rth,1min,-10.1,157.8,147.7,12563,80.5,-39.7,21.0,-3180.0,1600.0,50.7
KELTF_1min_time15_all,1min,18.3,363.2,381.5,28941,185.3,1.3,36.1,108.0,2750.0,51.1
KELTF_1min_time15_rth,1min,-7.3,106.4,99.1,8486,54.3,-0.2,-14.8,-18.0,-1126.0,50.6
KELTF_1min_time40_all,1min,-2.3,217.2,214.9,17301,110.8,-23.0,19.5,-1840.0,1487.0,51.0
KELTF_1min_time40_rth,1min,-51.0,68.0,17.0,5421,34.7,-159.4,62.8,-12750.0,4786.0,49.9
KELTF_1min_trail2.0_all,1min,-832.6,613.1,-219.5,48849,312.8,-591.1,-1085.8,-47291.0,-82674.0,34.9
KELTF_1min_trail2.0_rth,1min,-417.3,171.9,-245.4,13697,87.7,-333.1,-505.5,-26651.0,-38492.0,34.2
BBF_1min_time5_all,1min,93.2,584.1,677.3,46528,298.0,81.9,104.9,6554.0,7990.0,51.1
