pattern,hold_min,side,sel_per_trade,sel_tr_wk,sel_usd_wk,blind_per_trade,blind_tr_wk,blind_usd_wk
P3_96451_h60,60,-1,4.34,20.5,89.0,-9.32,24.0,-224.0
P3_104829_h60,60,1,2.3,21.7,50.0,-7.23,24.0,-173.0
P3_104829_h30,30,1,1.76,21.7,38.0,-8.21,31.9,-262.0
P3_44707_h60,60,-1,0.79,24.0,19.0,0.32,24.0,8.0
P3_96451_h30,30,-1,0.74,20.5,15.0,-6.79,26.4,-179.0
P3_55197_h60,60,1,0.23,24.0,6.0,0.1,24.0,3.0
P3_9532_h60,60,1,0.06,20.8,1.0,2.53,5.9,15.0
P3_96451_h15,15,-1,0.02,20.5,0.0,-4.32,26.4,-114.0
P3_45763_h30,30,-1,-0.15,27.5,-4.0,-12.92,35.8,-462.0
P3_105885_h60,60,1,-0.15,24.0,-4.0,6.71,24.0,161.0
P3_4704_h60,60,1,-0.44,22.2,-10.0,-3.11,6.1,-19.0
P3_4706_h60,60,1,-0.51,24.0,-12.0,-0.31,12.3,-4.0
P3_98_h60,60,1,-0.59,23.1,-14.0,2.62,5.9,15.0
P3_45763_h60,60,-1,-0.57,24.0,-14.0,-11.97,24.0,-287.0
P3_55197_h30,30,1,-0.49,29.8,-15.0,-3.61,40.4,-146.0
P3_1154_h60,60,1,-0.74,21.8,-16.0,-3.61,5.9,-21.0
P3_95395_h60,60,-1,-0.91,24.0,-22.0,-9.57,24.0,-230.0
P3_9532_h30,30,1,-1.12,20.8,-23.0,-1.92,5.9,-11.0
P3_45763_h15,15,-1,-1.06,27.5,-29.0,-8.24,35.8,-295.0
P3_4728_h60,60,1,-1.5,24.0,-36.0,-0.62,8.9,-6.0
P3_98_h30,30,1,-1.8,23.1,-42.0,0.89,5.9,5.0
P3_4610_h60,60,1,-1.77,24.0,-42.0,1.78,5.9,11.0
P3_9532_h15,15,1,-2.07,20.8,-43.0,-1.52,5.9,-9.0
P3_104829_h15,15,1,-2.05,21.7,-45.0,-6.4,31.9,-204.0
P3_5784_h60,60,1,-2.04,22.3,-45.0,2.18,6.1,13.0
P3_98_h15,15,1,-2.05,23.1,-47.0,-0.45,5.9,-3.0
P3_55394_h60,60,1,-2.06,24.0,-49.0,-1.54,12.6,-19.0
P3_14044_h30,30,1,-2.01,24.8,-50.0,-2.22,7.7,-17.0
P3_10588_h60,60,1,-2.22,24.0,-53.0,-0.63,9.9,-6.0
P3_65860_h60,60,1,-2.28,23.1,-53.0,-4.47,7.5,-34.0
P3_10566_h60,60,1,-2.54,21.6,-55.0,-1.17,6.6,-8.0
P3_4704_h30,30,1,-2.55,22.2,-57.0,-3.32,6.1,-20.0
P3_5762_h60,60,1,-2.44,24.0,-59.0,-5.27,11.7,-62.0
P3_1154_h30,30,1,-2.78,21.8,-60.0,-2.88,5.9,-17.0
P3_14044_h15,15,1,-2.46,24.8,-61.0,-1.28,7.7,-10.0
P3_4704_h15,15,1,-2.74,22.2,-61.0,-5.25,6.1,-32.0
P3_5784_h30,30,1,-2.79,22.3,-62.0,-1.05,6.1,-6.0
P3_65860_h30,30,1,-2.74,23.1,-63.0,-2.06,7.5,-15.0
P3_64732_h60,60,1,-2.66,24.0,-64.0,-1.28,9.8,-12.0
P3_14044_h60,60,1,-2.72,24.0,-65.0,0.99,7.7,8.0
P3_55416_h60,60,1,-2.77,24.0,-66.0,-2.77,7.9,-22.0
P3_5784_h15,15,1,-3.03,22.3,-67.0,-3.27,6.1,-20.0
