track,name,trades,tr_per_day,wr,per_day,max_dd,sharpe,pass
A,A_PESS_CANON_INV_236_s10t20,13128,247.7,0.4027,188.81,2538.36,0.248,N
A,A_PESS_R4_INV_pp118_s5t20_imp3,19962,376.6,0.3081,813.12,1100.83,0.661,N
A,A_PESS_R4_INV_pp118_s4t16_imp3,24311,458.7,0.3266,1122.27,660.15,0.828,N
A,A_PESS_R4_INV_pp118_s3t12_imp3,30341,572.5,0.3722,1668.89,392.62,1.134,N
A,A_PESS_R4_INV_pp118_s3t9_imp3,34453,650.1,0.4788,2243.37,396.22,1.453,Y
A,A_PESS_R4_INV_pp236_s5t20_imp3,18074,341.0,0.2844,318.31,2575.20,0.412,N
A,A_REAL_CANON_INV_236_s10t20,13250,250.0,0.3983,124.04,3471.66,0.168,N
A,A_REAL_R4_INV_pp118_s5t20_imp3,20220,381.5,0.3045,748.20,1222.48,0.626,N
A,A_REAL_R4_INV_pp118_s4t16_imp3,24657,465.2,0.3214,1038.36,785.97,0.778,N
A,A_REAL_R4_INV_pp118_s3t12_imp3,30704,579.3,0.3660,1576.00,490.60,1.100,N
A,A_REAL_R4_INV_pp118_s3t9_imp3,34813,656.8,0.4711,2140.42,407.64,1.419,Y
A,A_REAL_R4_INV_pp236_s5t20_imp3,18369,346.6,0.2796,236.13,3680.35,0.310,N
A,A_PRES_CANON_INV_236_s10t20,13239,249.8,0.3984,125.06,3332.19,0.172,N
A,A_PRES_R4_INV_pp118_s5t20_imp3,20176,380.7,0.3055,767.11,1132.02,0.632,N
A,A_PRES_R4_INV_pp118_s4t16_imp3,24548,463.2,0.3223,1052.99,828.12,0.790,N
A,A_PRES_R4_INV_pp118_s3t12_imp3,30640,578.1,0.3679,1607.45,435.47,1.109,N
A,A_PRES_R4_INV_pp118_s3t9_imp3,34737,655.4,0.4734,2172.71,415.62,1.417,Y
A,A_PRES_R4_INV_pp236_s5t20_imp3,18336,346.0,0.2799,245.21,3286.12,0.319,N
B,B_DL_th55_s5t15,412,41.2,0.2160,-172.81,1832.28,-1.105,N
B,B_DL_th55_s4t12,452,45.2,0.2035,-196.03,1960.25,-3.227,N
B,B_DL_th55_s3t9,497,49.7,0.1771,-228.81,2288.10,-2.498,N
B,B_DL_th60_s5t15,284,28.4,0.2289,-102.50,1250.54,-1.411,N
B,B_DL_th60_s4t12,325,32.5,0.2185,-125.02,1358.77,-3.295,N
B,B_DL_th60_s3t9,348,34.8,0.2011,-139.32,1445.66,-3.261,N
B,B_DL_th65_s5t15,190,19.0,0.2316,-66.64,810.97,-0.725,N
B,B_DL_th65_s4t12,203,20.3,0.2315,-69.09,746.51,-0.900,N
B,B_DL_th65_s3t9,216,21.6,0.2130,-79.98,850.06,-1.606,N
B,B_DLFLT_canon_ft50,226,22.6,0.3540,-52.85,567.57,-0.591,N
B,B_DLFLT_canon_ft55,195,19.5,0.3590,-45.04,578.46,-0.567,N
B,B_DLFLT_canon_ft60,191,19.1,0.3665,-34.40,516.89,-0.343,N
