rank,avenue,name,trades_per_day,wr,per_day_usd,per_trade_usd,max_dd_usd,sharpe,n_trades
1,C_COMPRESS,C_CMP_k3_f5_m15_s8t25,0.02,1.0000,0.59,31.44,0.00,0.000,1
2,C_COMPRESS,C_CMP_k3_f5_m15_s10t30,0.02,1.0000,0.59,31.44,0.00,0.000,1
3,C_COMPRESS,C_CMP_k3_f5_m15_s12t36,0.02,1.0000,0.59,31.44,0.00,0.000,1
4,C_COMPRESS,C_CMP_k3_f5_m15_s8t40,0.02,1.0000,0.59,31.44,0.00,0.000,1
5,C_COMPRESS,C_CMP_k3_f5_m20_s8t25,0.02,1.0000,0.59,31.44,0.00,0.000,1
6,C_COMPRESS,C_CMP_k3_f5_m20_s10t30,0.02,1.0000,0.59,31.44,0.00,0.000,1
7,C_COMPRESS,C_CMP_k3_f5_m20_s12t36,0.02,1.0000,0.59,31.44,0.00,0.000,1
8,C_COMPRESS,C_CMP_k3_f5_m20_s8t40,0.02,1.0000,0.59,31.44,0.00,0.000,1
9,G_SPREAD,G_SF_st5_tr30_s5t15,0.02,1.0000,0.53,28.09,0.00,0.000,1
10,G_SPREAD,G_SF_st5_tr20_s5t15,0.04,0.5000,0.29,7.59,12.91,0.262,2
11,G_SPREAD,G_SF_st5_tr50_s5t15,0.04,0.5000,0.29,7.59,12.91,0.262,2
12,C_COMPRESS,C_CMP_k5_f5_m15_s8t25,0.00,0.0000,0.00,0.00,0.00,0.000,0
13,C_COMPRESS,C_CMP_k5_f5_m15_s10t30,0.00,0.0000,0.00,0.00,0.00,0.000,0
14,C_COMPRESS,C_CMP_k5_f5_m15_s12t36,0.00,0.0000,0.00,0.00,0.00,0.000,0
15,C_COMPRESS,C_CMP_k5_f5_m15_s8t40,0.00,0.0000,0.00,0.00,0.00,0.000,0
16,C_COMPRESS,C_CMP_k5_f5_m20_s8t25,0.00,0.0000,0.00,0.00,0.00,0.000,0
17,C_COMPRESS,C_CMP_k5_f5_m20_s10t30,0.00,0.0000,0.00,0.00,0.00,0.000,0
18,C_COMPRESS,C_CMP_k5_f5_m20_s12t36,0.00,0.0000,0.00,0.00,0.00,0.000,0
19,C_COMPRESS,C_CMP_k5_f5_m20_s8t40,0.00,0.0000,0.00,0.00,0.00,0.000,0
20,C_COMPRESS,C_CMP_k8_f5_m15_s8t25,0.00,0.0000,0.00,0.00,0.00,0.000,0
21,C_COMPRESS,C_CMP_k8_f5_m15_s10t30,0.00,0.0000,0.00,0.00,0.00,0.000,0
22,C_COMPRESS,C_CMP_k8_f5_m15_s12t36,0.00,0.0000,0.00,0.00,0.00,0.000,0
23,C_COMPRESS,C_CMP_k8_f5_m15_s8t40,0.00,0.0000,0.00,0.00,0.00,0.000,0
24,C_COMPRESS,C_CMP_k8_f5_m20_s8t25,0.00,0.0000,0.00,0.00,0.00,0.000,0
25,C_COMPRESS,C_CMP_k8_f5_m20_s10t30,0.00,0.0000,0.00,0.00,0.00,0.000,0
26,C_COMPRESS,C_CMP_k8_f5_m20_s12t36,0.00,0.0000,0.00,0.00,0.00,0.000,0
27,C_COMPRESS,C_CMP_k8_f5_m20_s8t40,0.00,0.0000,0.00,0.00,0.00,0.000,0
28,G_SPREAD,G_SF_st10_tr20_s3t9,0.00,0.0000,0.00,0.00,0.00,0.000,0
29,G_SPREAD,G_SF_st10_tr20_s5t15,0.00,0.0000,0.00,0.00,0.00,0.000,0
30,G_SPREAD,G_SF_st10_tr30_s3t9,0.00,0.0000,0.00,0.00,0.00,0.000,0
31,G_SPREAD,G_SF_st10_tr30_s5t15,0.00,0.0000,0.00,0.00,0.00,0.000,0
32,G_SPREAD,G_SF_st10_tr50_s3t9,0.00,0.0000,0.00,0.00,0.00,0.000,0
33,G_SPREAD,G_SF_st10_tr50_s5t15,0.00,0.0000,0.00,0.00,0.00,0.000,0
34,G_SPREAD,G_SF_st5_tr20_s3t9,0.04,0.0000,-0.34,-8.91,17.82,0.000,2
35,G_SPREAD,G_SF_st5_tr50_s3t9,0.04,0.0000,-0.35,-9.15,18.29,-27.459,2
36,G_SPREAD,G_SF_st5_tr30_s3t9,0.04,0.0000,-0.36,-9.53,19.05,-10.944,2
37,F_TIMEWIN,F_TW_1330_INV_s3t12,3.57,0.2381,-5.92,-1.66,451.27,-0.254,189
38,F_TIMEWIN,F_TW_1330_INV_s3t9,3.53,0.2888,-6.23,-1.77,396.65,-0.312,187
39,F_TIMEWIN,F_TW_1330_INV_s2t6,3.72,0.3046,-6.77,-1.82,382.43,-0.482,197
40,F_TIMEWIN,F_TW_2000_INV_s3t9,3.34,0.2825,-6.97,-2.09,431.28,-0.349,177
41,F_TIMEWIN,F_TW_2000_INV_s2t6,3.55,0.2979,-7.15,-2.02,412.40,-0.511,188
42,F_TIMEWIN,F_TW_1700_INV_s5t15,5.25,0.2842,-7.86,-1.50,864.88,-0.192,278
43,F_TIMEWIN,F_TW_2000_INV_s3t12,3.28,0.2184,-8.31,-2.53,493.46,-0.389,174
44,F_TIMEWIN,F_TW_2000_INV_s5t15,2.79,0.2568,-8.94,-3.20,616.05,-0.333,148
45,B_STOPBRK,B_BRK_n10_sess1330_1600_s8t40,2.42,0.2109,-10.22,-4.23,648.61,-0.256,128
46,F_TIMEWIN,F_TW_2000_TRD_s5t15,2.53,0.2164,-12.15,-4.81,654.78,-0.499,134
47,F_TIMEWIN,F_TW_1330_INV_s5t15,3.55,0.2340,-12.38,-3.49,796.14,-0.359,188
48,B_STOPBRK,B_BRK_n10_sess1330_1600_s5t25,2.91,0.1494,-13.02,-4.48,793.48,-0.419,154
49,F_TIMEWIN,F_TW_1700_INV_s3t12,6.26,0.2229,-13.37,-2.13,811.62,-0.502,332
50,F_TIMEWIN,F_TW_1330_TRD_s5t15,3.66,0.2216,-14.66,-4.00,822.93,-0.495,194
51,F_TIMEWIN,F_TW_1700_INV_s2t6,6.79,0.2778,-15.47,-2.28,831.88,-1.044,360
52,F_TIMEWIN,F_TW_2000_TRD_s3t9,3.06,0.1481,-16.27,-5.32,881.58,-1.166,162
53,F_TIMEWIN,F_TW_1700_INV_s3t9,6.57,0.2529,-17.60,-2.68,946.93,-0.879,348
54,F_TIMEWIN,F_TW_1330_TRD_s3t12,3.81,0.1386,-18.07,-4.74,957.62,-0.952,202
55,F_TIMEWIN,F_TW_2000_TRD_s3t12,2.96,0.0955,-18.26,-6.17,971.94,-0.943,157
56,F_TIMEWIN,F_TW_2000_TRD_s2t6,3.49,0.0973,-18.83,-5.39,997.90,-1.562,185
57,F_TIMEWIN,F_TW_1330_TRD_s3t9,3.79,0.1493,-20.10,-5.30,1065.37,-1.134,201
58,F_TIMEWIN,F_TW_1700_TRD_s5t15,5.58,0.2331,-20.12,-3.60,1098.99,-0.677,296
59,F_TIMEWIN,F_TW_1330_TRD_s2t6,3.75,0.0905,-20.84,-5.55,1104.37,-1.709,199
60,F_TIMEWIN,F_TW_1700_TRD_s3t12,6.58,0.1576,-27.92,-4.24,1505.89,-1.160,349
61,F_TIMEWIN,F_TW_1700_TRD_s3t9,6.89,0.1863,-30.21,-4.39,1615.35,-1.300,365
62,F_TIMEWIN,F_TW_1700_TRD_s2t6,7.00,0.1348,-33.11,-4.73,1755.08,-1.802,371
63,B_STOPBRK,B_BRK_n10_sess1330_2000_s8t40,13.23,0.2268,-64.99,-4.91,3446.45,-0.561,701
64,B_STOPBRK,B_BRK_n10_sess1330_2000_s5t25,15.62,0.1534,-76.84,-4.92,4072.67,-0.808,828
65,A_MARKETABLE,A_MKT_INV_imp50_pp500_s5t24,102.21,0.2407,-163.99,-1.60,8802.66,-0.731,5417
66,A_MARKETABLE,A_MKT_INV_imp30_pp500_s5t24,120.85,0.2426,-195.38,-1.62,10575.88,-0.706,6405
67,A_MARKETABLE,A_MKT_INV_imp50_pp500_s8t24,92.38,0.3129,-218.53,-2.37,11622.12,-0.677,4896
68,A_MARKETABLE,A_MKT_INV_imp30_pp500_s8t24,104.83,0.3177,-224.03,-2.14,12011.53,-0.731,5556
69,A_MARKETABLE,A_MKT_INV_imp50_pp500_s5t15,108.15,0.2812,-224.40,-2.07,11981.74,-1.225,5732
70,A_MARKETABLE,A_MKT_INV_imp50_pp382_s8t24,116.04,0.3161,-235.88,-2.03,12568.14,-0.938,6150
71,A_MARKETABLE,A_MKT_INV_imp30_pp500_s5t15,128.70,0.2871,-241.16,-1.87,13058.29,-1.070,6821
72,BASELINE,BASELINE_CANON_INV_236_LIMIT,108.45,0.3655,-247.97,-2.29,13832.18,-0.746,5748
73,A_MARKETABLE,A_MKT_INV_imp50_pp382_s5t24,130.45,0.2332,-248.67,-1.91,13236.33,-0.969,6914
74,A_MARKETABLE,A_MKT_INV_imp50_pp500_s3t9,123.49,0.2816,-248.80,-2.01,13218.70,-1.610,6545
75,B_STOPBRK,B_BRK_n20_buf20_s8t40,47.72,0.2463,-254.09,-5.33,13467.01,-1.046,2529
76,A_MARKETABLE,A_MKT_INV_imp30_pp382_s8t24,125.06,0.3161,-259.88,-2.08,13803.17,-0.894,6628
77,E_ADAPT,E_AD_INV_imp50_pp382_s8t24_be5trn,136.04,0.1824,-262.56,-1.93,14054.95,-0.989,7210
78,B_STOPBRK,B_BRK_n20_buf10_s8t40,54.43,0.2575,-269.67,-4.95,14292.62,-0.953,2885
79,B_STOPBRK,B_BRK_n20_buf20_s8t24,50.02,0.2554,-282.28,-5.64,14960.69,-1.277,2651
80,E_ADAPT,E_AD_INV_imp50_pp382_s8t24_be3trn,146.21,0.1381,-282.72,-1.93,14984.16,-1.206,7749
81,E_ADAPT,E_AD_INV_imp50_pp382_s8t24_bentr8,155.26,0.3359,-285.19,-1.84,15166.60,-1.268,8229
82,A_MARKETABLE,A_MKT_INV_imp30_pp382_s5t24,146.42,0.2348,-287.62,-1.96,15380.32,-0.957,7760
83,BASELINE,BASELINE_CANON_INV_236_s10t20,139.87,0.3731,-291.47,-2.08,15562.82,-0.718,7413
84,B_STOPBRK,B_BRK_n20_buf10_s8t24,56.57,0.2685,-291.78,-5.16,15464.33,-1.119,2998
85,E_ADAPT,E_AD_INV_imp50_pp382_s8t24_be5tr8,157.58,0.3091,-295.81,-1.88,15704.31,-1.294,8352
86,A_MARKETABLE,A_MKT_INV_imp50_pp382_s5t15,141.70,0.2814,-297.89,-2.10,15876.69,-1.246,7510
87,E_ADAPT,E_AD_INV_imp50_pp382_s8t24_be3tr5,174.42,0.2891,-317.96,-1.82,16916.30,-1.547,9244
88,B_STOPBRK,B_BRK_n20_buf20_s5t25,58.62,0.1616,-319.33,-5.45,16924.26,-1.269,3107
89,A_MARKETABLE,A_MKT_INV_imp30_pp500_s3t9,154.72,0.2788,-321.76,-2.08,17168.13,-1.798,8200
