phase,name,n,tr_per_day,wr,per_day,per_trade,dd,sharpe,n_emit,n_filt
PHASE1_TRAIN,TR_CANON_236_s10t20,3273,125.88,0.3715,-344.22,-2.734,8968.95,-1.099,15381,0
PHASE1_TRAIN,TR_CANON_382_s10t20,2715,104.42,0.3779,-257.13,-2.462,6881.47,-0.906,15289,0
PHASE1_TRAIN,TR_CANON_500_s10t20,2208,84.92,0.3809,-219.53,-2.585,5776.28,-0.781,15170,0
PHASE1_TRAIN,TR_CANON_236_s8t16,3797,146.04,0.3624,-344.51,-2.359,9255.50,-1.056,15416,0
PHASE1_TRAIN,TR_CANON_236_s5t15,4508,173.38,0.2850,-377.26,-2.176,10059.79,-1.225,15472,0
PHASE1_TRAIN,TR_IMP3_236_s8t16,4077,156.81,0.3623,-383.58,-2.446,10039.96,-1.102,18861,0
PHASE1_TRAIN,TR_IMP4_382_s8t20,3031,116.58,0.3431,-251.49,-2.157,6702.21,-1.076,16975,0
PHASE1_TRAIN,TR_IMP3_118_s5t15,5397,207.58,0.2820,-469.73,-2.263,12403.06,-1.314,18772,0
PHASE3_BASELINE,BL_CANON_236_s10t20,2951,140.52,0.3616,-338.36,-2.408,7350.77,-0.770,14101,0
PHASE3_BASELINE,BL_CANON_236_s8t16,3399,161.86,0.3504,-411.32,-2.541,8714.43,-1.219,14151,0
PHASE3_BASELINE,BL_IMP3_118_s5t15,4803,228.71,0.2788,-436.27,-1.907,9246.21,-1.196,16272,0
PHASE3_BASELINE,BL_IMP3_236_s8t16,3582,170.57,0.3537,-401.89,-2.356,8518.53,-1.222,16327,0
PHASE3_GATED,G_MLP_t45_CANON_236_s10t20,2444,116.38,0.3658,-236.12,-2.029,5493.72,-0.548,11336,2908
PHASE3_GATED,G_MLP_t45_CANON_236_s8t16,2784,132.57,0.3520,-299.75,-2.261,6518.64,-0.864,11378,2908
PHASE3_GATED,G_MLP_t45_IMP3_118_s5t15,3847,183.19,0.2779,-341.83,-1.866,7184.72,-1.187,12762,3720
