pattern,grain,alpha,hold_min,side,sel_per_trade,sel_tr_wk,sel_usd_wk,blind_per_trade,blind_tr_wk,blind_usd_wk
SEQ_5421->5409_h60,1m-seq,S,60,-1,11.34,48.4,548.0,-2.45,82.4,-202.0
SEQ_5409->5409_h60,1m-seq,S,60,-1,7.22,74.8,540.0,-1.13,113.1,-128.0
SEQ_5697->5409_h60,1m-seq,S,60,-1,9.9,49.2,487.0,0.82,82.7,68.0
SEQ_12609->5409_h60,1m-seq,S,60,-1,9.77,41.6,406.0,-1.19,70.8,-84.0
SEQ_5709->5409_h60,1m-seq,S,60,-1,10.36,33.2,344.0,-6.53,60.0,-392.0
SEQ_12321->5409_h60,1m-seq,S,60,-1,5.73,54.0,309.0,3.78,89.6,339.0
SEQ_5409->5421_h60,1m-seq,S,60,-1,9.72,30.7,299.0,-10.35,48.5,-502.0
SEQ_5409->12321_h60,1m-seq,S,60,-1,5.21,54.9,286.0,-9.41,84.2,-792.0
SEQ_5409->5709_h60,1m-seq,S,60,-1,13.84,20.4,282.0,-10.23,32.6,-334.0
SEQ_5409->12609_h60,1m-seq,S,60,-1,8.96,30.7,275.0,-10.07,47.4,-477.0
SEQ_5697->5421_h60,1m-seq,S,60,-1,6.75,35.5,240.0,-14.05,56.0,-786.0
SEQ_12333->5709_h60,1m-seq,S,60,-1,15.86,14.2,225.0,-10.85,24.3,-263.0
SEQ_5697->5709_h60,1m-seq,S,60,-1,11.78,18.7,220.0,-11.18,30.9,-346.0
SEQ_5709->5709_h60,1m-seq,S,60,-1,8.96,24.4,219.0,-10.14,39.1,-397.0
SEQ_12321->5709_h60,1m-seq,S,60,-1,9.52,23.0,219.0,-10.94,36.8,-403.0
SEQ_12609->5709_h60,1m-seq,S,60,-1,9.25,23.6,218.0,-9.75,38.2,-373.0
SEQ_5421->5421_h60,1m-seq,S,60,-1,5.48,39.3,215.0,-12.78,61.0,-780.0
SEQ_5421->5697_h60,1m-seq,S,60,-1,6.21,34.3,213.0,-13.81,56.4,-779.0
SEQ_5709->12609_h60,1m-seq,S,60,-1,10.9,18.8,205.0,-14.28,32.2,-460.0
SEQ_12333->12609_h60,1m-seq,S,60,-1,8.98,22.5,202.0,-13.56,36.5,-495.0
SEQ_5709->5421_h60,1m-seq,S,60,-1,8.24,24.4,201.0,-18.85,42.1,-795.0
SEQ_12321->12609_h60,1m-seq,S,60,-1,5.59,35.5,198.0,-11.35,54.1,-615.0
SEQ_6623->13535_h60,1m-seq,S,60,1,8.82,22.2,196.0,-0.73,47.4,-35.0
SEQ_5421->5709_h60,1m-seq,S,60,-1,11.12,17.2,192.0,-11.82,28.9,-341.0
SEQ_12609->5421_h60,1m-seq,S,60,-1,7.06,27.1,191.0,-18.54,45.7,-848.0
SEQ_5409->5697_h60,1m-seq,S,60,-1,4.62,41.4,191.0,-11.45,65.6,-752.0
SEQ_12333->5409_h60,1m-seq,S,60,-1,5.54,33.6,186.0,-2.96,57.4,-170.0
SEQ_6623->13823_h60,1m-seq,S,60,1,6.56,27.7,182.0,7.03,58.8,414.0
SEQ_12333->5421_h60,1m-seq,S,60,-1,8.13,22.2,181.0,-19.72,37.7,-744.0
SEQ_5697->12609_h60,1m-seq,S,60,-1,6.37,28.2,180.0,-12.28,45.1,-554.0
SEQ_12321->5421_h60,1m-seq,S,60,-1,5.0,35.4,177.0,-12.74,56.5,-719.0
SEQ_12609->12609_h60,1m-seq,S,60,-1,4.59,38.3,175.0,-10.5,57.3,-601.0
SEQ_13523->13535_h60,1m-seq,S,60,1,9.31,18.7,174.0,-3.62,41.5,-150.0
SEQ_5471->5409_h60,1m-seq,S,60,-1,7.58,22.8,173.0,6.32,44.0,278.0
SEQ_5421->12333_h60,1m-seq,S,60,-1,8.0,20.8,167.0,-9.97,34.9,-348.0
SEQ_13523->13823_h60,1m-seq,S,60,1,7.27,23.0,167.0,1.67,50.8,85.0
SEQ_13523->13535_h30,1m-seq,S,30,1,8.44,18.7,158.0,-3.47,41.5,-144.0
