name,n,trades_per_day,wr,per_day,per_trade,tgt_rate,stop_rate,to_rate,max_dd,sharpe,n_days,pos_d,neg_d
G_EOS_1530_e15_n5_s15t30,99,3.30,0.4141,10.07,3.052,0.3232,0.5253,0.1515,358.29,0.141,24,12,12
G_EOS_1530_e10_n5_s15t30,118,3.93,0.4068,8.28,2.104,0.3051,0.5254,0.1695,491.07,0.108,24,12,12
G_EOS_1530_e15_n5_s12t25,111,3.70,0.3874,4.04,1.091,0.3243,0.5946,0.0811,375.26,0.075,24,13,11
B_NW_1330_t5_s8t30_fade,7,0.23,0.4286,3.35,14.376,0.4286,0.5714,0.0000,55.23,0.352,7,3,4
B_NW_1330_t5_s12t50_fade,7,0.23,0.2857,2.14,9.161,0.2857,0.7143,0.0000,105.64,0.151,7,2,5
G_EOS_1530_e10_n5_s12t25,131,4.37,0.3817,1.10,0.251,0.2977,0.6031,0.0992,427.60,0.016,24,11,13
F_SO_2200_cap5_t3_s8t24_follow,2,0.07,0.5000,0.92,13.840,0.5000,0.5000,0.0000,18.41,0.303,2,1,1
B_NW_1400_t5_s8t30_follow,11,0.37,0.2727,0.90,2.454,0.2727,0.7273,0.0000,73.64,0.069,11,3,8
H_OC_2000_c8_h1h_s15t40_follow,8,0.27,0.3750,0.83,3.125,0.2500,0.6250,0.1250,162.05,0.061,8,3,5
H_OC_2000_c8_h2h_s15t40_follow,8,0.27,0.3750,0.83,3.125,0.2500,0.6250,0.1250,162.05,0.061,8,3,5
H_OC_2000_c15_h1h_s15t40_follow,8,0.27,0.3750,0.83,3.125,0.2500,0.6250,0.1250,162.05,0.061,8,3,5
H_OC_2000_c15_h2h_s15t40_follow,8,0.27,0.3750,0.83,3.125,0.2500,0.6250,0.1250,162.05,0.061,8,3,5
H_OC_2000_c25_h1h_s15t40_follow,8,0.27,0.3750,0.83,3.125,0.2500,0.6250,0.1250,162.05,0.061,8,3,5
H_OC_2000_c25_h2h_s15t40_follow,8,0.27,0.3750,0.83,3.125,0.2500,0.6250,0.1250,162.05,0.061,8,3,5
D_LG_sp8_ss30_cp3_s5t20,6,0.20,0.5000,0.72,3.591,0.1667,0.5000,0.3333,24.82,0.172,6,3,3
D_LG_sp8_ss30_cp3_s3t12,6,0.20,0.5000,0.70,3.486,0.3333,0.5000,0.1667,16.82,0.233,6,3,3
F_SO_2200_cap5_t3_s6t18_follow,2,0.07,0.5000,0.66,9.840,0.5000,0.5000,0.0000,14.41,0.287,2,1,1
D_LG_sp5_ss20_cp3_s5t20,14,0.47,0.3571,0.28,0.598,0.1429,0.4286,0.4286,67.78,0.034,11,4,7
F_SO_1330_cap5_t3_s4t12_follow,0,0.00,0.0000,0.00,0.000,0.0000,0.0000,0.0000,0.00,0.000,0,0,0
F_SO_1330_cap5_t3_s4t12_fade,0,0.00,0.0000,0.00,0.000,0.0000,0.0000,0.0000,0.00,0.000,0,0,0
F_SO_1330_cap5_t3_s6t18_follow,0,0.00,0.0000,0.00,0.000,0.0000,0.0000,0.0000,0.00,0.000,0,0,0
F_SO_1330_cap5_t3_s6t18_fade,0,0.00,0.0000,0.00,0.000,0.0000,0.0000,0.0000,0.00,0.000,0,0,0
F_SO_1330_cap5_t3_s8t24_follow,0,0.00,0.0000,0.00,0.000,0.0000,0.0000,0.0000,0.00,0.000,0,0,0
F_SO_1330_cap5_t3_s8t24_fade,0,0.00,0.0000,0.00,0.000,0.0000,0.0000,0.0000,0.00,0.000,0,0,0
F_SO_1400_cap5_t3_s4t12_follow,0,0.00,0.0000,0.00,0.000,0.0000,0.0000,0.0000,0.00,0.000,0,0,0
F_SO_1400_cap5_t3_s4t12_fade,0,0.00,0.0000,0.00,0.000,0.0000,0.0000,0.0000,0.00,0.000,0,0,0
F_SO_1400_cap5_t3_s6t18_follow,0,0.00,0.0000,0.00,0.000,0.0000,0.0000,0.0000,0.00,0.000,0,0,0
F_SO_1400_cap5_t3_s6t18_fade,0,0.00,0.0000,0.00,0.000,0.0000,0.0000,0.0000,0.00,0.000,0,0,0
F_SO_1400_cap5_t3_s8t24_follow,0,0.00,0.0000,0.00,0.000,0.0000,0.0000,0.0000,0.00,0.000,0,0,0
F_SO_1400_cap5_t3_s8t24_fade,0,0.00,0.0000,0.00,0.000,0.0000,0.0000,0.0000,0.00,0.000,0,0,0
E_LF_n10_w5_t25_s3t9,0,0.00,0.0000,0.00,0.000,0.0000,0.0000,0.0000,0.00,0.000,0,0,0
E_LF_n10_w5_t25_s4t12,0,0.00,0.0000,0.00,0.000,0.0000,0.0000,0.0000,0.00,0.000,0,0,0
E_LF_n10_w5_t25_s5t15,0,0.00,0.0000,0.00,0.000,0.0000,0.0000,0.0000,0.00,0.000,0,0,0
E_LF_n20_w5_t25_s3t9,0,0.00,0.0000,0.00,0.000,0.0000,0.0000,0.0000,0.00,0.000,0,0,0
E_LF_n20_w5_t25_s4t12,0,0.00,0.0000,0.00,0.000,0.0000,0.0000,0.0000,0.00,0.000,0,0,0
E_LF_n20_w5_t25_s5t15,0,0.00,0.0000,0.00,0.000,0.0000,0.0000,0.0000,0.00,0.000,0,0,0
E_LF_n30_w5_t25_s3t9,0,0.00,0.0000,0.00,0.000,0.0000,0.0000,0.0000,0.00,0.000,0,0,0
E_LF_n30_w5_t25_s4t12,0,0.00,0.0000,0.00,0.000,0.0000,0.0000,0.0000,0.00,0.000,0,0,0
E_LF_n30_w5_t25_s5t15,0,0.00,0.0000,0.00,0.000,0.0000,0.0000,0.0000,0.00,0.000,0,0,0
B_NW_1330_t5_s12t50_follow,5,0.17,0.2000,-0.25,-1.510,0.2000,0.8000,0.0000,52.82,-0.027,5,1,4
D_LG_sp8_ss30_cp3_s2t8,6,0.20,0.3333,-0.32,-1.598,0.1667,0.6667,0.1667,17.27,-0.191,6,2,4
H_OC_2000_c8_h1h_s15t40_fade,8,0.27,0.3750,-0.45,-1.678,0.0000,0.5000,0.5000,78.31,-0.046,8,3,5
H_OC_2000_c8_h2h_s15t40_fade,8,0.27,0.3750,-0.45,-1.678,0.0000,0.5000,0.5000,78.31,-0.046,8,3,5
H_OC_2000_c15_h1h_s15t40_fade,8,0.27,0.3750,-0.45,-1.678,0.0000,0.5000,0.5000,78.31,-0.046,8,3,5
H_OC_2000_c15_h2h_s15t40_fade,8,0.27,0.3750,-0.45,-1.678,0.0000,0.5000,0.5000,78.31,-0.046,8,3,5
H_OC_2000_c25_h1h_s15t40_fade,8,0.27,0.3750,-0.45,-1.678,0.0000,0.5000,0.5000,78.31,-0.046,8,3,5
H_OC_2000_c25_h2h_s15t40_fade,8,0.27,0.3750,-0.45,-1.678,0.0000,0.5000,0.5000,78.31,-0.046,8,3,5
D_LG_sp8_ss20_cp3_s2t8,3,0.10,0.0000,-0.64,-6.410,0.0000,1.0000,0.0000,19.23,0.000,3,0,3
B_NW_1800_t5_s8t30_follow,13,0.43,0.3077,-0.69,-1.596,0.0769,0.5385,0.3846,98.98,-0.063,13,4,9
F_SO_2200_cap5_t3_s4t12_follow,2,0.07,0.0000,-0.69,-10.410,0.0000,1.0000,0.0000,20.82,0.000,2,0,2
F_SO_2200_cap5_t3_s4t12_fade,2,0.07,0.0000,-0.69,-10.410,0.0000,1.0000,0.0000,20.82,0.000,2,0,2
D_LG_sp8_ss20_cp3_s3t12,3,0.10,0.0000,-0.84,-8.410,0.0000,1.0000,0.0000,25.23,0.000,3,0,3
F_SO_2200_cap5_t3_s6t18_fade,2,0.07,0.0000,-0.96,-14.410,0.0000,1.0000,0.0000,28.82,0.000,2,0,2
F_SO_2200_cap5_t3_s8t24_fade,2,0.07,0.0000,-1.23,-18.410,0.0000,1.0000,0.0000,36.82,0.000,2,0,2
D_LG_sp8_ss20_cp3_s5t20,3,0.10,0.0000,-1.24,-12.410,0.0000,1.0000,0.0000,37.23,-5704215698425877.000,3,0,3
D_LG_sp5_ss30_cp3_s5t20,22,0.73,0.3636,-1.33,-1.816,0.0909,0.5455,0.3636,102.56,-0.128,18,7,11
B_NW_1800_t5_s12t50_follow,13,0.43,0.3077,-1.62,-3.746,0.0000,0.5385,0.4615,146.98,-0.109,13,4,9
B_NW_1800_t5_s8t30_fade,13,0.43,0.2308,-1.89,-4.372,0.1538,0.7692,0.0769,147.28,-0.151,13,3,10
D_LG_sp5_ss30_cp3_s2t8,22,0.73,0.1818,-1.97,-2.683,0.1818,0.8182,0.0000,74.38,-0.361,18,4,14
D_LG_sp5_ss30_cp3_s3t12,22,0.73,0.2273,-2.28,-3.114,0.1364,0.7727,0.0909,95.87,-0.314,18,5,13
D_LG_sp5_ss20_cp3_s2t8,14,0.47,0.0714,-2.31,-4.946,0.0714,0.9286,0.0000,76.92,-1.188,11,1,10
D_LG_sp5_ss20_cp3_s3t12,14,0.47,0.1429,-2.32,-4.964,0.0714,0.7857,0.1429,83.18,-0.722,11,2,9
