pattern,hold_min,side,sel_per_trade,sel_n,blind_per_trade,blind_n,sel_usd_wk,blind_usd_wk,sel_tr_wk,blind_tr_wk
F15I3_95299_h30,30,-1,7.48,973,-8.52,1400,89.0,-153.0,11.9,17.9
F15I4_4574369_h30,30,-1,15.17,362,-15.24,544,67.0,-106.0,4.4,7.0
M1B4_324851_h30,30,1,9.85,542,-2.14,990,65.0,-27.0,6.6,12.7
M1B4_330561_h60,60,-1,13.61,370,-1.35,624,61.0,-11.0,4.5,8.0
F15I4_2145859_h30,30,-1,10.68,463,-12.74,728,60.0,-119.0,5.6,9.3
M1B4_324575_h60,60,1,8.08,554,-4.73,929,55.0,-56.0,6.8,11.9
F15I4_5303711_h30,30,-1,9.77,424,3.72,646,51.0,31.0,5.2,8.3
F05I4_5253023_h15,15,-1,6.0,701,-4.32,1163,51.0,-64.0,8.5,14.9
F05I3_104829_h15,15,-1,4.08,1004,-7.88,1720,50.0,-174.0,12.2,22.1
F05I4_5307261_h15,15,-1,7.63,537,-7.63,884,50.0,-86.0,6.5,11.3
M1B3_11507_h60,60,1,8.96,449,-20.7,382,49.0,-101.0,5.5,4.9
F15V4_10979711_h30,30,-1,5.88,678,-8.18,1008,49.0,-106.0,8.3,12.9
M1B4_137025_h60,60,-1,5.63,709,-7.89,997,49.0,-101.0,8.6,12.8
F15I3_104829_h15,15,-1,6.45,624,-4.45,1137,49.0,-65.0,7.6,14.6
M1B3_3117_h60,60,1,10.13,386,-5.17,266,48.0,-18.0,4.7,3.4
M1B4_74817_h60,60,1,18.67,210,-21.27,157,48.0,-43.0,2.6,2.0
M1B3_13475_h60,60,-1,7.75,486,-4.34,655,46.0,-36.0,5.9,8.4
F15I4_4575523_h30,30,-1,10.49,357,-6.07,526,46.0,-41.0,4.4,6.7
M1B4_302637_h60,60,-1,7.02,537,-5.31,737,46.0,-50.0,6.5,9.4
F05I4_2432997_h15,15,-1,2.66,1395,-2.86,2129,45.0,-78.0,17.0,27.3
M1B3_13423_h60,60,1,10.52,351,-10.21,257,45.0,-34.0,4.3,3.3
F15I4_5087133_h30,30,-1,11.86,313,-6.11,550,45.0,-43.0,3.8,7.1
F05I3_109437_h15,15,-1,2.2,1638,-3.22,2586,44.0,-107.0,20.0,33.2
M1B3_13773_h60,60,-1,6.53,554,-8.94,856,44.0,-98.0,6.8,11.0
M1B4_324851_h15,15,1,5.6,628,-1.37,1138,43.0,-20.0,7.7,14.6
M1B4_165599_h30,30,1,4.76,747,-5.8,1277,43.0,-95.0,9.1,16.4
F15I4_4575425_h30,30,-1,13.05,269,-5.59,415,43.0,-30.0,3.3,5.3
M1B4_137037_h60,60,-1,9.34,366,-3.74,577,42.0,-28.0,4.5,7.4
F05I4_2373095_h15,15,-1,5.65,610,-5.24,930,42.0,-62.0,7.4,11.9
M1B3_5407_h60,60,-1,9.42,361,-1.65,256,41.0,-5.0,4.4,3.3
M1B4_331725_h60,60,-1,11.86,284,-0.92,473,41.0,-6.0,3.5,6.1
M1B3_11135_h60,60,1,4.78,691,0.77,445,40.0,4.0,8.4,5.7
M1B4_330561_h30,30,-1,7.74,409,0.16,722,39.0,1.0,5.0,9.3
M1B4_324851_h60,60,1,6.8,470,-3.62,795,39.0,-37.0,5.7,10.2
F15V4_26839721_h30,30,-1,3.7,865,-9.29,1266,39.0,-151.0,10.5,16.2
F15I3_44831_h30,30,-1,5.3,596,-5.38,801,39.0,-55.0,7.3,10.3
M1B3_13805_h60,60,1,12.16,262,-0.81,176,39.0,-2.0,3.2,2.3
F15I4_1920065_h30,30,-1,6.26,506,-5.72,678,39.0,-50.0,6.2,8.7
M1B3_5419_h60,60,1,9.12,339,5.43,235,38.0,16.0,4.1,3.0
F15I3_110583_h30,30,1,5.05,610,-4.84,408,38.0,-25.0,7.4,5.2
F05I4_4635425_h15,15,-1,5.76,538,-3.52,848,38.0,-38.0,6.6,10.9
F15I4_2649503_h15,15,-1,8.67,352,-7.04,590,37.0,-53.0,4.3,7.6
F15I3_40221_h30,30,-1,5.41,565,0.61,886,37.0,7.0,6.9,11.4
F15I4_2141275_h30,30,-1,6.63,449,0.85,627,36.0,7.0,5.5,8.0
F05I4_2432901_h15,15,-1,3.93,730,0.2,1344,35.0,3.0,8.9,17.2
F15I4_2145859_h15,15,-1,5.69,498,-8.68,800,35.0,-89.0,6.1,10.3
M1B4_274075_h60,60,-1,7.85,364,2.66,188,35.0,6.0,4.4,2.4
F15I4_1976611_h30,30,-1,8.22,352,-14.99,520,35.0,-100.0,4.3,6.7
M1B4_129839_h30,30,-1,6.25,455,-0.68,760,35.0,-7.0,5.5,9.7
F15I3_96545_h15,15,-1,2.26,1229,-10.0,1759,34.0,-226.0,15.0,22.6
F15I4_2201153_h30,30,-1,5.19,540,-10.63,735,34.0,-100.0,6.6,9.4
M1B4_331725_h30,30,-1,9.04,306,2.04,529,34.0,14.0,3.7,6.8
F15V4_26870789_h30,30,-1,3.77,739,-4.08,1067,34.0,-56.0,9.0,13.7
M1B4_129837_h30,30,-1,3.13,893,-10.45,1283,34.0,-172.0,10.9,16.4
F15I4_4575523_h15,15,-1,7.07,383,-5.68,567,33.0,-41.0,4.7,7.3
M1B4_129837_h60,60,-1,3.83,716,-5.02,993,33.0,-64.0,8.7,12.7
F15I4_5303709_h15,15,-1,8.32,326,-1.62,554,33.0,-12.0,4.0,7.1
M1B3_3618_h60,60,1,2.94,883,-2.91,1223,32.0,-46.0,10.8,15.7
F15I4_2201155_h30,30,1,7.26,366,6.56,554,32.0,47.0,4.5,7.1
F15I3_96569_h30,30,-1,8.28,318,5.18,483,32.0,32.0,3.9,6.2
M1B4_130163_h60,60,-1,16.47,161,-1.33,274,32.0,-5.0,2.0,3.5
F05I4_5082597_h15,15,-1,3.79,668,-4.34,1278,31.0,-71.0,8.1,16.4
F05I4_1981123_h15,15,-1,4.99,504,-12.65,877,31.0,-142.0,6.1,11.2
F15I4_4796707_h30,30,-1,4.29,597,-11.12,824,31.0,-117.0,7.3,10.6
F15I3_50565_h30,30,-1,3.28,778,-1.38,1344,31.0,-24.0,9.5,17.2
F15I3_96451_h30,30,-1,3.91,649,-0.98,980,31.0,-12.0,7.9,12.6
M1B4_136749_h60,60,-1,4.38,576,-12.92,824,31.0,-136.0,7.0,10.6
M1B3_5693_h60,60,1,6.53,376,-0.83,292,30.0,-3.0,4.6,3.7
M1B3_4808_h60,60,1,6.55,371,-0.44,1205,30.0,-7.0,4.5,15.4
M1B4_165873_h60,60,-1,8.69,287,6.93,491,30.0,44.0,3.5,6.3
F15I4_2373117_h30,30,1,7.93,315,-10.53,614,30.0,-83.0,3.8,7.9
F15V3_183131_h30,30,1,3.53,701,-7.49,509,30.0,-49.0,8.5,6.5
M1B4_158963_h60,60,1,6.35,389,-10.05,691,30.0,-89.0,4.7,8.9
M1B4_165599_h60,60,1,3.98,621,-6.54,991,30.0,-83.0,7.6,12.7
F15I4_2201155_h15,15,1,6.01,391,9.68,594,29.0,74.0,4.8,7.6
M1B4_165873_h30,30,-1,7.73,312,-2.48,529,29.0,-17.0,3.8,6.8
F05I3_109243_h15,15,1,3.55,667,-8.1,1005,29.0,-104.0,8.1,12.9
F15I3_44705_h30,30,-1,1.46,1643,-9.75,2186,29.0,-273.0,20.0,28.0
F05I4_1925825_h15,15,-1,4.54,526,-0.88,932,29.0,-11.0,6.4,11.9
M1B3_2416_h60,60,1,2.91,825,-5.44,1016,29.0,-71.0,10.1,13.0
M1B3_5092_h60,60,1,18.52,123,2.74,415,28.0,15.0,1.5,5.3
M1B3_6611_h60,60,1,4.96,462,8.78,742,28.0,84.0,5.6,9.5
F15I3_45883_h30,30,-1,3.54,657,-4.43,995,28.0,-57.0,8.0,12.8
M1B3_4820_h60,60,1,10.64,215,1.78,938,28.0,21.0,2.6,12.0
F15I4_1920089_h30,30,-1,7.24,318,5.39,458,28.0,32.0,3.9,5.9
M1B4_276479_h60,60,1,8.83,258,-7.26,211,28.0,-20.0,3.1,2.7
F05I4_5082525_h5,5,-1,4.47,522,-2.47,1071,28.0,-34.0,6.4,13.7
F15V4_24537989_h30,30,1,3.55,631,-10.59,381,27.0,-52.0,7.7,4.9
