pattern,side,sel_per_trade,sel_tr_wk,sel_usd_wk,blind_per_trade,blind_tr_wk,blind_usd_wk
VB1000_3_23327_hb30,1,32.75,2.1,68.0,10.17,8.6,87.0
VB1000_3_45989_hb30,1,36.89,1.3,46.0,-2.18,5.6,-12.0
VB1000_3_46007_hb30,1,23.75,1.8,44.0,0.82,7.9,6.0
VB1000_3_22679_hb30,1,28.62,1.4,40.0,5.47,6.8,37.0
VB1000_3_16644_hb30,1,28.75,1.3,38.0,5.07,6.6,34.0
VB1000_3_23327_hb10,1,11.39,2.9,33.0,-0.63,13.3,-8.0
VB1000_3_38639_hb30,1,12.61,2.5,32.0,13.13,2.0,26.0
VB1000_3_46637_hb30,1,19.15,1.6,30.0,2.27,6.8,16.0
VB1000_3_41990_hb30,1,11.0,2.6,28.0,3.52,9.6,34.0
VB1000_3_38879_hb30,1,17.1,1.4,25.0,-3.98,3.8,-15.0
VB1000_3_18680_hb30,1,13.32,1.7,23.0,3.38,7.0,24.0
VB1000_3_38009_hb30,1,7.33,3.1,23.0,-5.59,2.4,-13.0
VB1000_3_7998_hb10,-1,6.07,3.9,23.0,-4.78,2.6,-13.0
VB1000_3_46007_hb10,1,8.74,2.5,22.0,0.04,11.6,0.0
VB1000_3_46439_hb30,1,15.23,1.4,21.0,1.01,3.2,3.0
VB1000_4_695174_hb30,1,16.32,1.3,21.0,1.37,5.8,8.0
VB1000_3_7998_hb30,-1,5.58,3.5,19.0,-15.93,2.5,-39.0
VB1000_3_18791_hb10,1,13.18,1.3,18.0,-2.31,6.2,-14.0
VB1000_3_46637_hb10,1,8.33,2.1,18.0,0.09,9.7,1.0
VB1000_3_7782_hb30,-1,3.82,4.7,18.0,-28.01,1.3,-35.0
VB1000_3_19328_hb10,-1,10.22,1.7,17.0,4.9,7.5,37.0
VB1000_3_18662_hb30,1,8.52,2.0,17.0,1.36,8.2,11.0
VB1000_3_27993_hb30,1,1.86,9.1,17.0,-7.68,1.4,-11.0
VB1000_3_38879_hb10,1,10.5,1.7,17.0,-0.71,4.3,-3.0
VB1000_3_216_hb30,-1,3.13,5.5,17.0,-28.18,0.8,-22.0
VB1000_4_1656287_hb10,1,12.14,1.3,16.0,-5.27,6.8,-36.0
VB1000_3_8220_hb30,-1,11.82,1.3,16.0,-8.97,5.1,-45.0
