name,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
ONH_t19.75_h30_all,743,4.8,94.1,23.5,7530.0,1792.0,54.2
ONH_t19.75_h30_noFri,594,3.8,80.8,44.1,6462.0,3356.0,54.0
ONH_t19.75_h30_noMon,603,3.9,100.2,49.4,8020.0,3762.0,56.9
ONH_t19.75_h50_all,743,4.8,99.0,112.2,7917.0,8546.0,54.4
ONH_t19.75_h50_noFri,594,3.8,88.6,104.9,7087.0,7986.0,54.0
ONH_t19.75_h50_noMon,603,3.9,105.2,124.8,8417.0,9504.0,55.7
ONH_t19.75_h65_all,743,4.8,149.3,132.2,11946.0,10069.0,56.4
ONH_t19.75_h65_noFri,594,3.8,144.9,55.0,11592.0,4187.0,56.2
ONH_t19.75_h65_noMon,603,3.9,162.9,148.3,13036.0,11292.0,58.4
ONH_t19.75_h80_all,743,4.8,154.4,122.2,12348.0,9302.0,56.5
ONH_t19.75_h80_noFri,594,3.8,115.1,-42.6,9210.0,-3242.0,54.2
ONH_t19.75_h80_noMon,603,3.9,149.2,161.6,11940.0,12302.0,58.2
ONH_t20.0_h30_all,742,4.8,87.6,21.5,7010.0,1639.0,52.3
ONH_t20.0_h30_noFri,593,3.8,69.9,32.6,5590.0,2480.0,51.4
ONH_t20.0_h30_noMon,602,3.9,94.0,34.6,7518.0,2635.0,55.1
ONH_t20.0_h50_all,742,4.8,104.2,107.9,8335.0,8219.0,56.3
ONH_t20.0_h50_noFri,593,3.8,87.7,91.7,7019.0,6982.0,56.2
ONH_t20.0_h50_noMon,602,3.9,112.3,116.1,8984.0,8836.0,57.6
ONH_t20.0_h65_all,742,4.8,131.2,115.6,10500.0,8801.0,56.1
ONH_t20.0_h65_noFri,593,3.8,116.9,34.9,9349.0,2658.0,55.1
ONH_t20.0_h65_noMon,602,3.9,156.1,116.7,12488.0,8882.0,57.8
ONH_t20.0_h80_all,742,4.8,152.9,161.7,12230.0,12313.0,57.0
ONH_t20.0_h80_noFri,593,3.8,106.4,-26.1,8512.0,-1985.0,55.0
ONH_t20.0_h80_noMon,602,3.9,147.3,196.8,11782.0,14985.0,58.5
ONH_t20.25_h30_all,742,4.8,83.6,70.1,6691.0,5338.0,53.1
ONH_t20.25_h30_noFri,593,3.8,64.7,59.3,5177.0,4516.0,52.4
ONH_t20.25_h30_noMon,602,3.9,93.7,80.4,7496.0,6124.0,56.0
ONH_t20.25_h50_all,742,4.8,101.1,151.3,8086.0,11522.0,56.3
ONH_t20.25_h50_noFri,593,3.8,83.5,112.5,6678.0,8568.0,56.2
ONH_t20.25_h50_noMon,602,3.9,115.6,153.2,9248.0,11662.0,57.6
ONH_t20.25_h65_all,742,4.8,137.7,169.0,11015.0,12870.0,55.8
ONH_t20.25_h65_noFri,593,3.8,112.4,40.0,8993.0,3047.0,54.8
ONH_t20.25_h65_noMon,602,3.9,165.3,167.8,13224.0,12779.0,57.1
ONH_t20.25_h80_all,742,4.8,145.6,228.5,11644.0,17401.0,56.5
ONH_t20.25_h80_noFri,593,3.8,90.6,20.8,7246.0,1586.0,53.8
ONH_t20.25_h80_noMon,602,3.9,141.3,241.8,11306.0,18409.0,58.1
ONH_t20.5_h30_all,743,4.8,93.3,74.3,7466.0,5659.0,54.6
ONH_t20.5_h30_noFri,594,3.8,65.4,66.7,5234.0,5080.0,53.9
ONH_t20.5_h30_noMon,603,3.9,99.4,96.2,7952.0,7328.0,57.2
ONH_t20.5_h50_all,743,4.8,114.4,141.6,9152.0,10780.0,55.7
