W,M,sess,hold,sel_wk,sel_tr,bl_wk,bl_tr,bl_per,bl_worst,bl_pos
5,2.0,rth,15,13.0,113.8,533.0,108.0,4.93,-1743.0,50
5,2.0,rth,30,634.0,63.1,655.0,59.8,10.97,-538.0,50
5,2.0,rth,45,312.0,45.4,828.0,43.2,19.13,-1297.0,50
5,2.0,rth,60,108.0,34.7,1280.0,34.0,37.66,-753.0,75
5,2.0,skip30,15,-68.0,105.1,565.0,100.2,5.64,-1120.0,75
5,2.0,skip30,30,326.0,58.7,551.0,55.5,9.92,-1208.0,75
5,2.0,skip30,45,84.0,41.2,49.0,39.0,1.25,-1705.0,25
5,2.0,skip30,60,240.0,32.2,392.0,30.5,12.87,-1180.0,50
5,3.0,rth,15,418.0,97.3,-116.0,94.5,-1.22,-1923.0,25
5,3.0,rth,30,-151.0,57.1,396.0,55.5,7.14,-1090.0,50
5,3.0,rth,45,108.0,42.3,211.0,41.2,5.11,-711.0,50
5,3.0,rth,60,125.0,33.0,842.0,31.5,26.71,348.0,100
5,3.0,skip30,15,47.0,88.9,-171.0,87.0,-1.97,-1651.0,25
5,3.0,skip30,30,-326.0,52.7,179.0,51.0,3.52,-2024.0,50
5,3.0,skip30,45,-28.0,40.0,-296.0,37.8,-7.83,-1644.0,50
5,3.0,skip30,60,-179.0,31.3,-764.0,29.8,-25.69,-2362.0,0
5,4.0,rth,15,497.0,80.6,67.0,76.8,0.87,-2008.0,50
5,4.0,rth,30,124.0,51.3,800.0,50.2,15.92,-292.0,25
5,4.0,rth,45,-21.0,38.7,556.0,38.0,14.63,-202.0,50
5,4.0,rth,60,234.0,31.3,592.0,30.0,19.73,-492.0,50
5,4.0,skip30,15,306.0,73.3,192.0,69.8,2.75,-1104.0,50
5,4.0,skip30,30,160.0,47.3,330.0,46.2,7.12,-1208.0,50
5,4.0,skip30,45,-156.0,35.7,175.0,35.0,5.0,-775.0,50
5,4.0,skip30,60,27.0,28.4,-1455.0,27.8,-52.43,-2090.0,0
5,6.0,rth,15,25.0,48.6,703.0,45.8,15.36,-400.0,50
5,6.0,rth,30,-32.0,38.1,601.0,36.2,16.57,-490.0,50
5,6.0,rth,45,91.0,30.3,1237.0,29.5,41.94,28.0,100
5,6.0,rth,60,206.0,25.2,367.0,23.8,15.44,-525.0,25
5,6.0,skip30,15,-36.0,42.9,915.0,40.2,22.72,-434.0,50
5,6.0,skip30,30,-161.0,33.9,573.0,32.2,17.76,-848.0,50
5,6.0,skip30,45,-208.0,27.0,368.0,26.0,14.14,-545.0,75
5,6.0,skip30,60,-240.0,22.3,-902.0,20.5,-43.99,-1264.0,0
10,2.0,rth,15,79.0,120.9,140.0,113.5,1.24,-1676.0,25
10,2.0,rth,30,231.0,65.0,985.0,61.5,16.02,-411.0,50
10,2.0,rth,45,420.0,46.1,964.0,43.8,22.03,-1017.0,25
10,2.0,rth,60,157.0,36.4,638.0,34.8,18.35,-1157.0,50
10,2.0,skip30,15,-113.0,112.4,386.0,105.5,3.66,-1568.0,25
10,2.0,skip30,30,15.0,60.8,1107.0,57.5,19.25,-216.0,75
10,2.0,skip30,45,240.0,41.4,263.0,39.2,6.7,-866.0,25
10,2.0,skip30,60,463.0,32.2,44.0,30.5,1.43,-1566.0,75
10,3.0,rth,15,-118.0,111.4,148.0,105.2,1.41,-1476.0,25
10,3.0,rth,30,477.0,62.7,1367.0,59.0,23.17,-530.0,75
10,3.0,rth,45,416.0,44.7,1046.0,42.5,24.62,-1088.0,50
10,3.0,rth,60,15.0,34.3,235.0,32.5,7.23,-1610.0,50
10,3.0,skip30,15,-47.0,103.7,149.0,97.2,1.53,-1694.0,50
10,3.0,skip30,30,338.0,58.3,1189.0,55.0,21.61,-1520.0,50
10,3.0,skip30,45,-37.0,41.0,776.0,39.0,19.89,-552.0,75
10,3.0,skip30,60,-95.0,32.2,-108.0,30.5,-3.52,-1156.0,50
10,4.0,rth,15,71.0,98.3,-77.0,93.2,-0.82,-1616.0,25
10,4.0,rth,30,307.0,58.3,1255.0,55.5,22.61,-370.0,25
10,4.0,rth,45,199.0,41.9,975.0,41.2,23.63,-1158.0,75
10,4.0,rth,60,276.0,32.9,774.0,31.0,24.96,-450.0,75
10,4.0,skip30,15,-144.0,90.4,-137.0,85.2,-1.61,-2165.0,25
10,4.0,skip30,30,180.0,54.0,1191.0,51.2,23.25,-1424.0,50
10,4.0,skip30,45,-70.0,39.2,950.0,38.0,25.0,-948.0,75
10,4.0,skip30,60,-159.0,31.0,501.0,29.5,17.0,170.0,100
10,6.0,rth,15,380.0,70.6,434.0,68.2,6.36,-846.0,25
10,6.0,rth,30,301.0,48.2,1051.0,47.0,22.36,-226.0,50
10,6.0,rth,45,-53.0,36.9,1064.0,36.0,29.57,65.0,100
10,6.0,rth,60,306.0,30.3,853.0,29.8,28.66,-788.0,25
10,6.0,skip30,15,270.0,64.0,701.0,62.0,11.3,-332.0,25
10,6.0,skip30,30,150.0,44.1,1127.0,42.5,26.51,-957.0,75
10,6.0,skip30,45,-62.0,33.8,379.0,32.8,11.58,-1359.0,75
10,6.0,skip30,60,-79.0,27.7,-286.0,26.8,-10.69,-938.0,25
20,2.0,rth,15,-309.0,125.8,492.0,119.8,4.11,-1818.0,25
20,2.0,rth,30,260.0,67.4,373.0,64.5,5.78,-1050.0,25
20,2.0,rth,45,507.0,46.1,286.0,43.8,6.53,-1886.0,50
20,2.0,rth,60,476.0,36.7,90.0,35.0,2.57,-2111.0,50
20,2.0,skip30,15,-353.0,117.3,310.0,111.5,2.78,-1722.0,25
20,2.0,skip30,30,89.0,63.3,420.0,60.2,6.98,-822.0,25
20,2.0,skip30,45,171.0,41.4,1301.0,39.2,33.15,-770.0,75
20,2.0,skip30,60,401.0,32.2,1144.0,30.5,37.51,-512.0,75
20,3.0,rth,15,-131.0,120.7,292.0,114.5,2.55,-2580.0,25
20,3.0,rth,30,25.0,65.0,155.0,62.0,2.5,-830.0,25
20,3.0,rth,45,562.0,45.9,-149.0,43.8,-3.41,-1213.0,25
20,3.0,rth,60,377.0,35.9,-220.0,34.8,-6.34,-1541.0,25
20,3.0,skip30,15,-108.0,112.0,120.0,106.2,1.12,-2403.0,25
20,3.0,skip30,30,-58.0,60.8,408.0,57.8,7.07,-1078.0,50
20,3.0,skip30,45,375.0,41.4,258.0,39.2,6.57,-2061.0,50
20,3.0,skip30,60,370.0,32.2,789.0,30.5,25.88,-697.0,75
20,4.0,rth,15,49.0,113.3,842.0,106.8,7.88,-2424.0,50
20,4.0,rth,30,-92.0,62.4,-36.0,60.2,-0.6,-1322.0,25
20,4.0,rth,45,364.0,44.9,961.0,43.0,22.35,-852.0,75
20,4.0,rth,60,144.0,34.3,-486.0,32.5,-14.94,-1752.0,25
20,4.0,skip30,15,-118.0,105.6,847.0,99.2,8.54,-1810.0,50
20,4.0,skip30,30,-413.0,57.9,-140.0,56.2,-2.5,-1161.0,25
20,4.0,skip30,45,-15.0,41.1,344.0,39.0,8.83,-2101.0,50
20,4.0,skip30,60,136.0,32.0,591.0,30.5,19.39,-916.0,75
20,6.0,rth,15,153.0,95.8,-4.0,90.2,-0.04,-2328.0,50
20,6.0,rth,30,-36.0,56.3,429.0,53.8,7.98,-1072.0,50
20,6.0,rth,45,196.0,41.4,231.0,39.2,5.89,-1158.0,50
20,6.0,rth,60,252.0,32.8,101.0,31.0,3.26,-2290.0,50
20,6.0,skip30,15,-14.0,88.6,630.0,83.2,7.57,-1877.0,50
20,6.0,skip30,30,-230.0,52.2,425.0,50.2,8.46,-1434.0,50
20,6.0,skip30,45,137.0,38.3,607.0,36.2,16.74,-540.0,50
20,6.0,skip30,60,-98.0,30.1,368.0,29.0,12.71,-958.0,50
