name,sel_usd_wk,sel_tr_wk,bl_usd_wk,bl_tr_wk,bl_per,bl_worst,bl_pos,over_cap
B_TOD_top3x30m,538.0,23.4,-178.0,18.6,-9.57,-793.0,40,False
E_IMBF_m3.0_t30,477.0,62.7,1367.0,59.0,23.17,-530.0,75,False
E_IMBF_m6.0_t15,380.0,70.6,434.0,68.2,6.36,-846.0,25,False
D_ONH_15m,307.0,4.7,242.0,4.2,56.82,-1190.0,75,False
E_IMBF_m6.0_t30,301.0,48.2,1051.0,47.0,22.36,-226.0,50,False
D_RSI2_5m,215.0,19.2,-379.0,12.7,-29.91,-1646.0,33,False
C_GAPF_g15.0_t60,194.0,3.1,-6.0,3.8,-1.73,-303.0,75,False
C_GAPF_g5.0_t60,179.0,3.6,10.0,3.8,2.7,-303.0,75,False
D_CONSECC_15m,169.0,4.2,1040.0,4.0,260.0,532.0,100,False
A_SUBF_4m_m6.0_t10,165.0,33.8,-513.0,35.0,-14.65,-1500.0,25,False
A_SUBF_2m_m6.0_t10,132.0,15.2,229.0,12.8,17.93,-812.0,50,False
A_SUBF_10m_m16.0_t5,105.0,1.5,-115.0,1.5,-76.5,-246.0,50,False
D_NRB_5m,98.0,4.8,881.0,4.5,195.83,-52.0,50,False
A_SUBF_10m_m10.0_t10,90.0,14.7,-39.0,14.5,-2.69,-980.0,50,False
C_GAPF_g15.0_t30,77.0,3.1,-154.0,3.8,-41.07,-330.0,0,False
C_EUF_t30,76.0,19.1,-170.0,16.0,-10.64,-1106.0,20,False
C_GAPF_g5.0_t30,72.0,3.6,-146.0,3.8,-38.9,-330.0,0,False
A_SUBF_2m_m10.0_t5,70.0,3.0,-192.0,1.7,-115.4,-536.0,33,False
A_SUBF_2m_m10.0_t10,70.0,3.0,-177.0,1.3,-132.5,-382.0,33,False
A_SUBF_2m_m6.0_t5,65.0,15.7,98.0,14.5,6.76,-1563.0,75,False
A_SUBF_10m_m16.0_t10,64.0,1.3,-86.0,1.0,-86.5,-184.0,50,False
A_SUBF_2m_m10.0_t2,62.0,3.0,-132.0,2.0,-66.08,-349.0,33,False
D_BWEXP_3m,58.0,12.9,2253.0,11.8,191.72,1051.0,100,False
A_SUBF_10m_m16.0_t2,47.0,1.8,-118.0,3.0,-39.33,-133.0,0,False
A_SUBF_4m_m10.0_t5,47.0,4.4,-254.0,3.7,-69.23,-658.0,33,False
C_LUNCHR_t90,46.0,4.2,-18.0,3.8,-4.83,-562.0,25,False
D_DON_15m,45.0,2.7,-358.0,2.0,-179.1,-2632.0,40,False
A_SUBF_4m_m10.0_t2,45.0,5.8,-247.0,4.7,-53.0,-580.0,33,False
F_CHAMP_against_t15,43.0,78.9,-204.0,76.8,-2.66,-1924.0,50,False
C_EUR_t15,42.0,34.3,-30.0,29.2,-1.04,-578.0,40,False
A_SUBF_4m_m10.0_t10,36.0,4.4,32.0,3.3,9.45,-519.0,67,False
E_IMBF_m3.0_t5,8.0,247.9,-398.0,227.5,-1.75,-1172.0,25,False
E_IMBF_m6.0_t5,7.0,125.1,-414.0,120.5,-3.43,-678.0,0,False
A_SUBF_2m_m6.0_t2,4.0,17.0,-77.0,16.5,-4.65,-806.0,75,False
A_SUBF_10m_m10.0_t5,-13.0,17.2,-97.0,17.2,-5.64,-926.0,50,False
A_SUBF_4m_m6.0_t2,-17.0,49.4,-434.0,53.8,-8.08,-1214.0,25,False
C_LUNCHR_t60,-17.0,4.2,13.0,3.8,3.57,-366.0,25,False
A_SUBF_10m_m10.0_t2,-51.0,25.4,-246.0,26.5,-9.28,-1356.0,50,False
C_GAPR_g5.0_t30,-90.0,3.6,127.0,3.8,33.9,-16.0,75,False
C_GAPR_g15.0_t30,-93.0,3.1,135.0,3.8,36.07,-16.0,75,False
F_CHAMP_withanchor_t15,-97.0,65.8,783.0,61.8,12.68,-116.0,75,False
A_SUBF_4m_m6.0_t5,-106.0,37.4,-336.0,41.0,-8.19,-1691.0,50,False
E_IMBF_m3.0_t15,-118.0,111.4,148.0,105.2,1.41,-1476.0,25,False
C_CLOSEDRV_t80,-160.0,4.6,114.0,4.2,26.79,-146.0,50,False
C_EUR_t30,-172.0,19.1,90.0,16.0,5.64,-684.0,60,False
C_GAPR_g5.0_t60,-197.0,3.6,-29.0,3.8,-7.7,-248.0,25,False
C_GAPR_g15.0_t60,-209.0,3.1,-12.0,3.8,-3.27,-248.0,25,False
C_EUF_t15,-214.0,34.3,-116.0,29.2,-3.96,-624.0,40,False
A_SUBF_10m_m6.0_t2,-285.0,184.3,-234.0,190.2,-1.23,-1250.0,50,False
A_SUBF_10m_m6.0_t5,-324.0,112.3,-116.0,114.2,-1.02,-746.0,25,False
A_SUBF_10m_m6.0_t10,-336.0,78.3,350.0,79.0,4.43,-1176.0,75,False
E_IMBR_m3.0_t15,-440.0,111.4,-675.0,105.2,-6.41,-4091.0,50,False
E_IMBR_m6.0_t30,-542.0,48.2,-1286.0,47.0,-27.36,-4622.0,25,False
E_IMBR_m6.0_t5,-633.0,125.1,-189.0,120.5,-1.57,-748.0,25,False
E_IMBR_m6.0_t15,-732.0,70.6,-775.0,68.2,-11.36,-4041.0,75,False
E_IMBR_m3.0_t30,-791.0,62.7,-1662.0,59.0,-28.17,-5697.0,25,False
E_IMBR_m3.0_t5,-1247.0,247.9,-739.0,227.5,-3.25,-1593.0,25,False
