name,sel_usd_wk,sel_tr_wk,bl_usd_wk,bl_tr_wk,bl_per,bl_worst,bl_pos
B_IMBFsz_t30,1223.0,62.7,2248.0,59.0,38.11,44.0,100
B_IMBFsz_t45,955.0,44.7,2160.0,42.5,50.83,-1334.0,75
B_IMBFsz_flip_max120,415.0,113.7,-1118.0,108.2,-10.33,-2593.0,25
C_BLOCK_m4.0_t60,344.0,31.6,-159.0,30.0,-5.29,-1040.0,50
H_IGNITE_t60,247.0,10.1,398.0,6.8,58.98,-228.0,50
C_BLOCK_m2.0_t60,170.0,31.9,-1.0,30.5,-0.04,-2070.0,50
H_IGNITE_t30,165.0,10.7,502.0,7.0,71.71,-76.0,75
A_IMBFev_flip_min5_max60,131.0,114.0,-114.0,109.0,-1.05,-1003.0,50
A_IMBFev_flip_min5_max120,129.0,113.7,-125.0,108.2,-1.15,-1027.0,50
F_VWAPfade_t15,97.0,97.9,-664.0,100.8,-6.59,-1732.0,25
F_VWAPfade_t60,97.0,31.6,-677.0,30.8,-22.0,-2158.0,25
G_SPEED_t30,67.0,13.6,514.0,10.0,51.4,212.0,100
H_IGNITE_t15,62.0,11.0,239.0,7.0,34.2,-186.0,25
A_IMBFev_decay_min5_max120,58.0,125.8,-147.0,116.2,-1.27,-1065.0,50
A_IMBFev_decay_min5_max60,58.0,125.8,-143.0,116.5,-1.23,-1065.0,50
C_BLOCK_m2.0_flip,-15.0,79.8,-63.0,85.2,-0.73,-2848.0,50
G_SPEED_t15,-29.0,13.7,175.0,10.0,17.52,-164.0,50
E_STOPRUN_t30,-40.0,9.6,-3.0,14.0,-0.19,-499.0,50
G_SPEEDR_t15,-40.0,13.7,-225.0,10.0,-22.52,-812.0,50
H_IGNITE_flip,-44.0,11.1,-14.0,7.2,-1.98,-644.0,50
G_SPEED_t5,-52.0,14.4,-62.0,10.2,-6.0,-334.0,25
C_BLOCK_m4.0_t30,-61.0,54.2,1075.0,51.8,20.77,-665.0,75
F_VWAPfade_t30,-75.0,55.0,-1307.0,55.5,-23.55,-1936.0,0
E_STOPRUN_t120,-78.0,6.2,-615.0,8.0,-76.88,-1465.0,25
E_STOPRUN_t60,-102.0,7.7,-282.0,10.2,-27.5,-1456.0,25
G_SPEEDR_t30,-135.0,13.6,-564.0,10.0,-56.4,-957.0,0
A_IMBFev_flip_min10_max240,-135.0,101.7,340.0,98.8,3.44,-933.0,50
A_IMBFev_decay_min10_max240,-161.0,109.9,430.0,105.5,4.08,-734.0,50
C_BLOCK_m2.0_t15,-177.0,94.9,214.0,92.2,2.31,-710.0,50
F_VWAPbreak_t30,-200.0,55.0,1030.0,55.5,18.55,660.0,100
C_BLOCK_m2.0_t30,-207.0,55.9,662.0,53.2,12.42,-665.0,75
C_BLOCK_m4.0_flip,-208.0,73.1,4.0,75.8,0.05,-2910.0,50
C_BLOCK_m4.0_t15,-254.0,89.6,1208.0,85.2,14.17,-710.0,75
F_VWAPbreak_t60,-254.0,31.6,523.0,30.8,17.0,-1226.0,75
I_FADEev_min5_max90,-256.0,126.8,-96.0,122.8,-0.79,-702.0,25
I_FADEev_min5_max45,-260.0,127.1,-128.0,123.2,-1.04,-816.0,25
I_FADEev_min3_max30,-388.0,133.3,-132.0,129.2,-1.02,-1334.0,50
D_ABSORB_t15,-400.0,79.4,-1468.0,74.0,-19.83,-4717.0,50
D_ABSORB_t30,-443.0,49.8,-925.0,45.5,-20.34,-3006.0,25
F_VWAPbreak_t15,-586.0,97.9,160.0,100.8,1.59,-2175.0,75
D_ABSORB_t60,-588.0,29.4,-909.0,27.5,-33.05,-3136.0,50
