name,sel_usd_wk,sel_tr_wk,bl_usd_wk,bl_tr_wk,bl_per,bl_worst,bl_pos
A_ACCEL_t15,530.0,111.2,-723.0,104.8,-6.91,-2769.0,50
B_FLOWMID_t30,452.0,62.6,1376.0,58.8,23.42,-526.0,75
H_AUCTF_t240,452.0,3.3,1366.0,3.2,420.27,1078.0,100
H_DRIVEF_t240,386.0,4.6,194.0,4.5,43.03,-626.0,50
H_AUCTF_t120,379.0,3.3,1283.0,3.2,394.77,731.0,100
J_KILLZ6_t45,234.0,27.3,42.0,25.2,1.66,-1806.0,50
A_DIVERGE_t60,195.0,26.8,1042.0,25.8,40.48,-478.0,50
H_AUCTF_t60,153.0,3.3,594.0,3.2,182.73,167.0,100
G_ALIGNR_t15,142.0,86.9,-0.0,83.5,-0.01,-1768.0,75
A_DIVERGE_t15,136.0,57.4,-9.0,55.8,-0.17,-1188.0,50
H_DRIVEF_t60,134.0,4.6,-445.0,4.5,-98.81,-1000.0,25
G_ALIGNR_t30,107.0,55.3,-287.0,52.2,-5.5,-2038.0,50
F_COMPBO_w120_t60,81.0,1.0,-227.0,1.7,-136.2,-372.0,0
D_RUNF_R15_t15,80.0,49.4,520.0,58.5,8.9,-97.0,75
J_KILLZ6_t30,65.0,27.7,270.0,26.2,10.3,-1364.0,50
F_COMPBO_w120_t30,55.0,1.0,-154.0,1.7,-92.1,-236.0,0
D_RUNF_R40_t15,50.0,7.1,74.0,10.8,6.84,-460.0,75
A_DIVERGE_t30,48.0,40.2,284.0,39.0,7.27,-934.0,50
B_FLOWEXT_t60,44.0,3.7,4.0,3.2,1.15,-516.0,75
F_COMPBO_w120_t120,21.0,1.0,-430.0,1.7,-257.7,-606.0,0
B_FLOWMID_t15,15.0,111.2,329.0,105.0,3.13,-1446.0,50
B_FLOWEXT_t30,9.0,5.2,-31.0,3.2,-9.42,-162.0,50
C_VACR_t15,0.0,0.0,-19.0,2.0,-9.5,-19.0,0
C_VACF_t30,0.0,0.0,18.0,2.0,9.25,18.0,100
C_VACF_t15,0.0,0.0,9.0,2.0,4.5,9.0,100
C_VACR_t30,0.0,0.0,-28.0,2.0,-14.25,-28.0,0
C_VACF_t5,0.0,0.0,22.0,2.0,10.75,22.0,100
D_RUNR_R40_t5,-1.0,8.0,3.0,12.2,0.28,-414.0,75
D_RUNR_R25_t5,-3.0,23.7,333.0,39.0,8.54,-752.0,25
I_ONBREAK_t120,-8.0,2.0,-79.0,1.0,-79.0,-79.0,0
D_RUNF_R25_t15,-22.0,19.8,497.0,26.8,18.58,-306.0,75
B_FLOWEXT_t15,-39.0,5.0,102.0,3.2,31.46,6.0,100
D_RUNF_R40_t5,-39.0,8.0,-65.0,12.2,-5.28,-496.0,25
I_ONBREAK_t240,-54.0,2.0,0.0,0.0,0.0,0.0,0
D_RUNR_R25_t15,-77.0,19.8,-631.0,26.8,-23.58,-1199.0,25
E_JUMPR_j1.0_t5,-84.0,381.2,-109.0,363.5,-0.3,-1662.0,25
D_RUNR_R40_t15,-86.0,7.1,-127.0,10.8,-11.84,-590.0,25
F_COMPBO_w240_t30,-96.0,2.0,-32.0,2.0,-15.75,-32.0,0
E_JUMPF_j1.0_t15,-112.0,128.9,771.0,122.0,6.32,-1487.0,50
D_RUNF_R25_t5,-115.0,23.7,-528.0,39.0,-13.54,-2931.0,50
I_ONBREAK_t60,-120.0,2.0,-59.0,1.0,-59.0,-59.0,0
D_RUNF_R40_t2,-123.0,8.3,-335.0,13.8,-24.34,-1317.0,50
F_COMPBO_w240_t60,-130.0,1.0,-102.0,2.0,-51.25,-102.0,0
A_ACCEL_t30,-136.0,62.6,-687.0,59.2,-11.6,-2371.0,25
F_COMPBO_w240_t120,-146.0,1.0,-136.0,2.0,-68.0,-136.0,0
D_RUNF_R15_t5,-158.0,75.1,-589.0,102.2,-5.76,-800.0,0
D_RUNF_R25_t2,-172.0,26.8,-330.0,48.5,-6.81,-1570.0,75
D_RUNR_R15_t5,-217.0,75.1,78.0,102.2,0.76,-844.0,75
E_JUMPF_j2.0_t15,-246.0,115.0,934.0,116.8,8.0,136.0,100
G_ALIGNF_t60,-281.0,31.9,624.0,30.8,20.28,-3290.0,75
D_RUNF_R15_t2,-282.0,94.8,-455.0,150.0,-3.03,-538.0,0
D_RUNR_R15_t15,-327.0,49.4,-813.0,58.5,-13.9,-1554.0,0
E_JUMPR_j2.0_t15,-329.0,115.0,-1518.0,116.8,-13.0,-2369.0,0
G_ALIGNF_t30,-383.0,55.3,26.0,52.2,0.5,-1411.0,50
E_JUMPR_j2.0_t5,-526.0,291.6,-1917.0,319.0,-6.01,-2734.0,0
E_JUMPR_j1.0_t15,-532.0,128.9,-1381.0,122.0,-11.32,-3676.0,25
G_ALIGNF_t15,-576.0,86.9,-417.0,83.5,-4.99,-1736.0,25
E_JUMPF_j2.0_t5,-932.0,291.6,322.0,319.0,1.01,-550.0,75
E_JUMPF_j1.0_t2,-1709.0,924.4,-3262.0,891.0,-3.66,-6624.0,0
E_JUMPF_j2.0_t2,-1738.0,577.3,35.0,704.8,0.05,-1122.0,50
E_JUMPF_j1.0_t5,-1822.0,381.2,-1708.0,363.5,-4.7,-4734.0,0
