name,sel_usd_wk,sel_tr_wk,bl_usd_wk,bl_tr_wk,bl_per,bl_worst,bl_pos,mar_usd_wk,mar_worst,mar_pos,over_cap
E_PYR_cap3_t30,1272.0,187.4,3707.0,178.5,20.77,-2684.0,50,1466.0,-6844.0,65,False
E_PYR_cap3_t15,1268.0,331.2,1755.0,312.2,5.62,-9320.0,25,666.0,-9320.0,53,False
E_PYR_cap2_t15,1208.0,227.3,1417.0,215.0,6.59,-5241.0,25,667.0,-5678.0,53,False
E_PYR_cap2_t30,876.0,126.8,1733.0,120.5,14.38,-1568.0,50,950.0,-4272.0,59,False
B_FADESZ_a1.2_2/3x_t15,774.0,108.4,1635.0,103.0,15.88,584.0,100,1151.0,-212.0,94,False
B_FADESZ_a1.2_2.5/4x_t15,661.0,108.4,1046.0,103.0,10.16,-322.0,75,936.0,-322.0,94,False
A_FLOWHF_W10_M2.0_t15,568.0,120.9,985.0,113.5,8.68,-3084.0,25,467.0,-3084.0,41,False
B_FADESZ_a1.5_2/3x_t15,499.0,101.1,1756.0,95.0,18.48,-140.0,75,888.0,-2402.0,82,False
A_FLOWHF_W5_M3.0_t15,426.0,97.3,-225.0,94.5,-2.38,-2331.0,25,78.0,-3115.0,59,False
B_FADESZ_a1.5_2.5/4x_t15,364.0,101.1,1293.0,95.0,13.61,-202.0,75,694.0,-1848.0,76,False
D_DIVSZ_t60,363.0,26.8,1899.0,25.8,73.75,-1110.0,50,313.0,-4757.0,53,False
A_FLOWHF_W10_M3.0_t20,358.0,88.3,1545.0,82.8,18.67,-4379.0,50,571.0,-4379.0,47,False
A_FLOWHF_W10_M2.0_t10,285.0,169.6,290.0,160.8,1.8,-1142.0,50,-68.0,-2189.0,53,False
D_DIVSZ_t15,266.0,57.4,-308.0,55.8,-5.52,-2819.0,50,-77.0,-2819.0,47,False
D_DIVSZ_t30,241.0,40.2,214.0,39.0,5.48,-1458.0,25,-13.0,-1468.0,29,False
A_FLOWHF_W5_M2.0_t10,166.0,154.3,-262.0,148.2,-1.77,-2610.0,25,34.0,-3778.0,41,False
A_FLOWHF_W5_M3.0_t10,155.0,126.1,416.0,123.8,3.36,-1813.0,50,160.0,-1813.0,47,False
C_RUNF_R15_t15,80.0,49.4,520.0,58.5,8.9,-97.0,75,174.0,-1693.0,65,False
C_RUNSZ_R15_t15,80.0,49.4,520.0,58.5,8.9,-97.0,75,174.0,-1693.0,65,False
A_FLOWHF_W10_M3.0_t10,54.0,151.0,-830.0,140.8,-5.9,-1623.0,0,-462.0,-3944.0,41,False
A_FLOWHF_W5_M2.0_t15,45.0,113.8,730.0,108.0,6.76,-1215.0,50,167.0,-1985.0,59,False
A_FLOWHF_W5_M3.0_t20,28.0,78.2,742.0,76.5,9.7,-1300.0,25,178.0,-2737.0,53,False
A_FLOWHF_W10_M3.0_t15,-11.0,111.4,1795.0,105.2,17.06,-2650.0,75,276.0,-3095.0,53,False
C_RUNF_R10_t5,-36.0,148.1,-927.0,185.5,-5.0,-1554.0,0,-334.0,-1554.0,29,False
C_RUNSZ_R10_t5,-36.0,148.1,-927.0,185.5,-5.0,-1554.0,0,-336.0,-1554.0,29,False
C_RUNSZ_R10_t15,-119.0,80.6,-696.0,84.8,-8.21,-1640.0,0,0.0,-1996.0,53,False
C_RUNF_R10_t15,-119.0,80.6,-696.0,84.8,-8.21,-1640.0,0,0.0,-1996.0,53,False
C_RUNF_R15_t10,-134.0,58.0,-14.0,72.0,-0.19,-266.0,25,55.0,-1018.0,47,False
C_RUNSZ_R15_t5,-158.0,75.1,-589.0,102.2,-5.76,-800.0,0,-210.0,-1025.0,35,False
C_RUNF_R15_t5,-158.0,75.1,-589.0,102.2,-5.76,-800.0,0,-210.0,-1025.0,35,False
A_FLOWHF_W10_M2.0_t20,-189.0,94.2,280.0,90.2,3.11,-3566.0,50,139.0,-3566.0,53,False
B_FADESZ_a1.5_2.5/4x_t10,-258.0,135.8,-84.0,133.0,-0.63,-1259.0,25,-230.0,-2224.0,29,False
C_RUNF_R10_t10,-275.0,102.1,-264.0,115.8,-2.28,-1512.0,50,-51.0,-2252.0,53,False
A_FLOWHF_W5_M2.0_t20,-311.0,88.7,428.0,85.5,5.0,-861.0,25,-58.0,-1152.0,29,False
B_FADESZ_a1.2_2.5/4x_t10,-319.0,149.1,-1038.0,144.8,-7.17,-3076.0,25,-384.0,-3076.0,29,False
B_FADESZ_a1.5_2/3x_t10,-344.0,135.8,-146.0,133.0,-1.1,-1987.0,50,-326.0,-2374.0,35,False
B_FADESZ_a1.2_2/3x_t10,-444.0,149.1,-832.0,144.8,-5.74,-3335.0,50,-354.0,-3335.0,41,False
