name,sel_usd_wk,sel_tr_wk,bl_usd_wk,bl_tr_wk,bl_per,bl_worst,mar_usd_wk,mar_worst,mar_pos,fill%
C_CONF_a1.0_t30,556.0,53.9,555.0,52.2,10.63,-1620.0,541.0,-1620.0,65,
D_ECHO_t30,454.0,50.8,8.0,48.8,0.17,-1947.0,302.0,-1947.0,71,
C_CONF_a1.2_t30,442.0,52.4,-33.0,50.5,-0.66,-1634.0,388.0,-1634.0,71,
A_PFADE_off2.0_cxl5_t15,368.0,104.9,1322.0,101.0,13.09,106.0,676.0,-699.0,82,88
A_PFADE_off1.0_cxl3_t15,357.0,107.0,1328.0,101.2,13.11,-264.0,727.0,-342.0,76,91
A_PFADE_off1.0_cxl5_t15,306.0,107.0,1342.0,101.5,13.22,-168.0,634.0,-568.0,65,93
A_PFADE_off2.0_cxl3_t15,277.0,104.2,1544.0,100.5,15.36,-88.0,670.0,-979.0,71,85
D_ECHO_t15,239.0,82.9,-193.0,78.2,-2.47,-1361.0,225.0,-1361.0,59,
C_CONF_a1.2_t15,223.0,87.8,94.0,84.2,1.12,-1524.0,285.0,-2270.0,71,
F_ADAPT90_t15,219.0,35.4,1496.0,63.2,23.65,360.0,514.0,-760.0,71,
A_PFADE_off4.0_cxl5_t15,187.0,99.3,1283.0,96.5,13.3,-966.0,681.0,-966.0,65,76
E_WICK_t15,161.0,9.0,104.0,4.2,24.56,-14.0,71.0,-466.0,59,
E_WICK_t30,147.0,8.4,270.0,4.2,63.41,62.0,127.0,-412.0,71,
A_PFADE_off4.0_cxl3_t15,84.0,98.4,1545.0,95.5,16.18,-128.0,671.0,-1206.0,65,70
C_CONF_a1.0_t15,57.0,91.8,-342.0,88.0,-3.89,-1722.0,120.0,-2482.0,71,
E_WICK_t5,26.0,9.3,-12.0,4.5,-2.61,-56.0,8.0,-258.0,53,
F_ADAPT90_t30,13.0,25.0,301.0,38.5,7.81,-2238.0,218.0,-2238.0,59,
B_PFADETX_off1.0_tgt8.0_t30,-157.0,186.1,-407.0,237.8,-1.71,-1192.0,-179.0,-1466.0,53,95
B_PFADETX_off2.0_tgt8.0_t30,-221.0,178.3,-288.0,239.2,-1.2,-926.0,-141.0,-956.0,47,91
B_PFADETX_off1.0_tgt8.0,-322.0,232.8,-876.0,282.8,-3.1,-1586.0,-451.0,-1586.0,24,94
B_PFADETX_off2.0_tgt8.0,-355.0,220.6,-856.0,277.0,-3.09,-1840.0,-426.0,-1840.0,24,90
B_PFADETX_off1.0_tgt4.0_t30,-534.0,271.7,-1078.0,344.5,-3.13,-2091.0,-636.0,-2091.0,12,95
B_PFADETX_off2.0_tgt4.0_t30,-558.0,263.4,-893.0,333.5,-2.68,-2193.0,-565.0,-2193.0,29,90
B_PFADETX_off2.0_tgt4.0,-592.0,308.2,-1099.0,374.5,-2.94,-2748.0,-711.0,-2748.0,18,90
B_PFADETX_off1.0_tgt4.0,-650.0,321.4,-1093.0,387.8,-2.82,-2363.0,-735.0,-2363.0,18,94
