name,trades,wr,pnl,per_day,per_trade,trades_per_day,n_days,max_dd,worst_day,best_day,sharpe,tstat_signal
WEEKOPEN_LONG_HOLD5d,82,0.6585365853658537,32319.393999999997,394.13895121951214,394.13895121951214,1.0,82,-8376.083999999995,-5253.129999999999,4836.2159999999985,0.2719788527118878,
HOLD_24H_22UTC_LONG,408,0.6102941176470589,31597.05000000002,83.59007936507942,77.44375000000005,1.0793650793650793,378,-8340.536000000006,-2654.506000000003,4326.116,0.13254796888413511,
WEEKOPEN_LONG_HOLD2d,82,0.7195121951219512,23246.410000000018,283.492804878049,283.492804878049,1.0,82,-2311.069999999978,-1495.8039999999985,2182.5200000000023,0.44989090276983174,
HTF_60m_BR10_S100_T200,2708,0.48005908419497784,22023.409999999985,33.419438543247324,8.132721565731162,4.109256449165402,659,-9991.398000000288,-1063.3619999999987,2703.8639999999978,0.06310647677710496,
HOLD_16H_22UTC_LONG,408,0.5637254901960784,20809.612000000045,51.00395098039227,51.00395098039227,1.0,408,-2892.5299999999897,-1228.74,1371.1040000000046,0.1385044944932208,
HOLD_SESSION_22to14_LONG,407,0.5503685503685504,19397.7340000001,47.66028009828034,47.66028009828034,1.0,407,-2650.3859999999786,-1228.74,1371.1040000000046,0.12976912610552668,
HTF_60m_BR20_S100_T200,1818,0.49064906490649063,18191.548000000003,30.885480475382007,10.006352035203522,3.0865874363327674,589,-11939.372000001063,-881.8479999999938,2703.8639999999978,0.06804803870317343,
HTF_30m_MOMx2_LONG_S75_T150,13926,0.46423955191727706,17299.703999999423,23.158907630521316,1.2422593709607512,18.6425702811245,747,-19538.359999999608,-2212.1839999999897,5370.179999999988,0.029493594430222737,
HOLD_8H_17UTC_LONG,620,0.5564516129032258,17137.644000000077,27.641361290322703,27.641361290322703,1.0,620,-6729.56199999998,-1772.2279999999976,3183.734000000002,0.07523240786752197,
WEEKOPEN_LONG_HOLD1d,82,0.7195121951219512,17077.641999999963,208.26392682926786,208.26392682926786,1.0,82,-1805.352000000002,-1587.1500000000035,2187.503999999999,0.4177021755745021,
HOLD_SESSION_22to13_30_LONG,407,0.5626535626535627,17008.376000000084,41.89255172413814,41.789621621621826,1.0024630541871922,406,-2838.5019999999895,-1344.4819999999984,1340.1399999999974,0.13119792645349615,
HOLD_12H_17UTC_LONG,620,0.5645161290322581,16726.6240000001,27.022009693053477,26.978425806451778,1.001615508885299,619,-7344.167999999992,-2450.3960000000025,3059.5579999999954,0.06772498717646631,
HOLD_12H_22UTC_LONG,408,0.5686274509803921,14950.136000000104,36.64249019607869,36.64249019607869,1.0,408,-1864.2279999999992,-1003.091999999999,1373.6499999999994,0.14704062924051142,
HTF_60m_BR50_S100_T200,1201,0.5029142381348876,14892.672000000013,34.87745199063235,12.400226477935066,2.812646370023419,427,-10733.058000000296,-727.3119999999958,2703.8639999999978,0.07819878149638408,
STACK_POSITIVE_HOURS,2905,0.5259896729776248,14427.592000000104,20.1221645746166,4.966468846815871,4.05160390516039,717,-3976.227999999939,-1206.109999999987,5069.2559999999985,0.06268538078491082,
HTF_30m_BR10_S75_T150,5174,0.469655972168535,13684.279999999557,20.27300740740675,2.6448163896404244,7.6651851851851855,675,-6789.901999999944,-1213.92,2641.0939999999937,0.03915084198826748,
HTF_60m_MOMx2_LONG_S100_T200,7118,0.46543973026130936,13339.933999999841,18.60520781032056,1.8741126720988819,9.927475592747559,717,-17539.892000000782,-2219.1400000000003,3397.1579999999985,0.023871242054158547,
HTF_30m_BR50_S75_T150,2184,0.4739010989010989,12549.977999999708,22.612572972972448,5.746326923076789,3.9351351351351354,555,-9806.666000000234,-781.1839999999988,2644.3979999999983,0.05801218177391084,
HOLD_6H_17UTC_LONG,620,0.5741935483870968,12523.302000000078,20.198874193548512,20.198874193548512,1.0,620,-6261.9480000000285,-2018.5520000000054,3246.931999999999,0.05565876644976633,
COMBO_H17_H19_H22_H01_HOLD60_LONG,2272,0.5264084507042254,12342.270000000228,17.21376569037689,5.4323371478874245,3.1687587168758715,717,-4148.850000000086,-742.8339999999941,4622.438000000002,0.06166051951357017,
HOLD_4H_22UTC_LONG,408,0.5759803921568627,10211.094000000161,25.027191176470982,25.027191176470982,1.0,408,-1142.3919999999925,-881.24,1186.7059999999963,0.14349343220275831,
HOLD_6H_22UTC_LONG,408,0.553921568627451,10050.492000000046,24.633558823529523,24.633558823529523,1.0,408,-1578.5159999999905,-715.8059999999989,1189.6719999999966,0.13229796154463122,
HTF_30m_MOMx3_LONG_S75_T150,6804,0.4707524985302763,9937.273999999776,14.21641487839739,1.4605047031157812,9.733905579399142,699,-12644.887999999946,-1548.7400000000027,4291.379999999994,0.025181463427053328,
HTF_30m_MR20_2.0std_S75_T150,3612,0.44905869324473974,9545.38800000021,14.707839753467196,2.642687707641254,5.565485362095532,649,-9773.745999999966,-1582.2539999999983,1771.0600000000084,0.03121041722872897,
GAPFADE_100pt_24h_NOSTOP,90,0.4888888888888889,9526.291999999958,105.84768888888841,105.84768888888841,1.0,90,-3737.780000000006,-983.7519999999952,2049.984000000002,0.16641570552342247,
HTF_30m_BR20_S75_T150,3731,0.4628785848298043,9449.25599999974,14.31705454545415,2.532633610292077,5.653030303030303,660,-9192.211999999878,-932.9239999999988,2644.3979999999983,0.0301212775495246,
HTF_30m_MOMx5_LONG_S75_T150,1628,0.4907862407862408,8778.003999999997,17.279535433070862,5.391894348894347,3.204724409448819,508,-6209.931999999839,-758.7,3351.5200000000045,0.0506930963388175,
COMBO_H17_H22_HOLD60_LONG,1028,0.5223735408560312,8389.390000000198,11.799423347398308,8.160885214007974,1.4458509142053446,711,-3486.069999999968,-559.4200000000023,2947.5200000000004,0.06184508176225484,
HOLD_8H_22UTC_LONG,408,0.5514705882352942,8203.506000000105,20.106632352941432,20.106632352941432,1.0,408,-2036.9799999999948,-1511.668,1365.6159999999998,0.09586565197002511,
HTF_60m_MOMx3_LONG_S100_T200,3470,0.4659942363112392,8039.819999999834,12.01766816143473,2.316951008645485,5.186846038863976,669,-17759.460000000174,-1563.5760000000016,2678.1020000000017,0.02113479648288982,
TOM_LAST3_SHORT_HOLD6h,76,0.618421052631579,7998.847999999984,105.24799999999978,105.24799999999978,1.0,76,-2370.079999999998,-1035.4839999999988,920.4460000000015,0.2953127795877452,
HOLD_4H_17UTC_LONG,620,0.5483870967741935,7995.489999999967,13.10736065573765,12.895951612903172,1.0163934426229508,610,-6429.676000000018,-2213.0199999999986,3534.1799999999985,0.039299735047243295,
HOLD_3H_22UTC_LONG,408,0.553921568627451,7188.694000000051,17.61934803921581,17.61934803921581,1.0,408,-1282.9220000000037,-703.2679999999984,1132.51,0.1126788191993101,
HTF_60m_MOMx5_LONG_S100_T200,828,0.4830917874396135,6448.107999999958,18.112662921348196,7.787570048309129,2.3258426966292136,356,-6956.575999999932,-806.96,2233.676000000008,0.05051895605173823,
GAPFADE_50pt_24h_NOSTOP,145,0.47586206896551725,6353.455999999958,43.8169379310342,43.8169379310342,1.0,145,-8161.856000000007,-1543.3099999999997,2049.984000000002,0.06643521979435835,
TOM_FIRST3_LONG_HOLD6h,69,0.6086956521739131,5339.336000000001,79.69158208955226,77.38168115942031,1.0298507462686568,67,-2635.592000000007,-1426.7359999999992,866.0840000000005,0.18389199051413418,
GAPFADE_30pt_8h_S60,174,0.27011494252873564,5331.368000000006,31.17759064327489,30.64004597701153,1.0175438596491229,171,-2791.0579999999936,-121.74,1627.5840000000005,0.09644179298168913,
HOLD_3H_17UTC_LONG,620,0.5225806451612903,5194.470000000058,8.50158756137489,8.378177419354932,1.0147299509001637,611,-4590.249999999975,-916.0839999999973,3541.3680000000004,0.03136372827376836,
GAPFADE_100pt_24h_S200,90,0.3888888888888889,5032.981999999974,60.638337349397275,55.922022222221926,1.0843373493975903,83,-4038.9000000000087,-803.48,2049.984000000002,0.10050328309967442,
H17_HOLD60_PREVRANGE_GT50,577,0.5199306759098787,4619.096000000074,8.00536568457552,8.00536568457552,1.0,577,-3284.5639999999858,-541.3399999999986,2761.7819999999974,0.043419850225549034,
HOLD_2H_22UTC_LONG,408,0.5343137254901961,4613.802000000072,11.308338235294295,11.308338235294295,1.0,408,-1381.7200000000023,-478.20600000000036,1100.6819999999987,0.0914004844257084,
GAPFADE_50pt_24h_S100,145,0.27586206896551724,4516.011999999999,34.738553846153835,31.14491034482758,1.1153846153846154,130,-4991.531999999991,-403.48,1584.3739999999993,0.07787138340230096,
H22_HOLD60_PREVRANGE_GT100,353,0.5552407932011332,4405.356000000109,12.479762039660365,12.479762039660365,1.0,353,-947.9619999999891,-308.7979999999973,857.6940000000011,0.12734960988514818,
H22_HOLD60_PREVRANGE_GT50,385,0.5402597402597402,4387.566000000144,11.396275324675699,11.396275324675699,1.0,385,-987.2419999999847,-308.7979999999973,857.6940000000011,0.11977384776111828,
H17_HOLD60_LONG_BAR,620,0.5177419354838709,4255.802000000052,6.864196774193633,6.864196774193633,1.0,620,-3299.1399999999917,-541.3399999999986,2761.7819999999974,0.03835277357866071,
GAPFADE_75pt_24h_S150,113,0.34513274336283184,4142.639999999979,43.15249999999978,36.660530973451145,1.1770833333333333,96,-3798.4660000000035,-603.48,1513.2939999999996,0.08125916939314846,
H22_HOLD60_LONG_BAR,408,0.5294117647058824,4133.588000000146,10.13134313725526,10.13134313725526,1.0,408,-1139.4899999999254,-308.7979999999973,857.6940000000011,0.10916542664525695,
H17_HOLD60_PREVRANGE_GT100,524,0.517175572519084,4054.5280000001067,7.7376488549620355,7.7376488549620355,1.0,524,-4209.313999999916,-541.3399999999986,2761.7819999999974,0.0412495588515522,
TOM_FIRST3_LONG_HOLD24h,69,0.6666666666666666,3678.6840000000193,53.314260869565494,53.314260869565494,1.0,69,-5069.594000000007,-1825.8040000000058,1186.0840000000005,0.08081380256598261,
HOLD_2H_17UTC_LONG,620,0.5290322580645161,3148.6780000001127,5.128140065146764,5.078512903225988,1.009771986970684,614,-3129.0399999999627,-737.3960000000027,2368.7459999999974,0.024029140427541718,
GAPFADE_50pt_8h_S100,145,0.3310344827586207,3054.6260000000057,21.361020979021017,21.066386206896592,1.013986013986014,143,-4796.661999999994,-201.74,1627.5840000000005,0.05447618737702924,
H17_LONG_TGT15_NOSTOP_TO4h,620,0.896774193548387,2814.620000000026,4.561782820097287,4.539709677419396,1.0048622366288493,617,-2351.0480000000202,-895.6299999999994,41.54399999999762,0.048359767082679014,
DOW0_H12_LONG_HOLD60,128,0.5859375,2667.2339999999685,20.837765624999754,20.837765624999754,1.0,128,-467.72199999999174,-311.9720000000036,482.00399999999877,0.22273839850913735,2.5590316249816607
H01_HOLD60_LONG_BAR,634,0.5378548895899053,2595.684000000003,4.094138801261834,4.094138801261834,1.0,634,-1263.0359999999694,-589.0439999999965,589.734000000002,0.04925333095383301,
H22_LONG_TGT30_NOSTOP_TO4h,408,0.6862745098039216,2162.960000000083,6.287674418604892,5.301372549019811,1.186046511627907,344,-1318.4320000000198,-881.24,118.52,0.06038082494958827,
DOW3_H00_LONG_HOLD60,126,0.5873015873015873,2128.2380000000244,16.89077777777797,16.89077777777797,1.0,126,-354.6860000000038,-187.49400000000082,383.1499999999994,0.21573976188683064,2.9608856896099995
DOW6_H22_LONG_HOLD60,82,0.6097560975609756,2078.5859999999957,25.34860975609751,25.34860975609751,1.0,82,-952.7319999999957,-308.7979999999973,344.9899999999959,0.21945305787087174,2.317640295964853
H22_LONG_TGT50_S100_TO8h,408,0.6004901960784313,1928.466000000056,5.212070270270422,4.726632352941314,1.1027027027027028,370,-1679.1799999999816,-403.48,198.52,0.044932042179291566,
DOW1_H00_SHORT_HOLD60,129,0.6046511627906976,1920.9559999999317,14.891131782945207,14.891131782945207,1.0,129,-470.37799999999424,-305.20600000000036,573.9839999999947,0.17066247643753907,-2.177879347669464
DOW2_H07_LONG_HOLD60,127,0.5905511811023622,1790.2340000000215,14.096330708661586,14.096330708661586,1.0,127,-311.4579999999939,-190.4419999999975,689.2040000000031,0.17116466204600694,2.1374568469776016
DOW3_H06_LONG_HOLD60,126,0.5714285714285714,1631.436000000032,12.947904761905015,12.947904761905015,1.0,126,-202.26199999999722,-202.26199999999722,182.9619999999975,0.210775027099591,3.0139609751084673
H19_HOLD60_LONG_BAR,610,0.521311475409836,1357.1960000000277,2.2249114754098813,2.2249114754098813,1.0,610,-3976.227999999993,-740.8299999999965,1085.183999999999,0.015310301611342723,
HTF_15m_BR50_S50_T100,4585,0.4431842966194111,1262.611999999903,1.890137724550753,0.2753788440566855,6.86377245508982,668,-9207.517999999709,-873.9520000000082,1779.6619999999891,0.005457823049346888,
HOLD_4H_01UTC_LONG,634,0.5299684542586751,1061.4879999999396,1.674271293375299,1.674271293375299,1.0,634,-3373.540000000009,-848.643999999995,597.1240000000014,0.01353828890227353,
H22_LONG_TGT30_S60_TO4h,408,0.6323529411764706,991.4600000000767,2.816647727272945,2.430049019608031,1.1590909090909092,352,-1286.8939999999764,-243.48,118.52,0.03589067697921638,
H22_LONG_TGT15_S30_TO4h,408,0.6911764705882353,750.2540000000135,2.078265927977877,1.8388578431372882,1.1301939058171746,361,-624.2540000000033,-123.48,58.52,0.04843564920180603,
H17_HOLD60_PREVRANGE_50to100,53,0.5471698113207547,564.567999999971,10.652226415093793,10.652226415093793,1.0,53,-791.749999999992,-535.2440000000008,422.33799999999405,0.07081216517930201,
H17_LONG_TGT30_NOSTOP_TO4h,620,0.7887096774193548,517.2520000000075,0.8396948051948173,0.8342774193548508,1.0064935064935066,616,-1939.238000000007,-1642.5160000000053,71.54399999999761,0.0055586628072637504,
H17_HOLD60_PREVRANGE_LT100,96,0.5208333333333334,201.27399999994722,2.096604166666117,2.096604166666117,1.0,96,-1189.352,-535.2440000000008,422.33799999999405,0.017132961602488433,
H22_HOLD60_PREVRANGE_50to100,32,0.375,-17.789999999964152,-0.5559374999988798,-0.5559374999988798,1.0,32,-311.2339999999592,-96.98399999999877,161.1940000000011,-0.01025507248358982,
H22_LONG_TGT15_NOSTOP_TO4h,408,0.7990196078431373,-62.19199999996903,-0.1856477611939374,-0.1524313725489437,1.217910447761194,335,-1250.4939999999997,-881.24,58.52,-0.002028067743733645,
H22_HOLD60_PREVRANGE_LT100,55,0.36363636363636365,-271.76799999996297,-4.94123636363569,-4.94123636363569,1.0,55,-505.92199999995324,-96.98399999999877,161.1940000000011,-0.10909055664556065,
H22_LONG_TGT8_S16_TO4h,408,0.6642156862745098,-444.1959999999983,-1.1160703517587898,-1.0887156862745058,1.0251256281407035,398,-965.3000000000013,-33.74,30.52,-0.04841851481069656,
HTF_60m_MR50_2.0std_S100_T200,1982,0.4429868819374369,-897.9139999996842,-1.9777841409684673,-0.45303430877885176,4.365638766519824,454,-21561.88000000002,-2332.7059999999988,2161.0319999999956,-0.00346171452060943,
H17_LONG_TGT30_S60_TO4h,620,0.6564516129032258,-917.7840000000192,-1.4899090909091222,-1.4802967741935793,1.0064935064935066,616,-1706.6060000000125,-243.48,59.26,-0.01763118041849116,
H01_LONG_TGT10_S20_TO4h,634,0.6261829652996845,-1737.2600000000314,-2.740157728706674,-2.740157728706674,1.0,634,-1814.3000000000366,-41.74,19.26,-0.0952611584606566,
HTF_15m_MOMx5_FADE_S50_T100,3146,0.45867768595041325,-2146.7640000000883,-3.4625225806453037,-0.6823788938334674,5.074193548387097,620,-8677.893999999793,-779.5259999999965,1051.4360000000038,-0.015049943459147631,
H17_LONG_TGT15_S30_TO4h,620,0.635483870967742,-2424.8000000000006,-3.917285945072699,-3.910967741935485,1.001615508885299,619,-2662.939999999987,-123.48,29.26,-0.08901166226483599,
HTF_15m_BR10_S50_T100,9958,0.44657561759389436,-2456.5200000002214,-3.416578581363312,-0.24668808997792946,13.849791376912378,719,-15130.087999998977,-1151.0459999999994,2183.9240000000023,-0.007553187639890811,
H17_LONG_TGT8_S16_TO4h,620,0.5919354838709677,-2935.800000000001,-4.735161290322583,-4.735161290322583,1.0,620,-3039.2599999999757,-33.74,15.26,-0.19646562454949154,
H01_LONG_TGT15_NOSTOP_TO4h,634,0.7145110410094637,-3053.1300000000447,-4.815662460567894,-4.815662460567894,1.0,634,-3451.618000000049,-848.643999999995,29.26,-0.059529021172146236,
