tag,side,entry_ts,exit_ts,entry_px,exit_px,stop_px,target_px,exit_reason,hold_bars_actual,pnl_pts,pnl_usd
HOLD_SESSION_22to14_LONG,LONG,2024-03-10 22:23:00+00:00,2024-03-11 14:00:00+00:00,17986.367,17894.984,,,timeout,937,-91.38299999999799,-183.505999999996
HOLD_SESSION_22to14_LONG,LONG,2024-03-11 22:00:00+00:00,2024-03-12 14:06:00+00:00,17990.022,18063.783,,,timeout,960,73.7609999999986,146.7819999999972
HOLD_SESSION_22to14_LONG,LONG,2024-03-12 22:00:00+00:00,2024-03-13 14:06:00+00:00,18207.712,18076.633,,,timeout,960,-131.0789999999979,-262.8979999999958
HOLD_SESSION_22to14_LONG,LONG,2024-03-13 22:00:00+00:00,2024-03-14 14:06:00+00:00,18091.028,18006.289,,,timeout,960,-84.73899999999776,-170.21799999999553
HOLD_SESSION_22to14_LONG,LONG,2024-03-14 22:00:00+00:00,2024-03-15 14:09:00+00:00,18005.412,17822.133,,,timeout,960,-183.27899999999863,-367.2979999999973
HOLD_SESSION_22to14_LONG,LONG,2024-03-17 22:07:00+00:00,2024-03-18 14:00:00+00:00,17848.178,18043.739,,,timeout,953,195.5610000000015,390.382000000003
HOLD_SESSION_22to14_LONG,LONG,2024-03-18 22:00:00+00:00,2024-03-19 14:05:00+00:00,17965.0,17864.539,,,timeout,960,-100.46099999999933,-201.66199999999867
HOLD_SESSION_22to14_LONG,LONG,2024-03-19 22:00:00+00:00,2024-03-20 14:04:00+00:00,18022.401,18012.139,,,timeout,960,-10.262000000002445,-21.264000000004888
HOLD_SESSION_22to14_LONG,LONG,2024-03-20 22:00:00+00:00,2024-03-21 14:07:00+00:00,18292.128,18401.444,,,timeout,960,109.3159999999989,217.89199999999778
HOLD_SESSION_22to14_LONG,LONG,2024-03-21 22:00:00+00:00,2024-03-22 14:06:00+00:00,18341.406,18326.173,,,timeout,960,-15.233000000000175,-31.206000000000348
HOLD_SESSION_22to14_LONG,LONG,2024-03-24 22:06:00+00:00,2024-03-25 14:00:00+00:00,18341.619,18246.989,,,timeout,954,-94.62999999999738,-189.99999999999477
HOLD_SESSION_22to14_LONG,LONG,2024-03-25 22:00:00+00:00,2024-03-26 14:07:00+00:00,18303.533,18373.283,,,timeout,960,69.75,138.76
HOLD_SESSION_22to14_LONG,LONG,2024-03-26 22:00:00+00:00,2024-03-27 14:06:00+00:00,18252.767,18194.239,,,timeout,960,-58.52799999999843,-117.79599999999685
HOLD_SESSION_22to14_LONG,LONG,2024-03-27 22:00:00+00:00,2024-03-28 14:07:00+00:00,18291.206,18285.65,,,timeout,960,-5.555999999996857,-11.851999999993714
HOLD_SESSION_22to14_LONG,LONG,2024-03-31 22:03:00+00:00,2024-04-01 14:00:00+00:00,18317.38,18377.755,,,timeout,957,60.375,120.01
HOLD_SESSION_22to14_LONG,LONG,2024-04-01 22:00:00+00:00,2024-04-02 14:06:00+00:00,18287.351,18040.156,,,timeout,960,-247.1949999999997,-495.1299999999994
HOLD_SESSION_22to14_LONG,LONG,2024-04-02 22:07:00+00:00,2024-04-03 14:00:00+00:00,18130.9,18115.594,,,timeout,953,-15.306000000000495,-31.352000000000988
HOLD_SESSION_22to14_LONG,LONG,2024-04-03 22:00:00+00:00,2024-04-04 14:06:00+00:00,18189.867,18321.506,,,timeout,960,131.63900000000285,262.5380000000057
HOLD_SESSION_22to14_LONG,LONG,2024-04-04 22:00:00+00:00,2024-04-05 14:06:00+00:00,17901.905,18018.533,,,timeout,960,116.62800000000061,232.5160000000012
HOLD_SESSION_22to14_LONG,LONG,2024-04-07 22:06:00+00:00,2024-04-08 14:00:00+00:00,18136.353,18109.072,,,timeout,954,-27.28099999999904,-55.30199999999808
HOLD_SESSION_22to14_LONG,LONG,2024-04-08 22:00:00+00:00,2024-04-09 14:11:00+00:00,18124.499,18148.283,,,timeout,960,23.78399999999965,46.8279999999993
HOLD_SESSION_22to14_LONG,LONG,2024-04-09 22:07:00+00:00,2024-04-10 14:00:00+00:00,18192.499,17980.929,,,timeout,953,-211.5699999999997,-423.8799999999994
HOLD_SESSION_22to14_LONG,LONG,2024-04-10 22:07:00+00:00,2024-04-11 14:00:00+00:00,17987.101,18066.612,,,timeout,953,79.51100000000224,158.28200000000447
HOLD_SESSION_22to14_LONG,LONG,2024-04-11 22:07:00+00:00,2024-04-12 14:00:00+00:00,18305.016,18156.223,,,timeout,953,-148.79299999999785,-298.3259999999957
HOLD_SESSION_22to14_LONG,LONG,2024-04-14 22:07:00+00:00,2024-04-15 14:00:00+00:00,18005.217,18145.65,,,timeout,953,140.4330000000009,280.1260000000018
HOLD_SESSION_22to14_LONG,LONG,2024-04-15 22:07:00+00:00,2024-04-16 14:12:00+00:00,17713.933,17730.122,,,timeout,953,16.188999999998487,31.637999999996975
HOLD_SESSION_22to14_LONG,LONG,2024-04-16 22:07:00+00:00,2024-04-17 14:00:00+00:00,17748.522,17713.433,,,timeout,953,-35.08899999999994,-70.91799999999988
HOLD_SESSION_22to14_LONG,LONG,2024-04-17 22:06:00+00:00,2024-04-18 14:00:00+00:00,17526.116,17449.666,,,timeout,954,-76.45000000000073,-153.64000000000146
HOLD_SESSION_22to14_LONG,LONG,2024-04-18 22:08:00+00:00,2024-04-19 14:00:00+00:00,17394.501,17312.166,,,timeout,952,-82.33499999999913,-165.40999999999826
