tag,side,entry_ts,exit_ts,entry_px,exit_px,stop_px,target_px,exit_reason,hold_bars_actual,pnl_pts,pnl_usd
HTF_30m_MOMx2_LONG_S75_T150,SHORT,2024-01-02 00:30:00+00:00,2024-01-02 02:30:00+00:00,16832.46,16822.285,16907.46,16682.46,timeout,4,10.174999999999272,19.609999999998546
HTF_30m_MOMx2_LONG_S75_T150,LONG,2024-01-02 01:30:00+00:00,2024-01-02 03:30:00+00:00,16843.695,16820.685,16768.695,16993.695,timeout,4,-23.0099999999984,-46.7599999999968
HTF_30m_MOMx2_LONG_S75_T150,SHORT,2024-01-02 02:30:00+00:00,2024-01-02 04:30:00+00:00,16824.325,16821.67,16899.325,16674.325,timeout,4,2.655000000002474,4.570000000004947
HTF_30m_MOMx2_LONG_S75_T150,SHORT,2024-01-02 03:00:00+00:00,2024-01-02 05:00:00+00:00,16821.04,16830.645,16896.04,16671.04,timeout,4,-9.604999999999563,-19.949999999999125
HTF_30m_MOMx2_LONG_S75_T150,LONG,2024-01-02 06:00:00+00:00,2024-01-02 08:00:00+00:00,16832.485,16846.335,16757.485,16982.485,timeout,4,13.849999999998545,26.95999999999709
HTF_30m_MOMx2_LONG_S75_T150,SHORT,2024-01-02 07:00:00+00:00,2024-01-02 09:00:00+00:00,16817.12,16819.13,16892.12,16667.12,timeout,4,-2.0100000000020373,-4.760000000004075
HTF_30m_MOMx2_LONG_S75_T150,SHORT,2024-01-02 09:30:00+00:00,2024-01-02 11:30:00+00:00,16817.425,16667.425,16892.425,16667.425,target,4,150.0,299.26
HTF_30m_MOMx2_LONG_S75_T150,SHORT,2024-01-02 10:00:00+00:00,2024-01-02 12:00:00+00:00,16807.481,16673.675,16882.481,16657.481,timeout,4,133.8060000000005,266.872000000001
HTF_30m_MOMx2_LONG_S75_T150,SHORT,2024-01-02 10:30:00+00:00,2024-01-02 12:30:00+00:00,16798.956,16648.956,16873.956,16648.956,target,4,150.0,299.26
HTF_30m_MOMx2_LONG_S75_T150,SHORT,2024-01-02 11:00:00+00:00,2024-01-02 12:30:00+00:00,16782.495,16632.495,16857.495,16632.495,target,3,150.0,299.26
HTF_30m_MOMx2_LONG_S75_T150,SHORT,2024-01-02 11:30:00+00:00,2024-01-02 13:30:00+00:00,16690.985,16666.785,16765.985,16540.985,timeout,4,24.200000000000728,47.66000000000145
HTF_30m_MOMx2_LONG_S75_T150,SHORT,2024-01-02 12:00:00+00:00,2024-01-02 14:00:00+00:00,16690.085,16676.275,16765.085,16540.085,timeout,4,13.809999999997672,26.879999999995345
HTF_30m_MOMx2_LONG_S75_T150,SHORT,2024-01-02 12:30:00+00:00,2024-01-02 14:30:00+00:00,16672.11,16581.84,16747.11,16522.11,timeout,4,90.27000000000044,179.80000000000086
HTF_30m_MOMx2_LONG_S75_T150,SHORT,2024-01-02 13:00:00+00:00,2024-01-02 15:00:00+00:00,16635.24,16548.235,16710.24,16485.24,timeout,4,87.00500000000102,173.27000000000203
HTF_30m_MOMx2_LONG_S75_T150,LONG,2024-01-02 14:00:00+00:00,2024-01-02 14:30:00+00:00,16667.555,16592.055,16592.555,16817.555,stop,1,-75.5,-151.74
HTF_30m_MOMx2_LONG_S75_T150,LONG,2024-01-02 14:30:00+00:00,2024-01-02 15:00:00+00:00,16676.951,16601.451,16601.951,16826.951,stop,1,-75.5,-151.74
HTF_30m_MOMx2_LONG_S75_T150,SHORT,2024-01-02 15:30:00+00:00,2024-01-02 17:30:00+00:00,16547.37,16545.755,16622.37,16397.37,timeout,4,1.6149999999979627,2.4899999999959253
HTF_30m_MOMx2_LONG_S75_T150,SHORT,2024-01-02 16:00:00+00:00,2024-01-02 16:30:00+00:00,16533.595,16609.095,16608.595,16383.595000000001,stop,1,-75.5,-151.74
HTF_30m_MOMx2_LONG_S75_T150,LONG,2024-01-02 17:00:00+00:00,2024-01-02 18:00:00+00:00,16604.71,16529.21,16529.71,16754.71,stop,2,-75.5,-151.74
HTF_30m_MOMx2_LONG_S75_T150,SHORT,2024-01-02 18:00:00+00:00,2024-01-02 20:00:00+00:00,16544.53,16471.145,16619.53,16394.53,timeout,4,73.3849999999984,146.0299999999968
HTF_30m_MOMx2_LONG_S75_T150,SHORT,2024-01-02 20:30:00+00:00,2024-01-02 21:00:00+00:00,16469.505,16545.005,16544.505,16319.505000000001,stop,1,-75.5,-151.74
HTF_30m_MOMx2_LONG_S75_T150,LONG,2024-01-02 23:00:00+00:00,2024-01-03 01:00:00+00:00,16560.65,16537.03,16485.65,16710.65,timeout,4,-23.62000000000262,-47.98000000000524
HTF_30m_MOMx2_LONG_S75_T150,LONG,2024-01-03 00:30:00+00:00,2024-01-03 02:30:00+00:00,16552.11,16528.025,16477.11,16702.11,timeout,4,-24.084999999999127,-48.909999999998256
HTF_30m_MOMx2_LONG_S75_T150,SHORT,2024-01-03 01:30:00+00:00,2024-01-03 03:30:00+00:00,16536.215,16528.935,16611.215,16386.215,timeout,4,7.279999999998836,13.819999999997671
HTF_30m_MOMx2_LONG_S75_T150,SHORT,2024-01-03 02:00:00+00:00,2024-01-03 04:00:00+00:00,16535.59,16526.54,16610.59,16385.59,timeout,4,9.049999999999272,17.359999999998546
